Date,Home Team,Home Score,Away Team,Away Score,Status
2025-05-27,Cleveland Guardians,3,Los Angeles Dodgers,5,In Progress
2025-05-27,Baltimore Orioles,4,St. Louis Cardinals,3,In Progress
2025-05-27,Detroit Tigers,3,San Francisco Giants,0,In Progress
2025-05-27,Philadelphia Phillies,1,Atlanta Braves,0,In Progress
2025-05-27,Tampa Bay Rays,1,Minnesota Twins,2,In Progress
2025-05-27,New York Mets,5,Chicago White Sox,2,In Progress
2025-05-27,Kansas City Royals,2,Cincinnati Reds,1,In Progress
2025-05-27,Milwaukee Brewers,0,Boston Red Sox,0,In Progress
2025-05-27,Chicago Cubs,0,Colorado Rockies,0,In Progress
2025-05-27,Texas Rangers,0,Toronto Blue Jays,0,In Progress
2025-05-27,Houston Astros,0,Athletics,0,In Progress
2025-05-27,Los Angeles Angels,0,New York Yankees,0,Pre-Game
2025-05-27,Arizona Diamondbacks,0,Pittsburgh Pirates,0,Pre-Game
2025-05-27,Seattle Mariners,0,Washington Nationals,0,Pre-Game
2025-05-27,San Diego Padres,0,Miami Marlins,0,Pre-Game
