pick_team,opponent,is_home,is_favorite,pick_odds,edge,cover_prob,home_team,away_team,home_odds,away_odds,date,market_home_prob,market_away_prob,xgb_home_prob,xgb_away_prob,regressed_home_prob,regressed_away_prob,home_is_favorite
NYM,CHC,True,False,111.0,2.3403222748815122,0.49733687203791466,NYM,CHC,111.0,-115.0,6/24/2026,0.47393364928909953,0.5348837209302325,0.5408,0.45920000000000005,0.49733687203791466,0.5083944186046512,0
COL,BOS,True,False,153.0,2.861007905138341,0.42386699604743083,COL,BOS,153.0,-160.0,6/24/2026,0.3952569169960474,0.6153846153846154,0.477,0.523,0.42386699604743083,0.5830500000000001,0
LAA,BAL,True,True,-117.0,1.4185322580645199,0.5533558294930876,LAA,BAL,-117.0,115.0,6/24/2026,0.5391705069124424,0.46511627906976744,0.5797,0.4203,0.5533558294930876,0.4494305813953488,1
NYY,DET,False,False,130.0,1.6876086956521708,0.45165869565217387,DET,NYY,-133.0,130.0,6/24/2026,0.5708154506437768,0.43478260869565216,0.517,0.483,0.5519800429184549,0.45165869565217387,1
PIT,SEA,True,True,-111.0,0.7361777251184809,0.5334281279620853,PIT,SEA,-111.0,108.0,6/24/2026,0.5260663507109005,0.4807692307692308,0.5471,0.45289999999999997,0.5334281279620853,0.47101499999999996,1
HOU,TOR,False,False,144.0,1.8957377049180324,0.4287934426229508,TOR,HOU,-147.0,144.0,6/24/2026,0.5951417004048583,0.4098360655737705,0.536,0.46399999999999997,0.5744421052631579,0.4287934426229508,1
NYM,CHC,True,False,111.0,1.9553222748815213,0.49348687203791475,NYM,CHC,111.0,-115.0,6/24/2026,0.47393364928909953,0.5348837209302325,0.5298,0.47019999999999995,0.49348687203791475,0.5122444186046511,0
MIN,LAD,True,False,156.0,3.0931249999999966,0.42155624999999997,MIN,LAD,156.0,-160.0,6/24/2026,0.390625,0.6153846153846154,0.479,0.521,0.42155624999999997,0.58235,0
STL,ARI,True,True,-111.0,0.9601777251184829,0.5356681279620853,STL,ARI,-111.0,108.0,6/24/2026,0.5260663507109005,0.4807692307692308,0.5535,0.4465,0.5356681279620853,0.468775,1
SD,ATL,True,False,125.0,1.9724444444444433,0.46416888888888885,SD,ATL,125.0,-127.0,6/24/2026,0.4444444444444444,0.5594713656387665,0.5008,0.4992,0.46416888888888885,0.5383763876651982,0
