game_pk,home_batting_hr_per_g_rolling_5,away_batting_hr_per_g_rolling_5
346787,,
346183,,
346184,,
346185,,
346186,,
346187,,
346188,,
346189,,
346190,,
346191,,
346752,,
346753,,
346755,,
346754,,
346756,0.0,0.0
346757,0.0,0.0
346758,1.0,0.0
346759,1.0,3.0
346760,,
346761,1.0,0.0
346762,0.0,1.0
346763,1.0,2.0
346764,0.0,0.0
346765,0.0,1.0
346766,0.0,0.0
346767,1.0,0.0
346768,2.0,0.0
346769,3.0,1.0
346770,1.0,1.0
346771,0.5,1.0
346772,0.5,1.5
346773,0.5,0.5
346774,0.0,1.0
346775,1.0,2.5
346776,0.5,0.0
346777,0.5,1.5
346778,1.5,1.5
346779,1.0,0.0
346780,0.0,0.5
346781,0.0,0.0
346782,2.5,0.0
346783,1.5,0.0
346784,3.0,0.5
346785,2.0,0.5
346786,1.0,1.3333333333333333
346788,1.0,1.0
346789,0.3333333333333333,1.0
346790,2.0,0.6666666666666666
346791,1.0,1.3333333333333333
346792,1.6666666666666667,0.3333333333333333
346793,1.6666666666666667,0.6666666666666666
346794,0.0,1.3333333333333333
346795,0.3333333333333333,1.25
346796,2.6666666666666665,0.3333333333333333
346797,1.6666666666666667,1.25
346798,0.6666666666666666,1.3333333333333333
346799,1.3333333333333333,1.3333333333333333
346800,0.3333333333333333,0.0
346801,2.3333333333333335,0.0
346802,1.0,1.3333333333333333
346803,0.3333333333333333,0.0
346804,0.5,1.0
346805,1.0,1.0
346806,1.75,0.75
346807,0.75,1.0
346808,1.5,0.5
346809,1.5,0.5
346810,0.75,1.25
346811,0.25,1.2
346812,0.5,0.0
346813,2.5,0.25
346814,1.75,1.2
346815,0.5,1.0
346816,2.5,1.0
346817,2.25,0.5
346818,0.75,0.25
346819,1.0,1.6
346820,2.0,1.0
346821,0.8,0.8
346822,1.4,0.4
346823,1.2,0.6
346824,0.6,1.2
346825,0.4,1.8
346826,0.4,0.0
346827,2.2,0.2
346828,1.6,1.4
346829,0.8,0.8
346830,2.2,1.8
346831,2.2,0.4
346832,0.6,0.2
346833,0.8,1.4
346834,1.6,1.0
346835,0.8,2.0
346836,0.8,0.8
346837,0.4,0.6
346838,1.6,1.4
346839,1.8,0.2
346840,1.6,0.6
346841,0.8,2.2
346842,0.6,1.4
346843,0.4,1.6
346844,1.4,0.2
346845,1.6,2.0
346846,1.0,1.8
346847,0.0,0.4
346848,1.0,0.6
346849,0.4,0.6
346850,1.6,1.6
346851,1.4,2.2
346852,1.6,0.4
346853,1.8,0.2
346854,0.6,2.2
346855,0.6,1.0
346856,0.4,1.2
346857,0.2,2.2
346858,1.0,0.2
346859,1.8,1.0
346860,2.2,1.6
346861,0.8,1.4
346862,0.4,0.6
346864,0.4,0.8
346866,1.0,2.4
346867,1.2,0.4
346868,1.8,0.2
346869,1.0,2.0
346870,0.2,1.6
346871,1.2,1.0
346872,0.2,1.4
346873,1.4,1.2
346874,2.2,1.2
346875,2.2,1.6
346876,0.4,1.0
346878,1.0,2.2
346879,0.8,0.8
346880,1.0,1.0
346881,1.6,1.6
346882,2.2,1.6
346883,2.2,1.2
346884,1.4,1.2
346885,0.4,0.4
346886,0.4,1.0
346887,2.4,0.4
346888,0.8,1.8
346889,1.6,1.2
346890,0.8,1.4
346891,0.8,0.4
346893,0.6,0.6
346894,0.0,1.4
346895,1.0,0.4
346896,1.6,1.2
346897,1.4,1.4
346898,2.0,1.2
346899,1.4,1.0
346900,0.6,0.6
346901,0.6,1.4
346902,2.0,0.6
346903,0.0,1.8
346904,1.0,1.2
346905,0.6,1.4
346906,1.0,0.4
346907,1.8,0.2
346908,1.2,0.8
346909,0.6,0.2
346910,1.2,0.2
346911,0.0,1.4
346912,1.4,1.4
346913,2.2,1.6
346914,2.0,0.6
346915,0.4,0.8
346916,1.0,1.4
346917,1.4,1.2
346918,0.2,2.0
346919,0.8,1.2
346921,1.2,0.2
346922,2.0,0.0
346923,0.4,0.4
346924,0.0,1.2
346925,1.2,0.2
346926,1.2,0.4
346927,0.8,0.6
346928,0.8,2.0
346930,0.8,1.4
346931,0.8,1.4
346932,0.8,0.0
346933,0.4,0.6
346934,0.0,0.6
346935,1.0,0.6
346929,1.4,1.4
346936,1.2,1.0
346937,2.2,0.8
346938,1.2,0.8
346939,0.8,1.0
346940,1.6,0.4
346941,1.4,1.6
346944,1.4,0.2
346945,1.6,0.4
346946,0.8,0.6
346947,0.0,0.6
346948,0.4,0.2
346949,0.8,1.0
346950,0.6,0.8
346942,0.8,1.0
346952,1.8,0.6
346953,1.0,0.4
346954,0.4,0.6
346955,2.4,0.6
346957,0.8,0.4
346958,1.0,1.2
346959,1.0,0.8
346961,1.2,0.8
346962,0.2,0.6
346963,1.0,0.4
346964,0.4,1.2
346965,0.2,0.8
346966,1.0,0.4
346967,1.0,2.0
346968,1.2,0.4
346969,0.8,0.2
346970,1.4,1.4
346971,1.0,1.2
346972,1.6,0.6
346973,1.2,0.4
346974,0.2,1.2
346975,0.6,0.4
346976,1.2,1.2
346977,1.4,0.8
346978,1.2,2.4
346979,0.8,1.2
346980,1.0,1.0
346983,0.8,0.4
346985,2.0,0.2
346986,0.6,1.2
346987,0.8,0.2
346988,0.8,0.6
346989,0.6,0.4
346990,1.0,1.4
346991,1.8,1.8
346982,1.6,0.2
346992,1.2,0.6
346993,1.4,2.2
346994,2.2,1.8
346995,1.0,0.8
346996,1.0,0.4
346997,0.4,0.2
346998,1.4,0.2
346999,0.6,0.6
347000,1.0,0.6
347001,2.2,0.4
347002,0.6,1.0
347003,0.8,0.2
347004,1.4,0.4
347005,1.2,1.6
347006,0.4,0.8
346981,0.6,0.4
347007,1.2,0.8
347008,1.0,1.8
347009,1.4,1.2
347010,1.0,0.2
347011,0.6,1.0
347012,1.8,0.2
347013,0.8,0.6
347014,0.8,0.6
347015,2.2,0.4
347016,0.6,1.0
347017,1.2,0.0
347018,1.2,1.2
347019,0.8,1.6
347020,0.2,0.8
347021,2.0,1.6
347022,0.6,1.0
347024,1.0,1.2
347025,1.0,2.0
347027,0.8,1.6
347028,1.8,1.6
347029,0.6,0.2
347030,1.6,0.2
347031,1.0,1.0
347032,0.8,2.0
347033,1.8,0.6
347034,0.4,0.8
347023,1.2,0.8
347026,0.6,0.6
347035,0.8,1.2
347036,1.2,1.4
347037,0.8,1.6
347040,1.0,0.2
347041,0.4,0.6
347042,0.8,1.8
347043,2.0,1.6
347044,1.0,0.2
347045,1.6,0.8
347046,1.0,1.0
