game_pk,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10
346787,,,,
346183,,,,
346184,,,,
346185,,,,
346186,,,,
346187,,,,
346188,,,,
346189,,,,
346190,,,,
346191,,,,
346752,,,,
346753,,,,
346755,,,,
346754,,,,
346756,,0.0,,0.0
346757,,2.0,,2.0
346758,,,,
346759,,1.0,,1.0
346760,,,,
346761,,0.5,,0.5
346762,1.6,3.0,1.6,3.0
346763,1.0,,1.0,
346764,0.75,1.5,0.75,1.5
346765,,1.0,,1.0
346766,2.5,1.25,2.5,1.25
346767,1.0,3.0,1.0,3.0
346768,3.0,,3.0,
346769,3.0,1.5,3.0,1.5
346770,,3.0,,3.0
346771,1.2,0.6666666666666666,1.2,0.6666666666666666
346772,5.0,6.0,5.0,6.0
346773,3.5,,3.5,
346774,3.0,,3.0,
346775,5.5,1.3333333333333333,5.5,1.3333333333333333
346776,2.0,1.0,2.0,1.0
346777,1.4285714285714286,2.8,1.4285714285714286,2.8
346778,1.0,,1.0,
346779,1.5,2.0,1.5,2.0
346780,,1.0,,1.0
346781,3.5,1.4285714285714286,3.5,1.4285714285714286
346782,1.0,1.5,1.0,1.5
346783,3.0,2.0,3.0,2.0
346784,3.0,2.0,3.0,2.0
346785,,3.0,,3.0
346786,1.6,1.3333333333333333,1.6,1.3333333333333333
346788,2.0,3.5,2.0,3.5
346789,,3.0,,3.0
346790,3.5,1.75,3.5,1.75
346791,1.0,1.5,1.0,1.5
346792,1.5,2.5,1.5,2.5
346793,4.0,2.2,4.0,2.2
346794,1.6666666666666667,1.4285714285714286,1.6666666666666667,1.4285714285714286
346795,4.0,2.4,4.0,2.4
346796,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.6666666666666665
346797,1.25,1.25,1.25,1.25
346798,2.5,3.2,2.5,3.2
346799,2.0,2.6666666666666665,2.0,2.6666666666666665
346800,2.4,2.0,2.4,2.0
346801,2.5,2.5,2.5,2.5
346802,5.0,3.2,5.0,3.2
346803,3.0,10.0,3.0,10.0
346804,11.0,3.4,11.0,3.4
346805,3.0,3.0,3.0,3.0
346806,4.5,3.0,4.5,3.0
346807,1.75,2.0,1.75,2.0
346808,1.6666666666666667,1.5,1.6666666666666667,1.5
346809,8.0,1.75,8.0,1.75
346810,2.2222222222222223,1.4444444444444444,2.2222222222222223,1.4444444444444444
346811,1.1428571428571428,2.3333333333333335,1.1428571428571428,2.3333333333333335
346812,3.5,10.0,3.5,10.0
346813,3.3333333333333335,2.6666666666666665,3.3333333333333335,2.6666666666666665
346814,2.2,1.1428571428571428,2.2,1.1428571428571428
346815,3.5,3.6,3.5,3.6
346816,1.875,3.25,1.875,3.25
346817,2.0,2.5,2.0,2.5
346818,1.8571428571428572,3.0,1.8571428571428572,3.0
346819,4.0,4.4,4.0,4.4
346820,2.75,2.6,2.75,2.6
346821,2.0,1.875,2.0,1.875
346822,2.6666666666666665,1.25,2.6666666666666665,1.25
346823,8.0,1.7777777777777777,8.0,1.7777777777777777
346824,1.9166666666666667,1.3333333333333333,1.9166666666666667,1.3333333333333333
346825,1.4285714285714286,1.8333333333333333,1.4285714285714286,2.6666666666666665
346826,3.0,6.0,3.0,6.0
346827,3.0,2.625,3.0,2.625
346828,2.6666666666666665,2.0,2.6666666666666665,1.4285714285714286
346829,4.0,3.5,4.0,3.5
346830,2.5,4.2,2.5,4.2
346831,2.625,2.5,2.625,2.5
346832,1.75,2.4285714285714284,1.75,2.4285714285714284
346833,2.5,3.4285714285714284,2.5,3.4285714285714284
346834,4.0,5.666666666666667,3.1666666666666665,6.333333333333333
346835,14.0,5.5,5.0,3.25
346836,3.75,2.0,3.2,2.888888888888889
346837,2.857142857142857,2.0,2.875,2.1
346838,1.5,2.0,1.8,1.5833333333333333
346839,4.285714285714286,1.6,4.571428571428571,2.6
346840,4.0,5.0,5.333333333333333,3.0
346841,3.8,5.333333333333333,3.5,3.0
346842,1.6666666666666667,1.8333333333333333,1.6363636363636365,2.1666666666666665
346843,1.3636363636363635,4.0,1.3636363636363635,3.75
346844,2.5,1.25,1.7142857142857142,1.5
346845,3.3333333333333335,3.6,3.2857142857142856,2.857142857142857
346846,19.0,10.0,7.0,3.5
346847,2.5714285714285716,2.75,2.6666666666666665,2.75
346848,3.4,2.7142857142857144,2.5,3.3333333333333335
346849,3.0,1.5555555555555556,2.6666666666666665,1.9090909090909092
346850,1.5555555555555556,1.7,1.9090909090909092,1.625
346851,5.333333333333333,4.666666666666667,4.166666666666667,2.5
346852,3.5555555555555554,1.6666666666666667,3.7,3.0
346853,2.8,5.5,3.8,2.8
346854,2.0,2.4444444444444446,1.7692307692307692,2.5
346855,1.75,2.0,1.8461538461538463,2.3333333333333335
346856,1.6,3.3333333333333335,1.6363636363636365,3.2
346857,1.7,8.5,2.090909090909091,3.0
346858,2.75,1.0,2.142857142857143,1.625
346859,4.5,5.333333333333333,3.6666666666666665,6.666666666666667
346860,3.5,3.0,3.375,2.3333333333333335
346861,10.0,5.0,6.25,3.4
346862,2.5,1.2222222222222223,2.6363636363636362,1.3
346864,2.5,2.1666666666666665,2.3636363636363638,2.1818181818181817
346866,6.0,4.25,3.7142857142857144,2.7777777777777777
346867,5.0,1.25,4.1,2.2222222222222223
346868,1.8,11.0,3.8,3.0
346869,2.3333333333333335,2.2222222222222223,1.8461538461538463,2.1666666666666665
346870,1.8333333333333333,7.0,2.4545454545454546,3.111111111111111
346871,1.625,2.6666666666666665,1.9230769230769231,2.375
346872,1.8888888888888888,1.6666666666666667,2.0,2.125
346873,2.25,0.625,1.9166666666666667,1.3
346874,3.4285714285714284,10.5,3.2222222222222223,8.333333333333334
346875,4.0,4.0,3.5,2.7777777777777777
346876,2.125,1.5555555555555556,2.357142857142857,1.7
346878,1.8571428571428572,3.2,2.3333333333333335,2.8
346879,3.75,10.0,2.75,6.75
346880,1.7777777777777777,1.9,1.7222222222222223,2.0714285714285716
346881,4.0,2.0,2.3333333333333335,3.8
346882,3.8,1.4285714285714286,3.5555555555555554,2.111111111111111
346883,1.8888888888888888,10.5,1.6875,9.666666666666666
346884,3.2,3.0,2.272727272727273,2.6363636363636362
346885,1.1666666666666667,8.0,1.8461538461538463,3.1
346886,2.375,2.4,2.5,2.75
346887,3.5,1.2,2.8,1.6842105263157894
346888,1.875,1.1666666666666667,2.4615384615384617,1.1538461538461537
346889,6.0,1.6666666666666667,4.090909090909091,2.0
