game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
447654,2016-06-01,5.0,4,3,0,8,1,5.4,0.8,14.4,0.0,1.8,0.0,5.6667,3,2,1,6,1,3.18,0.71,9.53,6.0,1.59,1.59
447655,2016-06-01,6.3333,8,3,5,4,1,4.26,2.05,5.68,0.8,1.42,7.11,5.6667,7,5,6,3,0,7.94,2.29,4.76,0.5,0.0,9.53
447656,2016-06-01,6.0,2,1,3,4,0,1.5,0.83,6.0,1.33,0.0,4.5,8.0,4,0,8,8,0,0.0,1.5,9.0,1.0,0.0,9.0
447657,2016-06-01,3.3333,2,1,1,6,1,2.7,0.9,16.2,6.0,2.7,2.7,2.0,1,0,1,1,0,0.0,1.0,4.5,1.0,0.0,4.5
447658,2016-06-01,2.0,1,1,3,2,0,4.5,2.0,9.0,0.67,0.0,13.5,1.3333,0,0,1,2,0,0.0,0.75,13.5,2.0,0.0,6.75
447659,2016-06-01,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0,5,0,0.0,0.33,15.0,0.0,0.0,0.0
447660,2016-06-01,3.0,1,0,2,2,0,0.0,1.0,6.0,1.0,0.0,6.0,3.0,2,1,0,5,0,3.0,0.67,15.0,0.0,0.0,0.0
447661,2016-06-01,2.3333,0,0,0,2,0,0.0,0.0,7.71,0.0,0.0,0.0,2.0,5,5,2,1,0,22.5,3.5,4.5,0.5,0.0,9.0
447662,2016-06-01,3.0,2,2,3,5,0,6.0,1.67,15.0,1.67,0.0,9.0,3.0,1,1,0,4,0,3.0,0.33,12.0,0.0,0.0,0.0
447663,2016-06-01,5.3333,3,0,3,6,0,0.0,1.13,10.13,2.0,0.0,5.06,5.0,4,2,1,6,1,3.6,1.0,10.8,6.0,1.8,1.8
447664,2016-06-01,4.0,5,2,0,3,0,4.5,1.25,6.75,0.0,0.0,0.0,4.3333,9,6,0,6,2,12.46,2.08,12.46,0.0,4.15,0.0
447665,2016-06-01,1.0,1,1,0,1,1,9.0,1.0,9.0,0.0,9.0,0.0,3.0,1,1,0,1,1,3.0,0.33,3.0,0.0,3.0,0.0
447666,2016-06-01,3.0,2,0,2,3,0,0.0,1.33,9.0,1.5,0.0,6.0,2.0,3,1,0,3,0,4.5,1.5,13.5,0.0,0.0,0.0
447667,2016-06-01,4.0,4,1,1,3,0,2.25,1.25,6.75,3.0,0.0,2.25,3.0,4,2,2,2,0,6.0,2.0,6.0,1.0,0.0,6.0
447668,2016-06-01,3.0,3,1,1,2,0,3.0,1.33,6.0,2.0,0.0,3.0,1.0,1,0,1,1,0,0.0,2.0,9.0,1.0,0.0,9.0
