balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_sv,away_pitching_sv,home_pitching_cg,away_pitching_cg,home_pitching_sho,away_pitching_sho,home_pitching_qs,away_pitching_qs,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,home_fielding_fp,away_fielding_fp,home_fielding_tc,away_fielding_tc,home_fielding_po,away_fielding_po,home_fielding_a,away_fielding_a
2329,778538,2025-03-29,147,158,NYY,MIL,New York Yankees,Milwaukee Brewers,Yankees,Brewers,0,0,regular,regular,2025,2025,1,1,29,33,4,2,7,7,1,1,0,0,2,1,4,2,14,11,4,4,10,13,0,1,0.241,0.212,0.333,0.297,0.483,0.333,0.816,0.63,1,0,0,1,2.0,4.5,0,0,0,0,0,0,0,0,9.0,8.0,7,7,2,4,1,2,4,4,13,10,0.0,0.0,1.22,1.38,0,1,1.0,0.964,24,28,24,27,0,0
2333,778534,2025-03-29,145,108,CWS,LAA,Chicago White Sox,Los Angeles Angels,White Sox,Angels,0,0,regular,regular,2025,2025,1,1,33,32,8,1,9,5,2,1,0,0,3,1,8,1,20,9,2,2,6,10,0,0,0.273,0.156,0.314,0.206,0.606,0.281,0.92,0.487,1,0,0,1,1.0,9.0,0,0,0,0,0,0,0,0,9.0,8.0,5,9,1,8,1,3,2,2,10,6,0.0,0.0,0.78,1.38,0,0,1.0,1.0,24,27,24,27,0,0
2336,778528,2025-03-29,138,142,STL,MIN,St. Louis Cardinals,Minnesota Twins,Cardinals,Twins,0,0,regular,regular,2025,2025,1,1,33,34,5,3,10,8,1,2,0,0,2,1,5,3,17,13,2,3,5,11,0,1,0.303,0.235,0.343,0.297,0.515,0.382,0.858,0.679,1,0,0,1,3.0,3.38,0,0,0,0,0,0,0,0,9.0,8.0,8,10,3,3,1,2,3,2,11,5,0.0,0.0,1.22,1.5,0,1,1.0,0.964,24,28,24,27,0,0
2327,778536,2025-03-29,141,110,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,Blue Jays,Orioles,0,0,regular,regular,2025,2025,2,2,62,68,10,14,18,17,3,1,0,0,1,7,8,14,24,39,8,9,12,17,1,0,0.29,0.25,0.371,0.338,0.387,0.574,0.758,0.912,1,1,1,1,7.0,4.76,0,0,0,0,0,0,0,0,18.0,17.0,17,18,14,9,7,1,9,8,17,12,0.0,0.0,1.44,1.53,1,2,0.981,0.964,52,56,51,54,0,0
2330,778535,2025-03-29,120,143,WSH,PHI,Washington Nationals,Philadelphia Phillies,Nationals,Phillies,0,0,regular,regular,2025,2025,1,1,33,37,3,7,5,8,1,2,0,1,1,2,3,6,9,18,3,6,13,19,3,1,0.152,0.216,0.222,0.326,0.273,0.486,0.495,0.812,0,1,1,0,5.4,2.7,0,0,0,0,0,0,0,0,10.0,10.0,8,5,6,3,2,1,6,3,19,13,0.0,0.0,1.4,0.8,0,0,1.0,1.0,30,30,30,30,0,0
2335,778529,2025-03-29,118,114,KC,CLE,Kansas City Royals,Cleveland Guardians,Royals,Guardians,0,0,regular,regular,2025,2025,1,1,35,36,4,7,7,10,2,3,0,1,1,1,4,7,12,18,1,3,10,5,2,0,0.2,0.278,0.222,0.333,0.343,0.5,0.565,0.833,0,1,1,0,5.4,3.6,0,0,0,0,0,0,0,0,10.0,10.0,10,7,6,4,1,1,3,1,5,10,0.0,0.0,1.3,0.8,0,0,1.0,1.0,30,30,30,30,0,0
2332,778540,2025-03-29,113,137,CIN,SF,Cincinnati Reds,San Francisco Giants,Reds,Giants,0,0,regular,regular,2025,2025,1,1,33,33,4,6,8,6,1,0,0,0,0,2,4,6,9,12,4,2,8,17,0,0,0.242,0.182,0.324,0.229,0.273,0.364,0.597,0.593,0,1,1,0,6.0,4.0,0,0,0,0,0,0,0,0,9.0,9.0,6,8,6,4,2,0,2,4,17,8,0.0,0.0,0.89,1.33,0,0,1.0,1.0,27,27,27,27,0,0
2328,778537,2025-03-29,139,115,TB,COL,Tampa Bay Rays,Colorado Rockies,Rays,Rockies,0,0,regular,regular,2025,2025,1,1,30,32,3,2,7,7,1,3,0,0,1,0,3,2,11,10,1,3,9,12,0,2,0.233,0.219,0.258,0.286,0.367,0.312,0.625,0.598,1,0,0,1,1.0,3.38,0,0,0,0,0,0,0,0,9.0,8.0,7,7,1,3,0,1,3,1,12,9,0.0,0.0,1.11,1.0,1,1,0.96,0.964,25,28,24,27,0,0
2331,778539,2025-03-29,146,134,MIA,PIT,Miami Marlins,Pittsburgh Pirates,Marlins,Pirates,0,0,regular,regular,2025,2025,2,2,61,64,8,8,14,11,2,2,1,0,1,2,7,8,21,19,10,12,18,17,1,8,0.23,0.172,0.338,0.303,0.344,0.297,0.682,0.6,1,1,1,1,3.5,4.24,0,0,0,0,0,0,0,0,18.0,17.0,11,14,7,8,2,1,12,10,17,18,0.0,0.0,1.28,1.41,4,1,0.927,0.982,55,55,51,54,0,0
2334,778531,2025-03-29,140,111,TEX,BOS,Texas Rangers,Boston Red Sox,Rangers,Red Sox,0,0,regular,regular,2025,2025,2,2,62,67,6,6,15,14,2,0,0,0,2,2,6,6,23,20,5,5,10,20,2,4,0.242,0.209,0.299,0.264,0.371,0.299,0.67,0.563,1,1,1,1,3.0,3.18,0,0,0,0,0,0,0,0,18.0,17.0,14,15,6,6,2,2,5,5,20,10,0.0,0.0,1.06,1.18,0,0,1.0,1.0,51,54,51,54,0,0
