balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_sv,away_pitching_sv,home_pitching_cg,away_pitching_cg,home_pitching_sho,away_pitching_sho,home_pitching_qs,away_pitching_qs,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,home_fielding_fp,away_fielding_fp,home_fielding_tc,away_fielding_tc,home_fielding_po,away_fielding_po,home_fielding_a,away_fielding_a
1282811,778029,2025-05-08,115,116,COL,DET,Colorado Rockies,Detroit Tigers,Rockies,Tigers,0,0,regular,regular,2025,2025,37,37,1223,1250,117,193,263,318,54,51,10,6,31,48,116,187,430,525,109,138,371,328,18,16,0.215,0.254,0.279,0.329,0.352,0.42,0.631,0.749,7,24,30,13,5.26,3.01,0,0,0,0,0,0,0,0,320.0,326.33333333333337,364,267,187,109,41,35,130,112,250,308,0.0,0.0,1.54,1.16,27,17,0.974,0.983,1026,984,999,967,0,0
14303,778007,2025-05-08,142,110,MIN,BAL,Minnesota Twins,Baltimore Orioles,Twins,Orioles,0,0,regular,regular,2025,2025,37,36,1227,1165,147,134,292,262,63,44,4,4,32,43,141,126,459,443,104,102,293,311,20,18,0.238,0.225,0.298,0.287,0.374,0.38,0.672,0.667,17,13,20,23,3.48,5.53,0,0,0,0,0,0,0,0,320.3333333333333,311.0,291,352,124,191,37,56,94,127,327,254,0.0,0.0,1.2,1.54,21,21,0.979,0.978,990,972,969,951,0,0
14302,778006,2025-05-08,111,140,BOS,TEX,Boston Red Sox,Texas Rangers,Red Sox,Rangers,0,0,regular,regular,2025,2025,40,37,1382,1198,195,123,350,279,76,50,5,4,48,33,186,120,580,436,148,87,364,288,46,28,0.253,0.233,0.325,0.285,0.42,0.364,0.745,0.649,20,18,20,19,4.04,3.46,0,0,0,0,0,0,0,0,356.6666666666667,323.0,348,283,160,124,36,31,121,94,342,288,0.0,0.0,1.31,1.17,31,17,0.972,0.983,1104,982,1073,965,0,0
14304,778008,2025-05-08,118,145,KC,CWS,Kansas City Royals,Chicago White Sox,Royals,White Sox,0,0,regular,regular,2025,2025,39,37,1284,1198,135,128,309,259,67,46,4,1,27,26,135,124,465,385,106,127,268,316,34,28,0.241,0.216,0.299,0.291,0.362,0.321,0.661,0.612,23,10,16,27,2.96,4.07,0,0,0,0,0,0,0,0,346.33333333333337,316.3333333333333,295,292,114,143,35,41,118,143,313,270,0.0,0.0,1.19,1.38,14,27,0.987,0.973,1041,1000,1027,973,0,0
14305,778004,2025-05-08,115,116,COL,DET,Colorado Rockies,Detroit Tigers,Rockies,Tigers,0,0,regular,regular,2025,2025,38,38,1251,1289,118,204,268,332,54,54,10,6,31,49,117,198,435,545,113,140,375,333,18,17,0.214,0.258,0.279,0.33,0.348,0.423,0.627,0.753,7,25,31,13,5.33,2.95,0,0,0,0,0,0,0,0,329.0,335.33333333333337,378,272,195,110,42,35,132,116,255,312,0.0,0.0,1.55,1.16,29,17,0.973,0.983,1055,1011,1026,994,0,0
1282811,778029,2025-05-08,115,116,COL,DET,Colorado Rockies,Detroit Tigers,Rockies,Tigers,0,0,regular,regular,2025,2025,39,39,1280,1329,120,214,272,346,55,57,11,6,31,49,119,207,442,562,114,142,386,343,19,17,0.212,0.26,0.277,0.332,0.345,0.423,0.622,0.755,7,26,32,13,5.35,2.93,0,0,0,0,0,0,0,0,338.0,344.33333333333337,392,276,201,112,42,35,134,117,265,323,0.0,0.0,1.56,1.14,32,17,0.971,0.984,1085,1038,1053,1021,0,0
14301,778005,2025-05-08,139,143,TB,PHI,Tampa Bay Rays,Philadelphia Phillies,Rays,Phillies,0,0,regular,regular,2025,2025,36,36,1200,1230,135,174,287,318,53,54,3,6,29,38,130,164,433,498,114,140,310,286,41,34,0.239,0.259,0.305,0.334,0.361,0.405,0.666,0.739,16,21,20,15,3.78,3.85,0,0,0,0,0,0,0,0,323.6666666666667,322.66666666666663,286,303,136,138,49,35,104,106,285,355,0.0,0.0,1.2,1.27,14,15,0.986,0.985,971,971,957,956,0,0
14300,778003,2025-05-08,144,113,ATL,CIN,Atlanta Braves,Cincinnati Reds,Braves,Reds,0,0,regular,regular,2025,2025,36,39,1210,1305,144,181,290,311,51,56,3,3,41,39,138,174,470,490,122,141,310,337,23,44,0.24,0.238,0.309,0.313,0.388,0.375,0.697,0.688,17,19,19,20,4.02,3.65,0,0,0,0,0,0,0,0,315.33333333333337,345.3333333333333,271,270,141,140,44,51,123,121,312,323,0.0,0.0,1.25,1.13,13,21,0.987,0.98,964,1056,951,1035,0,0
14307,778000,2025-05-08,108,141,LAA,TOR,Los Angeles Angels,Toronto Blue Jays,Angels,Blue Jays,0,0,regular,regular,2025,2025,35,37,1149,1230,130,128,250,292,44,61,3,1,49,26,127,123,447,433,81,115,338,275,19,25,0.218,0.237,0.269,0.303,0.389,0.352,0.658,0.655,15,16,20,21,5.25,4.42,0,0,0,0,0,0,0,0,305.0,329.6666666666667,324,299,178,162,52,56,129,119,251,340,0.0,0.0,1.49,1.27,20,20,0.979,0.98,952,1011,932,991,0,0
14306,777999,2025-05-08,109,119,AZ,LAD,Arizona Diamondbacks,Los Angeles Dodgers,D-backs,Dodgers,0,0,regular,regular,2025,2025,37,37,1242,1248,186,203,306,323,74,60,6,9,46,59,181,196,530,578,151,139,286,315,31,27,0.246,0.259,0.328,0.333,0.427,0.463,0.755,0.796,19,25,18,12,4.47,3.68,0,0,0,0,0,0,0,0,332.0,328.0,305,283,165,134,50,37,123,134,320,352,0.0,0.0,1.29,1.27,22,16,0.978,0.984,1017,985,995,969,0,0
