game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_sv,away_pitching_sv,home_pitching_cg,away_pitching_cg,home_pitching_sho,away_pitching_sho,home_pitching_qs,away_pitching_qs,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,home_fielding_fp,away_fielding_fp,home_fielding_tc,away_fielding_tc,home_fielding_po,away_fielding_po,home_fielding_a,away_fielding_a
777741,2025-05-27,140,141,TEX,TOR,Texas Rangers,Toronto Blue Jays,Rangers,Blue Jays,0,0,regular,regular,2025,2025,55,53,1778,1774,183,207,396,436,67,87,5,2,57,46,179,198,644,665,140,177,438,381,47,32,0.223,0.246,0.279,0.314,0.362,0.375,0.642,0.689,26,26,29,27,3.27,4.12,0,0,0,0,0,0,0,0,478.3,473.7,401,423,174,217,49,76,154,152,424,474,0.226,0.238,1.16,1.21,22,24,0.0,0.0,0,0,0,0,0,0
777742,2025-05-27,135,146,SD,MIA,San Diego Padres,Miami Marlins,Padres,Marlins,0,0,regular,regular,2025,2025,52,52,1733,1779,217,213,435,443,76,85,7,8,49,48,198,204,672,688,160,161,371,435,39,46,0.251,0.249,0.314,0.311,0.388,0.387,0.702,0.698,30,21,22,31,3.49,5.21,0,0,0,0,0,0,0,0,461.0,463.0,381,468,179,268,54,64,169,200,458,418,0.22,0.263,1.19,1.44,27,26,0.0,0.0,0,0,0,0,0,0
777743,2025-05-27,136,120,SEA,WSH,Seattle Mariners,Washington Nationals,Mariners,Nationals,0,0,regular,regular,2025,2025,52,53,1762,1754,238,225,418,422,66,84,3,8,70,52,230,212,700,678,206,153,469,418,49,52,0.237,0.241,0.317,0.302,0.397,0.387,0.714,0.688,29,24,23,29,3.73,5.07,0,0,0,0,0,0,0,0,470.7,465.0,463,469,195,262,51,52,160,186,420,429,0.263,0.267,1.32,1.41,22,27,0.0,0.0,0,0,0,0,0,0
777744,2025-05-27,109,134,AZ,PIT,Arizona Diamondbacks,Pittsburgh Pirates,D-backs,Pirates,0,0,regular,regular,2025,2025,54,55,1834,1815,272,164,470,405,108,64,10,9,75,37,265,159,823,598,199,192,402,473,47,53,0.256,0.223,0.329,0.297,0.449,0.329,0.778,0.627,27,19,27,36,4.59,4.03,0,0,0,0,0,0,0,0,480.7,489.0,452,446,245,219,69,45,178,178,459,402,0.246,0.246,1.31,1.28,26,31,0.0,0.0,0,0,0,0,0,0
777745,2025-05-27,108,147,LAA,NYY,Los Angeles Angels,New York Yankees,Angels,Yankees,0,0,regular,regular,2025,2025,53,53,1755,1803,222,301,395,471,75,99,6,10,78,86,215,289,716,848,134,215,523,466,24,37,0.225,0.261,0.28,0.34,0.408,0.47,0.688,0.81,25,33,28,20,4.97,3.34,0,0,0,0,0,0,0,0,465.0,469.0,490,358,257,174,71,45,216,186,387,509,0.279,0.199,1.52,1.16,36,24,0.0,0.0,0,0,0,0,0,0
777752,2025-05-27,117,133,HOU,ATH,Houston Astros,Athletics,Astros,Athletics,0,0,regular,regular,2025,2025,53,54,1761,1861,214,231,448,478,73,87,6,7,49,67,204,222,680,780,161,173,405,412,24,27,0.254,0.257,0.317,0.32,0.386,0.419,0.703,0.739,28,23,25,31,3.42,5.29,0,0,0,0,0,0,0,0,465.3,483.3,373,504,177,284,50,75,166,211,491,444,0.212,0.271,1.16,1.48,23,32,0.0,0.0,0,0,0,0,0,0
777751,2025-05-27,112,115,CHC,COL,Chicago Cubs,Colorado Rockies,Cubs,Rockies,0,0,regular,regular,2025,2025,54,54,1889,1783,324,173,496,391,103,84,13,15,78,45,316,171,859,640,205,152,429,530,65,26,0.263,0.219,0.335,0.281,0.455,0.359,0.79,0.64,33,9,21,45,4.01,5.67,0,0,0,0,0,0,0,0,482.7,468.0,459,562,215,295,62,65,166,191,430,354,0.243,0.315,1.29,1.61,27,47,0.0,0.0,0,0,0,0,0,0
777748,2025-05-27,143,144,PHI,ATL,Philadelphia Phillies,Atlanta Braves,Phillies,Braves,0,0,regular,regular,2025,2025,53,52,1822,1765,260,216,475,437,84,74,8,6,58,56,246,207,749,691,197,174,416,439,51,33,0.261,0.248,0.333,0.315,0.411,0.392,0.744,0.707,34,25,19,27,3.74,3.74,0,0,0,0,0,0,0,0,476.7,460.0,445,400,198,191,52,60,155,168,520,437,0.244,0.227,1.26,1.23,20,22,0.0,0.0,0,0,0,0,0,0
777750,2025-05-27,118,113,KC,CIN,Kansas City Royals,Cincinnati Reds,Royals,Reds,0,0,regular,regular,2025,2025,55,55,1843,1855,183,255,453,459,95,98,11,7,33,55,180,244,669,736,131,191,388,492,44,54,0.246,0.247,0.296,0.318,0.363,0.397,0.659,0.714,29,27,26,28,3.1,3.82,0,0,0,0,0,0,0,0,490.3,488.0,428,418,169,207,50,65,150,166,442,445,0.232,0.225,1.18,1.2,22,26,0.0,0.0,0,0,0,0,0,0
777749,2025-05-27,121,145,NYM,CWS,New York Mets,Chicago White Sox,Mets,White Sox,0,0,regular,regular,2025,2025,54,54,1787,1753,233,183,438,384,92,76,12,1,55,44,224,178,719,594,198,170,412,454,42,45,0.245,0.219,0.32,0.288,0.402,0.339,0.723,0.627,33,17,21,37,2.77,4.09,0,0,0,0,0,0,0,0,480.0,464.7,400,434,148,211,34,56,197,204,482,385,0.224,0.248,1.24,1.37,26,40,0.0,0.0,0,0,0,0,0,0
777746,2025-05-27,139,142,TB,MIN,Tampa Bay Rays,Minnesota Twins,Rays,Twins,0,0,regular,regular,2025,2025,53,53,1771,1758,219,212,434,418,78,84,3,7,51,50,211,203,671,666,159,148,436,432,71,28,0.245,0.238,0.307,0.297,0.379,0.379,0.686,0.676,27,29,26,24,3.66,3.28,0,0,0,0,0,0,0,0,474.7,464.3,415,411,193,169,72,47,151,128,403,471,0.234,0.234,1.19,1.16,21,28,0.0,0.0,0,0,0,0,0,0
777755,2025-05-27,116,137,DET,SF,Detroit Tigers,San Francisco Giants,Tigers,Giants,0,0,regular,regular,2025,2025,55,54,1863,1780,281,238,471,411,86,80,7,8,64,54,268,227,763,669,187,190,481,455,20,26,0.253,0.231,0.321,0.305,0.41,0.376,0.731,0.681,35,31,20,23,3.27,3.25,0,0,0,0,0,0,0,0,490.0,476.0,408,415,178,172,55,40,158,160,477,454,0.219,0.233,1.16,1.21,23,29,0.0,0.0,0,0,0,0,0,0
777754,2025-05-27,110,138,BAL,STL,Baltimore Orioles,St. Louis Cardinals,Orioles,Cardinals,0,0,regular,regular,2025,2025,53,54,1769,1828,205,256,417,474,75,101,7,2,59,49,193,242,683,726,152,176,473,411,34,35,0.236,0.259,0.296,0.324,0.386,0.397,0.682,0.722,19,30,34,24,5.45,3.72,0,0,0,0,0,0,0,0,462.3,478.7,494,434,280,198,84,41,184,150,402,381,0.279,0.237,1.47,1.22,31,19,0.0,0.0,0,0,0,0,0,0
777753,2025-05-27,114,119,CLE,LAD,Cleveland Guardians,Los Angeles Dodgers,Guardians,Dodgers,0,0,regular,regular,2025,2025,53,54,1726,1839,211,301,398,483,75,90,5,9,55,84,199,290,648,843,167,209,421,445,38,37,0.231,0.263,0.298,0.338,0.375,0.458,0.674,0.796,29,33,24,21,4.03,4.05,0,0,0,0,0,0,0,0,466.7,482.0,450,430,209,217,57,67,198,187,453,494,0.261,0.234,1.39,1.28,33,24,0.0,0.0,0,0,0,0,0,0
777747,2025-05-27,158,111,MIL,BOS,Milwaukee Brewers,Boston Red Sox,Brewers,Red Sox,0,0,regular,regular,2025,2025,55,56,1820,1942,235,269,423,493,72,104,5,8,46,69,214,258,643,820,190,190,451,499,71,53,0.232,0.254,0.305,0.32,0.353,0.422,0.658,0.743,27,27,28,29,4.07,4.01,0,0,0,0,0,0,0,0,484.3,502.7,448,493,219,224,59,52,206,182,444,468,0.246,0.254,1.35,1.34,34,43,0.0,0.0,0,0,0,0,0,0
