game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
347076,2013-04-26,1.0,0,0,0,1,0,0.0,0.0,9.0,0.0,0.0,0.0,4.3333,5,2,3,2,1,4.15,1.85,4.15,0.67,2.08,6.23
347077,2013-04-26,2.3333,1,1,2,4,0,3.86,1.29,15.43,2.0,0.0,7.71,1.0,1,0,0,1,0,0.0,1.0,9.0,0.0,0.0,0.0
347078,2013-04-26,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0.0,1.0,9.0,0.0,0.0,0.0
347080,2013-04-26,3.0,2,0,0,0,0,0.0,0.67,0.0,0.0,0.0,0.0,4.0,2,0,2,4,0,0.0,1.0,9.0,2.0,0.0,4.5
347081,2013-04-26,3.0,3,1,0,4,0,3.0,1.0,12.0,0.0,0.0,0.0,5.0,9,2,0,5,1,3.6,1.8,9.0,0.0,1.8,0.0
347082,2013-04-26,3.0,1,0,1,3,0,0.0,0.67,9.0,3.0,0.0,3.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
347083,2013-04-26,3.0,2,0,0,3,0,0.0,0.67,9.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
347084,2013-04-26,2.3333,4,1,1,3,0,3.86,2.14,11.57,3.0,0.0,3.86,2.0,0,0,0,2,0,0.0,0.0,9.0,0.0,0.0,0.0
347085,2013-04-26,2.6667,1,1,1,3,0,3.37,0.75,10.12,3.0,0.0,3.37,2.0,3,3,0,2,1,13.5,1.5,9.0,0.0,4.5,0.0
347086,2013-04-26,7.0,6,2,2,11,2,2.57,1.14,14.14,5.5,2.57,2.57,5.3333,4,3,5,7,1,5.06,1.69,11.81,1.4,1.69,8.44
347087,2013-04-26,3.0,2,0,0,1,0,0.0,0.67,3.0,0.0,0.0,0.0,2.3333,2,0,0,2,0,0.0,0.86,7.71,0.0,0.0,0.0
347088,2013-04-26,2.0,3,0,1,2,0,0.0,2.0,9.0,2.0,0.0,4.5,8.0,10,7,5,7,1,7.88,1.88,7.88,1.4,1.12,5.62
347089,2013-04-26,6.0,3,1,2,7,0,1.5,0.83,10.5,3.5,0.0,3.0,3.6667,4,0,3,2,0,0.0,1.91,4.91,0.67,0.0,7.36
347090,2013-04-26,3.6667,4,1,0,4,0,2.45,1.09,9.82,0.0,0.0,0.0,2.0,5,4,2,0,0,18.0,3.5,0.0,0.0,0.0,9.0
