game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
347653,2013-09-14,2.0,2,0,0,4,0,0.0,1.0,18.0,0.0,0.0,0.0,3.0,1,0,0,3,0,0.0,0.33,9.0,0.0,0.0,0.0
348950,2013-09-14,3.0,3,2,3,2,0,6.0,2.0,6.0,0.67,0.0,9.0,3.0,3,0,0,4,0,0.0,1.0,12.0,0.0,0.0,0.0
348951,2013-09-14,2.0,0,0,0,1,0,0.0,0.0,4.5,0.0,0.0,0.0,2.0,2,1,1,1,1,4.5,1.5,4.5,1.0,4.5,4.5
348952,2013-09-14,4.0,2,3,3,5,1,6.75,1.25,11.25,1.67,2.25,6.75,2.0,1,0,4,5,0,0.0,2.5,22.5,1.25,0.0,18.0
348953,2013-09-14,5.0,4,3,4,7,0,5.4,1.6,12.6,1.75,0.0,7.2,0.6667,1,0,0,1,0,0.0,1.5,13.5,0.0,0.0,0.0
348954,2013-09-14,2.6667,1,0,0,3,0,0.0,0.37,10.12,0.0,0.0,0.0,3.3333,9,7,2,2,1,18.9,3.3,5.4,1.0,2.7,5.4
348955,2013-09-14,1.3333,0,0,0,1,0,0.0,0.0,6.75,0.0,0.0,0.0,2.3333,2,0,1,2,0,0.0,1.29,7.71,2.0,0.0,3.86
348956,2013-09-14,3.0,3,1,2,1,0,3.0,1.67,3.0,0.5,0.0,6.0,2.0,0,0,1,3,0,0.0,0.5,13.5,3.0,0.0,4.5
348957,2013-09-14,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,3,0,0.0,1.0,13.5,1.5,0.0,9.0
348958,2013-09-14,2.0,0,0,1,1,0,0.0,0.5,4.5,1.0,0.0,4.5,1.0,0,0,1,1,0,0.0,1.0,9.0,1.0,0.0,9.0
348959,2013-09-14,3.0,4,1,0,2,0,3.0,1.33,6.0,0.0,0.0,0.0,3.0,2,0,2,1,0,0.0,1.33,3.0,0.5,0.0,6.0
348960,2013-09-14,1.6667,1,1,1,2,1,5.4,1.2,10.8,2.0,5.4,5.4,2.0,1,0,5,2,0,0.0,3.0,9.0,0.4,0.0,22.5
348961,2013-09-14,4.0,3,2,1,3,1,4.5,1.0,6.75,3.0,2.25,2.25,3.0,1,1,2,1,0,3.0,1.0,3.0,0.5,0.0,6.0
348962,2013-09-14,7.6667,15,12,4,4,2,14.09,2.48,4.7,1.0,2.35,4.7,3.0,3,0,0,4,0,0.0,1.0,12.0,0.0,0.0,0.0
348963,2013-09-14,5.0,4,2,4,7,0,3.6,1.6,12.6,1.75,0.0,7.2,6.0,3,0,1,5,0,0.0,0.67,7.5,5.0,0.0,1.5
348964,2013-09-14,3.0,3,0,1,3,0,0.0,1.33,9.0,3.0,0.0,3.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
