game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
348625,2013-08-21,3.0,5.9,4,7,2,3,5,1,2,5,1,0,6.0,4.58,3.0,1.36,6.0,7.63,0.4,5.0,3.0,0.0,15.0,1.53
348626,2013-08-21,3.0,4.0,4,2,3,0,0,2,3,5,1,0,9.0,0.0,1.33,1.0,9.0,11.25,0.0,2.5,3.0,0.0,0.0,4.5
348627,2013-08-21,5.8,1.0,5,0,5,0,1,0,5,1,1,0,7.76,0.0,1.03,0.0,7.76,9.0,5.0,0.0,1.55,0.0,1.55,0.0
348628,2013-08-21,3.0,3.0,4,1,0,0,2,1,1,2,0,0,0.0,0.0,2.0,0.67,3.0,6.0,0.5,2.0,0.0,0.0,6.0,3.0
348629,2013-08-21,2.9,2.8,2,2,1,0,2,0,1,5,0,0,3.1,0.0,1.38,0.71,3.1,16.07,0.5,0.0,0.0,0.0,6.21,0.0
348630,2013-08-21,3.0,4.1,4,2,2,1,2,2,3,1,0,0,6.0,2.2,2.0,0.98,9.0,2.2,1.5,0.5,0.0,0.0,6.0,4.39
348631,2013-08-21,2.8,1.8,0,5,0,0,0,1,4,2,0,0,0.0,0.0,0.0,3.33,12.86,10.0,0.0,2.0,0.0,0.0,0.0,5.0
348632,2013-08-21,2.0,2.0,0,1,0,0,1,0,3,0,0,0,0.0,0.0,0.5,0.5,13.5,0.0,3.0,0.0,0.0,0.0,4.5,0.0
348633,2013-08-21,3.0,2.0,2,0,1,0,1,0,2,4,0,0,3.0,0.0,1.0,0.0,6.0,18.0,2.0,0.0,0.0,0.0,3.0,0.0
348634,2013-08-21,2.0,3.9,1,1,0,0,1,1,0,1,0,0,0.0,0.0,1.0,0.51,0.0,2.31,0.0,1.0,0.0,0.0,4.5,2.31
348635,2013-08-21,6.0,0.0,2,0,0,0,4,0,4,0,0,0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
348636,2013-08-21,5.0,4.9,6,8,5,2,2,0,4,7,1,0,9.0,3.67,1.6,1.63,7.2,12.86,2.0,0.0,1.8,0.0,3.6,0.0
348637,2013-08-21,5.8,4.8,2,5,1,1,2,3,4,5,1,1,1.55,1.88,0.69,1.67,6.21,9.38,2.0,1.67,1.55,1.88,3.1,5.62
348638,2013-08-21,2.0,2.9,2,4,1,2,0,1,3,2,0,0,4.5,6.21,1.0,1.72,13.5,6.21,0.0,2.0,0.0,0.0,0.0,3.1
348639,2013-08-21,2.0,1.0,1,0,1,0,1,1,2,1,0,0,4.5,0.0,1.0,1.0,9.0,9.0,2.0,1.0,0.0,0.0,4.5,9.0
