iter	Passed	Remaining
400	11068	4361
401	11091	4331
402	11115	4302
403	11140	4274
404	11162	4244
405	11181	4213
406	11203	4184
407	11223	4153
408	11245	4124
409	11272	4096
410	11295	4067
411	11330	4042
412	11370	4019
413	11406	3995
414	11442	3970
415	11478	3945
416	11515	3921
417	11555	3897
418	11597	3875
419	11633	3850
420	11669	3825
421	11716	3803
422	11763	3782
423	11808	3759
424	11865	3741
425	11910	3718
426	11956	3696
427	12000	3673
428	12039	3648
429	12097	3629
430	12138	3604
431	12178	3580
432	12232	3559
433	12277	3536
434	12320	3512
435	12364	3488
436	12406	3463
437	12452	3440
438	12506	3418
439	12553	3395
440	12600	3371
441	12637	3345
442	12678	3319
443	12726	3296
444	12763	3269
445	12806	3244
446	12852	3220
447	12906	3197
448	12971	3177
449	13057	3162
450	13119	3141
451	13176	3119
452	13245	3099
453	13285	3072
454	13325	3045
455	13373	3020
456	13410	2993
457	13454	2967
458	13491	2939
459	13525	2910
460	13560	2882
461	13579	2851
462	13607	2821
463	13629	2790
464	13659	2761
465	13679	2729
466	13703	2699
467	13728	2669
468	13747	2638
469	13769	2607
470	13793	2577
471	13821	2547
472	13844	2517
473	13867	2486
474	13892	2456
475	13917	2426
476	13958	2399
477	14013	2374
478	14057	2347
479	14097	2320
480	14147	2294
481	14187	2266
482	14212	2236
483	14239	2206
484	14263	2176
485	14286	2145
486	14308	2115
487	14330	2084
488	14352	2054
489	14387	2025
490	14409	1995
491	14430	1965
492	14449	1934
493	14471	1904
494	14493	1873
495	14516	1843
496	14545	1814
497	14566	1784
498	14588	1754
499	14615	1724
500	14643	1695
501	14668	1665
502	14689	1635
503	14715	1605
504	14735	1575
505	14765	1546
506	14789	1516
507	14813	1487
508	14842	1457
509	14863	1428
510	14888	1398
511	14908	1368
512	14927	1338
513	14950	1308
514	14968	1278
515	14989	1249
516	15024	1220
517	15064	1192
518	15093	1163
519	15113	1133
520	15136	1104
521	15158	1074
522	15183	1045
523	15201	1015
524	15230	986
525	15250	956
526	15269	927
527	15289	897
528	15310	868
529	15334	839
530	15353	809
531	15379	780
532	15406	751
533	15426	722
534	15448	693
535	15471	663
536	15490	634
537	15514	605
538	15540	576
539	15559	547
540	15584	518
541	15604	489
542	15628	460
543	15658	431
544	15680	402
545	15700	373
546	15727	345
547	15747	316
548	15768	287
549	15788	258
550	15810	229
551	15829	200
552	15850	171
553	15868	143
554	15892	114
555	15910	85
556	15933	57
557	15952	28
558	15975	0
