iter	Logloss
214	0.6747218255
215	0.6747077156
216	0.6746953918
217	0.6746781773
218	0.6746626958
219	0.6746452949
220	0.6746254562
221	0.6746141097
222	0.674600712
223	0.6745857806
224	0.6745766605
225	0.6745666137
226	0.6745517784
227	0.6745398865
228	0.6745260521
229	0.6745138868
230	0.6745058701
231	0.6744945054
232	0.6744834726
233	0.6744708626
234	0.6744563606
235	0.6744410635
236	0.6744325212
237	0.6744208415
238	0.6744095439
239	0.6744002365
240	0.6743885788
241	0.6743749621
242	0.6743647728
243	0.6743529269
244	0.6743426523
245	0.6743357359
246	0.6743255361
247	0.6743142632
248	0.6743096917
249	0.6742995244
250	0.6742908332
251	0.6742828411
252	0.6742733177
253	0.6742648169
254	0.6742573717
255	0.6742488574
256	0.674232704
257	0.6742235348
258	0.6742109201
259	0.6742010814
260	0.6741963982
261	0.6741840235
262	0.674171361
263	0.6741635383
264	0.6741569105
265	0.6741477964
266	0.6741368362
267	0.6741220256
268	0.6741130979
269	0.6741036962
270	0.6740940269
271	0.6740878575
272	0.6740754847
273	0.6740708131
274	0.6740645879
275	0.6740583924
276	0.6740519997
277	0.6740442949
278	0.6740372152
279	0.6740252043
280	0.6740184275
281	0.6740085732
282	0.674001061
283	0.6739936208
284	0.6739819407
285	0.6739720838
286	0.673964672
287	0.6739553658
288	0.6739525687
289	0.6739415823
290	0.6739345704
291	0.6739253062
292	0.6739197573
293	0.6739117878
294	0.6739030063
295	0.6738950859
296	0.6738892488
297	0.6738816364
298	0.6738724491
299	0.6738669481
300	0.6738582093
301	0.6738464842
302	0.6738367878
303	0.6738241954
304	0.6738127632
305	0.6738060876
306	0.6737990757
307	0.6737912661
308	0.6737845916
309	0.6737772615
310	0.6737691008
311	0.6737606539
312	0.6737523594
313	0.6737428373
314	0.6737345523
315	0.6737267713
316	0.6737208569
317	0.6737134389
318	0.6737001817
319	0.6736911376
320	0.6736834134
321	0.6736741343
322	0.6736662272
323	0.6736589836
324	0.6736511366
325	0.6736401509
326	0.6736313247
327	0.6736244601
328	0.6736163491
329	0.6736093177
330	0.6736007334
331	0.6735933389
332	0.6735849161
333	0.6735800108
334	0.6735746291
335	0.6735671886
336	0.6735601515
337	0.6735525891
338	0.6735461596
339	0.6735398738
340	0.673532244
341	0.6735268515
342	0.6735160816
343	0.6735090969
344	0.6735008798
345	0.6734917438
346	0.6734851635
347	0.6734761191
348	0.6734722449
349	0.673465516
350	0.6734628643
351	0.6734575986
352	0.6734492711
353	0.6734417085
354	0.6734396046
355	0.673429456
356	0.6734235524
357	0.6734161783
358	0.6734080701
359	0.6734005768
360	0.6733921314
361	0.6733840382
362	0.6733776227
363	0.673369986
364	0.6733617321
365	0.6733535035
366	0.6733485255
367	0.6733434756
368	0.6733381124
369	0.6733293769
370	0.6733224347
371	0.6733140601
372	0.6733075803
373	0.6732976012
374	0.6732888447
375	0.6732802282
376	0.673275083
377	0.6732675649
378	0.6732597854
379	0.6732532551
380	0.6732469817
381	0.6732389882
382	0.673232788
383	0.6732283169
384	0.6732250911
385	0.6732203323
386	0.6732141808
387	0.67320717
388	0.6732030289
389	0.6731952483
390	0.6731912523
391	0.6731840493
392	0.6731793121
393	0.6731746691
394	0.6731675623
395	0.6731631804
396	0.6731590615
397	0.6731515678
398	0.6731409225
399	0.673136092
400	0.6731297968
401	0.6731256093
402	0.6731196559
403	0.6731125416
404	0.673107038
405	0.6731022286
406	0.673097174
407	0.67309131
408	0.6730858047
409	0.6730761204
410	0.6730699209
411	0.6730660732
412	0.6730585558
413	0.6730530491
414	0.6730483542
415	0.6730434988
416	0.6730384253
417	0.6730310334
418	0.6730239269
419	0.6730206
420	0.6730139465
421	0.6730105706
422	0.6730051824
423	0.6729989568
424	0.6729937684
425	0.6729881658
426	0.6729824972
427	0.6729774002
428	0.6729713168
429	0.6729656414
430	0.6729594898
431	0.6729551094
432	0.6729507244
433	0.672946824
434	0.6729405532
435	0.6729378732
436	0.6729333709
437	0.6729306706
438	0.6729277259
439	0.6729239645
440	0.6729185607
441	0.6729143513
442	0.6729050411
443	0.672900088
444	0.6728926447
445	0.6728850838
446	0.6728803665
447	0.6728743103
448	0.6728669658
449	0.6728598802
450	0.6728532513
451	0.6728476027
452	0.6728411164
453	0.6728384364
454	0.6728332175
455	0.6728273549
456	0.6728257284
457	0.6728209668
458	0.6728179267
459	0.672814244
460	0.6728108435
461	0.6728060551
462	0.6728011171
463	0.6727980777
464	0.6727922641
465	0.6727884349
466	0.6727831696
467	0.6727790006
468	0.6727768711
469	0.6727703102
470	0.6727660054
471	0.6727583184
472	0.6727495083
473	0.6727424726
474	0.6727394579
475	0.6727355576
476	0.6727318684
477	0.6727274627
478	0.6727176501
479	0.6727129353
480	0.6727095612
481	0.6727036246
482	0.672696466
483	0.6726912075
484	0.6726858497
485	0.6726832144
486	0.672677973
487	0.6726728046
488	0.672665766
489	0.6726607629
490	0.6726550238
491	0.6726500715
492	0.6726438896
493	0.6726404933
494	0.6726352045
495	0.6726311101
496	0.6726245074
497	0.6726199137
498	0.6726154879
499	0.6726113508
500	0.6726084051
501	0.6726022805
502	0.6725947386
503	0.6725897662
504	0.6725844041
505	0.6725767275
506	0.6725714383
507	0.6725667249
508	0.6725615089
509	0.6725563654
510	0.6725515849
511	0.6725459863
512	0.6725416548
513	0.6725363842
514	0.672531479
515	0.6725274107
516	0.6725221469
517	0.6725170242
518	0.6725128627
519	0.6725093679
520	0.6725034657
521	0.6724990863
522	0.6724933155
523	0.6724884039
524	0.6724846437
525	0.6724800232
526	0.6724768385
527	0.6724730075
528	0.6724690336
529	0.6724632631
530	0.6724604864
531	0.6724555093
532	0.672449696
533	0.6724455303
534	0.6724420401
535	0.6724363436
536	0.6724281812
537	0.6724233207
538	0.6724201609
539	0.6724173144
540	0.6724142332
541	0.6724044679
542	0.6724015929
543	0.6723969288
544	0.672393221
545	0.6723869277
546	0.6723827748
547	0.6723735142
548	0.6723692845
549	0.6723643318
550	0.6723582745
551	0.67235612
552	0.6723494037
553	0.6723447589
554	0.6723395404
555	0.6723355162
556	0.6723316365
557	0.6723271854
558	0.6723219608
