game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
244475,2009-04-27,217096,150116,Barry Zito,Randy Wolf,137,119,SF,LAD,2009,2009,0,0,regular,regular,3,4,3,4,1,2,1,2,2,2,5.62,4.26,0,0,0,0,16.0,25.3,17,20,10,12,1,2,6,8,1.44,1.11,13,23,7.31,8.17,,
244472,2009-04-27,429717,150404,Dan Haren,Ted Lilly,109,112,AZ,CHC,2009,2009,0,0,regular,regular,4,3,4,3,4,2,1,2,3,1,1.38,2.41,0,0,0,0,26.0,18.7,18,14,4,5,1,4,5,2,0.88,0.86,26,13,9.0,6.27,,
244478,2009-04-27,434628,432934,Jason Hammel,Chris Young,115,135,COL,SD,2009,2009,0,0,regular,regular,0,4,0,4,0,3,0,2,0,1,0.0,3.42,0,0,0,0,0.0,23.7,0,20,0,9,0,1,0,8,0.0,1.18,0,17,0.0,6.46,,
244481,2009-04-27,435044,435298,Scott Baker,Jeff Niemann,142,139,MIN,TB,2009,2009,0,0,regular,regular,2,3,2,3,0,1,0,1,2,2,12.46,5.4,0,0,0,0,8.7,16.7,15,18,12,10,7,3,3,7,2.08,1.5,5,9,5.19,4.86,,
244483,2009-04-27,446454,453515,Brian Bannister,David Purcey,118,141,KC,TOR,2009,2009,0,0,regular,regular,1,4,1,4,1,1,1,2,0,1,0.0,6.1,0,0,0,0,6.0,20.7,4,20,0,14,0,1,2,15,1.0,1.69,1,23,1.5,10.02,,
244477,2009-04-27,131702,444371,Braden Looper,Jeff Karstens,158,134,MIL,PIT,2009,2009,0,0,regular,regular,3,2,3,2,2,1,3,1,0,1,2.12,3.6,0,0,0,0,17.0,10.0,16,7,4,4,2,1,7,7,1.35,1.4,9,4,4.76,3.6,,
244473,2009-04-27,429720,434671,John Maine,Aníbal Sánchez,121,146,NYM,FLA,2009,2009,0,0,regular,regular,3,3,3,3,0,2,0,2,3,1,7.47,2.5,0,0,0,0,15.7,18.0,16,19,13,5,2,1,9,8,1.6,1.5,11,13,6.32,6.5,,
244474,2009-04-27,456501,400061,Johnny Cueto,Roy Oswalt,113,117,CIN,HOU,2009,2009,0,0,regular,regular,3,4,3,4,1,2,1,1,1,3,2.55,4.68,0,0,0,0,17.7,25.0,14,29,5,13,1,6,7,7,1.19,1.44,15,16,7.64,5.76,,
244476,2009-04-27,434378,282332,Justin Verlander,CC Sabathia,116,147,DET,NYY,2009,2009,0,0,regular,regular,4,4,4,4,0,1,2,2,1,2,9.0,4.81,0,0,0,0,21.0,24.3,27,25,21,13,3,1,9,14,1.71,1.6,25,12,10.71,4.44,,
244484,2009-04-27,430599,463017,Joe Blanton,Shairon Martis,143,120,PHI,WSH,2009,2009,0,0,regular,regular,3,3,3,3,2,2,0,2,2,0,7.31,4.11,0,0,0,0,16.0,15.3,25,16,13,7,3,1,4,7,1.81,1.5,16,4,9.0,2.35,,
244482,2009-04-27,425386,457448,Jeremy Guthrie,Matt Harrison,110,140,BAL,TEX,2009,2009,0,0,regular,regular,4,3,4,3,2,0,2,0,2,3,5.16,9.2,0,0,0,0,22.7,14.7,28,26,13,15,4,4,10,11,1.68,2.52,12,6,4.76,3.68,,
244471,2009-04-27,424324,123801,Cliff Lee,Tim Wakefield,114,111,CLE,BOS,2009,2009,0,0,regular,regular,4,3,4,3,2,3,1,2,3,1,5.25,2.45,0,0,0,0,24.0,22.0,33,15,14,6,2,0,9,8,1.75,1.05,19,12,7.12,4.91,,
244480,2009-04-27,457453,334492,Jair Jurrjens,Joel Pineiro,144,138,ATL,STL,2009,2009,0,0,regular,regular,4,3,4,3,2,2,3,3,1,0,1.42,4.12,0,0,0,0,25.3,19.7,19,23,4,9,0,1,12,6,1.22,1.47,14,5,4.97,2.29,,
