game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_sv,away_pitching_sv,home_pitching_cg,away_pitching_cg,home_pitching_sho,away_pitching_sho,home_pitching_qs,away_pitching_qs,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,home_fielding_fp,away_fielding_fp,home_fielding_tc,away_fielding_tc,home_fielding_po,away_fielding_po,home_fielding_a,away_fielding_a
317933,2012-04-20,139,142,TB,MIN,Rays,Twins,Tampa Bay Rays,Minnesota Twins,0,0,regular,regular,2012,2012,13,13,432,447,62,50,110,119,23,26,2,2,16,12,61,49,185,185,54,32,102,90,4,6,0.255,0.266,0.337,0.315,0.428,0.414,0.766,0.729,7,4,6,9,5.35,5.54,0,0,0,0,0,0,0,0,111.0,112.0,117,131,66,69,14,20,57,30,79,63,0.271,0.293,1.57,1.44,8,9,0.0,0.0,0,0,0,0,0,0
317939,2012-04-20,118,141,KC,TOR,Royals,Blue Jays,Kansas City Royals,Toronto Blue Jays,0,0,regular,regular,2012,2012,12,12,416,437,45,60,106,105,29,19,3,2,9,15,43,57,168,173,28,43,73,91,6,6,0.255,0.24,0.302,0.308,0.404,0.396,0.706,0.704,3,6,9,6,4.37,4.23,0,0,0,0,0,0,0,0,107.2,117.0,108,92,52,55,11,20,43,50,97,83,0.26,0.211,1.41,1.21,8,8,0.0,0.0,0,0,0,0,0,0
317937,2012-04-20,134,138,PIT,STL,Pirates,Cardinals,Pittsburgh Pirates,St. Louis Cardinals,0,0,regular,regular,2012,2012,12,13,390,458,26,73,80,134,10,24,2,6,6,19,23,73,112,227,20,39,93,100,8,10,0.205,0.293,0.244,0.348,0.287,0.496,0.531,0.844,5,9,7,4,2.8,3.02,0,0,0,0,0,0,0,0,103.0,116.1,91,98,32,39,7,11,34,25,67,94,0.233,0.214,1.21,1.06,7,7,0.0,0.0,0,0,0,0,0,0
317936,2012-04-20,121,137,NYM,SF,Mets,Giants,New York Mets,San Francisco Giants,0,0,regular,regular,2012,2012,12,12,398,420,45,50,103,106,22,22,0,5,12,9,43,48,161,165,46,35,99,65,3,6,0.259,0.252,0.336,0.31,0.405,0.393,0.74,0.703,7,6,5,6,3.77,3.65,0,0,0,0,0,0,0,0,105.0,106.0,108,96,44,43,8,8,43,28,101,76,0.271,0.229,1.44,1.17,9,16,0.0,0.0,0,0,0,0,0,0
317935,2012-04-20,135,143,SD,PHI,Padres,Phillies,San Diego Padres,Philadelphia Phillies,0,0,regular,regular,2012,2012,14,13,451,440,48,37,96,107,21,16,3,1,9,6,44,35,150,143,59,22,121,83,7,13,0.213,0.243,0.304,0.279,0.333,0.325,0.637,0.604,3,6,11,7,3.88,2.32,0,0,0,0,0,0,0,0,125.4,116.5,105,100,54,30,14,9,63,29,110,97,0.233,0.227,1.34,1.11,15,6,0.0,0.0,0,0,0,0,0,0
317934,2012-04-20,111,147,BOS,NYY,Red Sox,Yankees,Boston Red Sox,New York Yankees,0,0,regular,regular,2012,2012,12,13,409,457,59,69,107,126,31,24,1,1,12,19,57,67,176,209,41,54,92,73,4,11,0.262,0.276,0.329,0.352,0.43,0.457,0.759,0.81,4,7,8,6,6.24,4.19,0,0,0,0,0,0,0,0,105.3,118.1,121,125,73,55,18,17,41,44,87,127,0.296,0.274,1.54,1.43,2,4,0.0,0.0,0,0,0,0,0,0
317932,2012-04-20,117,119,HOU,LAD,Astros,Dodgers,Houston Astros,Los Angeles Dodgers,0,0,regular,regular,2012,2012,13,13,458,425,57,60,118,106,23,24,6,3,7,12,54,59,174,172,45,50,100,84,10,10,0.258,0.249,0.324,0.328,0.38,0.405,0.704,0.733,5,10,8,3,3.57,3.15,0,0,0,0,0,0,0,0,116.1,117.3,115,88,46,41,10,9,38,45,83,117,0.251,0.207,1.32,1.13,11,7,0.0,0.0,0,0,0,0,0,0
317925,2012-04-20,109,144,AZ,ATL,D-backs,Braves,Arizona Diamondbacks,Atlanta Braves,0,0,regular,regular,2012,2012,13,13,432,443,55,75,99,116,19,24,3,4,15,15,54,71,169,193,50,43,105,95,13,13,0.229,0.262,0.309,0.327,0.391,0.436,0.7,0.763,7,8,6,5,4.03,3.98,0,0,0,0,0,0,0,0,116.2,113.0,111,124,52,50,14,12,44,45,92,98,0.257,0.28,1.33,1.5,9,12,0.0,0.0,0,0,0,0,0,0
317930,2012-04-20,158,115,MIL,COL,Brewers,Rockies,Milwaukee Brewers,Colorado Rockies,0,0,regular,regular,2012,2012,13,12,423,409,54,60,98,109,23,29,3,7,16,11,53,57,175,185,36,39,107,75,12,8,0.232,0.267,0.292,0.33,0.414,0.452,0.706,0.783,6,6,7,6,5.05,4.5,0,0,0,0,0,0,0,0,114.0,106.0,120,114,64,53,15,14,47,39,103,72,0.284,0.279,1.46,1.44,12,15,0.0,0.0,0,0,0,0,0,0
317929,2012-04-20,133,114,OAK,CLE,Athletics,Indians,Oakland Athletics,Cleveland Indians,0,0,regular,regular,2012,2012,14,11,466,408,43,64,93,97,19,18,0,2,12,16,40,63,148,167,38,57,105,89,11,7,0.2,0.238,0.26,0.331,0.318,0.409,0.578,0.74,7,6,7,5,2.92,4.79,0,0,0,0,0,0,0,0,126.2,109.0,107,108,41,58,11,11,28,39,74,77,0.23,0.265,1.07,1.35,8,8,0.0,0.0,0,0,0,0,0,0
