Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1.0,Garrett Crochet*,26.0,BOS,AL,3.1,6.0,4.0,0.6,2.24,15.0,15.0,0.0,0.0,0.0,0.0,96.1,71.0,27.0,24.0,9.0,28.0,0.0,117.0,0.0,3.0,0.0,382.0,184.0,2.73,1.028,6.6,0.8,2.6,10.9,4.18,
2.0,Paul Skenes,23.0,PIT,NL,4.1,4.0,6.0,0.4,1.78,15.0,15.0,0.0,1.0,0.0,0.0,96.0,60.0,22.0,19.0,5.0,22.0,0.0,97.0,2.0,0.0,1.0,365.0,235.0,2.48,0.854,5.6,0.5,2.1,9.1,4.41,
3.0,Max Fried*,31.0,NYY,AL,3.4,9.0,2.0,0.818,1.89,15.0,15.0,0.0,0.0,0.0,0.0,95.0,70.0,25.0,20.0,7.0,20.0,0.0,90.0,4.0,1.0,4.0,373.0,213.0,2.89,0.947,6.6,0.7,1.9,8.5,4.5,
4.0,Logan Webb,28.0,SFG,NL,1.9,6.0,5.0,0.545,2.58,15.0,15.0,0.0,0.0,0.0,0.0,94.1,86.0,31.0,27.0,6.0,20.0,0.0,105.0,1.0,0.0,2.0,380.0,147.0,2.34,1.124,8.2,0.6,1.9,10.0,5.25,
5.0,Luis Severino,31.0,ATH,AL,1.4,2.0,6.0,0.25,4.47,15.0,15.0,0.0,0.0,0.0,0.0,90.2,89.0,48.0,45.0,6.0,29.0,1.0,61.0,5.0,0.0,1.0,391.0,92.0,3.71,1.301,8.8,0.6,2.9,6.1,2.1,
6.0,Tarik Skubal*,28.0,DET,AL,3.7,7.0,2.0,0.778,1.99,14.0,14.0,0.0,1.0,1.0,0.0,90.1,64.0,20.0,20.0,6.0,9.0,0.0,111.0,3.0,1.0,1.0,339.0,201.0,1.88,0.808,6.4,0.6,0.9,11.1,12.33,
7.0,Framber Valdez*,31.0,HOU,AL,2.2,7.0,4.0,0.636,3.1,14.0,14.0,0.0,2.0,0.0,0.0,90.0,70.0,31.0,31.0,6.0,28.0,0.0,96.0,4.0,0.0,4.0,359.0,130.0,2.87,1.089,7.0,0.6,2.8,9.6,3.43,
8.0,Carlos RodÃ³n*,32.0,NYY,AL,2.4,8.0,5.0,0.615,3.01,15.0,15.0,0.0,0.0,0.0,0.0,89.2,57.0,33.0,30.0,10.0,32.0,0.0,107.0,2.0,0.0,2.0,356.0,134.0,3.27,0.993,5.7,1.0,3.2,10.7,3.34,
9.0,Spencer Schwellenbach,25.0,ATL,NL,1.1,5.0,4.0,0.556,3.11,14.0,14.0,0.0,1.0,0.0,0.0,89.2,76.0,37.0,31.0,10.0,14.0,1.0,84.0,2.0,0.0,2.0,358.0,131.0,3.18,1.004,7.6,1.0,1.4,8.4,6.0,
10.0,Mitch Keller,29.0,PIT,NL,0.8,1.0,9.0,0.1,4.08,15.0,15.0,0.0,0.0,0.0,0.0,88.1,88.0,43.0,40.0,6.0,22.0,0.0,68.0,4.0,0.0,2.0,373.0,103.0,3.3,1.245,9.0,0.6,2.2,6.9,3.09,
11.0,Zack Wheeler,35.0,PHI,NL,3.0,7.0,2.0,0.778,2.76,14.0,14.0,0.0,0.0,0.0,0.0,88.0,59.0,28.0,27.0,10.0,19.0,0.0,110.0,2.0,0.0,1.0,338.0,150.0,2.77,0.886,6.0,1.0,1.9,11.3,5.79,
12.0,JosÃ© BerrÃ­os,31.0,TOR,AL,1.3,2.0,3.0,0.4,3.81,15.0,15.0,0.0,0.0,0.0,0.0,87.1,80.0,37.0,37.0,12.0,33.0,2.0,76.0,3.0,1.0,1.0,363.0,109.0,4.36,1.294,8.2,1.2,3.4,7.8,2.3,
13.0,MacKenzie Gore*,26.0,WSN,NL,3.1,3.0,6.0,0.333,2.89,15.0,15.0,0.0,0.0,0.0,0.0,87.1,77.0,28.0,28.0,10.0,23.0,0.0,119.0,3.0,0.0,5.0,354.0,137.0,2.73,1.145,7.9,1.0,2.4,12.3,5.17,
