Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1.0,Framber Valdez*,31.0,HOU,AL,2.0,5.0,4.0,0.556,3.12,12.0,12.0,0.0,2.0,0.0,0.0,78.0,59.0,27.0,27.0,6.0,24.0,0.0,73.0,3.0,0.0,3.0,307.0,127.0,3.25,1.064,6.8,0.7,2.8,8.4,3.04,
2.0,Zack Wheeler,35.0,PHI,NL,2.3,6.0,2.0,0.75,2.96,12.0,12.0,0.0,0.0,0.0,0.0,76.0,52.0,25.0,25.0,9.0,18.0,0.0,94.0,2.0,0.0,0.0,293.0,139.0,2.94,0.921,6.2,1.1,2.1,11.1,5.22,
3.0,Paul Skenes,23.0,PIT,NL,2.8,4.0,5.0,0.444,2.15,12.0,12.0,0.0,1.0,0.0,0.0,75.1,51.0,20.0,18.0,4.0,18.0,0.0,77.0,2.0,0.0,1.0,293.0,195.0,2.52,0.916,6.1,0.5,2.2,9.2,4.28,
4.0,Garrett Crochet*,26.0,BOS,AL,2.4,4.0,4.0,0.5,2.04,12.0,12.0,0.0,0.0,0.0,0.0,75.0,56.0,20.0,17.0,6.0,24.0,0.0,89.0,0.0,2.0,0.0,299.0,202.0,2.71,1.067,6.7,0.7,2.9,10.7,3.71,
5.0,Max Fried*,31.0,NYY,AL,2.4,7.0,1.0,0.875,1.92,12.0,12.0,0.0,0.0,0.0,0.0,75.0,57.0,21.0,16.0,5.0,16.0,0.0,70.0,4.0,1.0,4.0,299.0,205.0,2.88,0.973,6.8,0.6,1.9,8.4,4.38,
6.0,Jake Irvin,28.0,WSN,NL,1.8,5.0,1.0,0.833,3.93,12.0,12.0,0.0,0.0,0.0,0.0,73.1,66.0,32.0,32.0,10.0,20.0,0.0,47.0,1.0,0.0,1.0,302.0,102.0,4.43,1.173,8.1,1.2,2.5,5.8,2.35,
7.0,Logan Webb,28.0,SFG,NL,1.3,5.0,5.0,0.5,2.82,12.0,12.0,0.0,0.0,0.0,0.0,73.1,72.0,27.0,23.0,4.0,17.0,0.0,84.0,0.0,0.0,1.0,301.0,137.0,2.19,1.214,8.8,0.5,2.1,10.3,4.94,
8.0,Carlos RodÃ³n*,32.0,NYY,AL,2.2,7.0,3.0,0.7,2.6,12.0,12.0,0.0,0.0,0.0,0.0,72.2,42.0,23.0,21.0,8.0,26.0,0.0,90.0,0.0,0.0,2.0,284.0,151.0,3.11,0.936,5.2,1.0,3.2,11.1,3.46,
9.0,Luis Severino,31.0,ATH,AL,1.9,1.0,4.0,0.2,3.89,12.0,12.0,0.0,0.0,0.0,0.0,71.2,66.0,33.0,31.0,4.0,22.0,1.0,54.0,4.0,0.0,1.0,305.0,105.0,3.39,1.228,8.3,0.5,2.8,6.8,2.45,
10.0,Bryan Woo,25.0,SEA,AL,1.9,5.0,2.0,0.714,2.82,11.0,11.0,0.0,0.0,0.0,0.0,70.1,58.0,22.0,22.0,7.0,9.0,0.0,63.0,2.0,0.0,0.0,276.0,130.0,3.05,0.953,7.4,0.9,1.2,8.1,7.0,
11.0,JosÃ© BerrÃ­os,31.0,TOR,AL,0.9,2.0,2.0,0.5,3.86,12.0,12.0,0.0,0.0,0.0,0.0,70.0,63.0,30.0,30.0,10.0,28.0,1.0,65.0,3.0,1.0,1.0,293.0,106.0,4.41,1.3,8.1,1.3,3.6,8.4,2.32,
12.0,Mitch Keller,29.0,PIT,NL,0.9,1.0,7.0,0.125,3.73,12.0,12.0,0.0,0.0,0.0,0.0,70.0,69.0,32.0,29.0,4.0,19.0,0.0,56.0,4.0,0.0,1.0,296.0,113.0,3.21,1.257,8.9,0.5,2.4,7.2,2.95,
13.0,Ryan Pepiot,27.0,TBR,AL,0.9,3.0,5.0,0.375,3.21,12.0,12.0,0.0,0.0,0.0,0.0,70.0,61.0,26.0,25.0,10.0,20.0,0.0,56.0,1.0,0.0,3.0,282.0,121.0,4.24,1.157,7.8,1.3,2.6,7.2,2.8,
14.0,Nathan Eovaldi,35.0,TEX,AL,2.7,4.0,3.0,0.571,1.56,12.0,12.0,0.0,1.0,1.0,0.0,69.1,46.0,14.0,12.0,4.0,10.0,0.0,73.0,4.0,0.0,4.0,266.0,242.0,2.33,0.808,6.0,0.5,1.3,9.5,7.3,
15.0,Merrill Kelly,36.0,ARI,NL,1.3,5.0,2.0,0.714,3.78,12.0,12.0,0.0,0.0,0.0,0.0,69.0,55.0,32.0,29.0,8.0,18.0,0.0,64.0,1.0,0.0,0.0,279.0,110.0,3.56,1.058,7.2,1.0,2.3,8.3,3.56,
16.0,Tarik Skubal*,28.0,DET,AL,2.2,5.0,2.0,0.714,2.49,11.0,11.0,0.0,1.0,1.0,0.0,68.2,51.0,19.0,19.0,6.0,7.0,0.0,92.0,3.0,1.0,1.0,263.0,158.0,1.97,0.845,6.7,0.8,0.9,12.1,13.14,
17.0,JosÃ© Soriano,26.0,LAA,AL,1.4,4.0,5.0,0.444,3.41,12.0,12.0,0.0,0.0,0.0,0.0,68.2,70.0,29.0,26.0,3.0,34.0,0.0,49.0,1.0,0.0,3.0,295.0,120.0,3.75,1.515,9.2,0.4,4.5,6.4,1.44,
18.0,Kris Bubic*,27.0,KCR,AL,3.1,5.0,2.0,0.714,1.45,11.0,11.0,0.0,0.0,0.0,0.0,68.1,49.0,13.0,11.0,3.0,20.0,1.0,70.0,2.0,0.0,0.0,268.0,283.0,2.57,1.01,6.5,0.4,2.6,9.2,3.5,
19.0,MacKenzie Gore*,26.0,WSN,NL,2.2,2.0,5.0,0.286,3.16,12.0,12.0,0.0,0.0,0.0,0.0,68.1,61.0,24.0,24.0,8.0,21.0,0.0,101.0,2.0,0.0,3.0,279.0,126.0,2.66,1.2,8.0,1.1,2.8,13.3,4.81,
