Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1.0,Framber Valdez*,31.0,HOU,AL,2.0,5.0,4.0,0.556,3.12,12.0,12.0,0.0,2.0,0.0,0.0,78.0,59.0,27.0,27.0,6.0,24.0,0.0,73.0,3.0,0.0,3.0,307.0,130.0,3.25,1.064,6.8,0.7,2.8,8.4,3.04,
2.0,Zack Wheeler,35.0,PHI,NL,2.4,6.0,2.0,0.75,2.96,12.0,12.0,0.0,0.0,0.0,0.0,76.0,52.0,25.0,25.0,9.0,18.0,0.0,94.0,2.0,0.0,0.0,293.0,140.0,2.94,0.921,6.2,1.1,2.1,11.1,5.22,
3.0,Tarik Skubal*,28.0,DET,AL,2.8,5.0,2.0,0.714,2.26,12.0,12.0,0.0,1.0,1.0,0.0,75.2,53.0,19.0,19.0,6.0,7.0,0.0,99.0,3.0,1.0,1.0,285.0,175.0,1.9,0.793,6.3,0.7,0.8,11.8,14.14,
4.0,Paul Skenes,23.0,PIT,NL,2.8,4.0,5.0,0.444,2.15,12.0,12.0,0.0,1.0,0.0,0.0,75.1,51.0,20.0,18.0,4.0,18.0,0.0,77.0,2.0,0.0,1.0,293.0,195.0,2.53,0.916,6.1,0.5,2.2,9.2,4.28,
5.0,Garrett Crochet*,26.0,BOS,AL,2.4,4.0,4.0,0.5,2.04,12.0,12.0,0.0,0.0,0.0,0.0,75.0,56.0,20.0,17.0,6.0,24.0,0.0,89.0,0.0,2.0,0.0,299.0,204.0,2.71,1.067,6.7,0.7,2.9,10.7,3.71,
6.0,Max Fried*,31.0,NYY,AL,2.4,7.0,1.0,0.875,1.92,12.0,12.0,0.0,0.0,0.0,0.0,75.0,57.0,21.0,16.0,5.0,16.0,0.0,70.0,4.0,1.0,4.0,299.0,206.0,2.89,0.973,6.8,0.6,1.9,8.4,4.38,
7.0,Zack Littell,29.0,TBR,AL,0.5,5.0,5.0,0.5,3.86,12.0,12.0,0.0,1.0,0.0,0.0,74.2,71.0,32.0,32.0,16.0,11.0,1.0,48.0,3.0,0.0,1.0,297.0,101.0,5.15,1.098,8.6,1.9,1.3,5.8,4.36,
8.0,Spencer Schwellenbach,25.0,ATL,NL,0.9,4.0,4.0,0.5,3.13,12.0,12.0,0.0,0.0,0.0,0.0,74.2,65.0,31.0,26.0,9.0,12.0,1.0,71.0,2.0,0.0,1.0,300.0,130.0,3.31,1.031,7.8,1.1,1.4,8.6,5.92,
9.0,Jake Irvin,28.0,WSN,NL,1.7,5.0,1.0,0.833,3.93,12.0,12.0,0.0,0.0,0.0,0.0,73.1,66.0,32.0,32.0,10.0,20.0,0.0,47.0,1.0,0.0,1.0,302.0,102.0,4.44,1.173,8.1,1.2,2.5,5.8,2.35,
10.0,Logan Webb,28.0,SFG,NL,1.3,5.0,5.0,0.5,2.82,12.0,12.0,0.0,0.0,0.0,0.0,73.1,72.0,27.0,23.0,4.0,17.0,0.0,84.0,0.0,0.0,1.0,301.0,139.0,2.2,1.214,8.8,0.5,2.1,10.3,4.94,
11.0,Carlos RodÃ³n*,32.0,NYY,AL,2.2,7.0,3.0,0.7,2.6,12.0,12.0,0.0,0.0,0.0,0.0,72.2,42.0,23.0,21.0,8.0,26.0,0.0,90.0,0.0,0.0,2.0,284.0,152.0,3.11,0.936,5.2,1.0,3.2,11.1,3.46,
12.0,Luis Severino,31.0,ATH,AL,1.8,1.0,4.0,0.2,3.89,12.0,12.0,0.0,0.0,0.0,0.0,71.2,66.0,33.0,31.0,4.0,22.0,1.0,54.0,4.0,0.0,1.0,305.0,105.0,3.39,1.228,8.3,0.5,2.8,6.8,2.45,
