Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1.0,Zack Wheeler,35.0,PHI,NL,2.3,6.0,2.0,0.75,2.96,12.0,12.0,0.0,0.0,0.0,0.0,76.0,52.0,25.0,25.0,9.0,18.0,0.0,94.0,2.0,0.0,0.0,293.0,139.0,2.93,0.921,6.2,1.1,2.1,11.1,5.22,
2.0,Paul Skenes,23.0,PIT,NL,2.8,4.0,5.0,0.444,2.15,12.0,12.0,0.0,1.0,0.0,0.0,75.1,51.0,20.0,18.0,4.0,18.0,0.0,77.0,2.0,0.0,1.0,293.0,195.0,2.52,0.916,6.1,0.5,2.2,9.2,4.28,
3.0,Garrett Crochet*,26.0,BOS,AL,2.4,4.0,4.0,0.5,2.04,12.0,12.0,0.0,0.0,0.0,0.0,75.0,56.0,20.0,17.0,6.0,24.0,0.0,89.0,0.0,2.0,0.0,299.0,202.0,2.7,1.067,6.7,0.7,2.9,10.7,3.71,
4.0,Logan Webb,28.0,SFG,NL,1.3,5.0,5.0,0.5,2.82,12.0,12.0,0.0,0.0,0.0,0.0,73.1,72.0,27.0,23.0,4.0,17.0,0.0,84.0,0.0,0.0,1.0,301.0,137.0,2.19,1.214,8.8,0.5,2.1,10.3,4.94,
5.0,Carlos RodÃ³n*,32.0,NYY,AL,2.2,7.0,3.0,0.7,2.6,12.0,12.0,0.0,0.0,0.0,0.0,72.2,42.0,23.0,21.0,8.0,26.0,0.0,90.0,0.0,0.0,2.0,284.0,151.0,3.1,0.936,5.2,1.0,3.2,11.1,3.46,
6.0,Luis Severino,31.0,ATH,AL,2.0,1.0,4.0,0.2,3.89,12.0,12.0,0.0,0.0,0.0,0.0,71.2,66.0,33.0,31.0,4.0,22.0,1.0,54.0,4.0,0.0,1.0,305.0,106.0,3.38,1.228,8.3,0.5,2.8,6.8,2.45,
7.0,JosÃ© BerrÃ­os,31.0,TOR,AL,0.9,2.0,2.0,0.5,3.86,12.0,12.0,0.0,0.0,0.0,0.0,70.0,63.0,30.0,30.0,10.0,28.0,1.0,65.0,3.0,1.0,1.0,293.0,106.0,4.41,1.3,8.1,1.3,3.6,8.4,2.32,
8.0,Max Fried*,31.0,NYY,AL,2.7,7.0,0.0,1.0,1.29,11.0,11.0,0.0,0.0,0.0,0.0,70.0,49.0,15.0,10.0,3.0,16.0,0.0,67.0,4.0,0.0,4.0,277.0,305.0,2.58,0.929,6.3,0.4,2.1,8.6,4.19,
9.0,Nathan Eovaldi,35.0,TEX,AL,2.6,4.0,3.0,0.571,1.56,12.0,12.0,0.0,1.0,1.0,0.0,69.1,46.0,14.0,12.0,4.0,10.0,0.0,73.0,4.0,0.0,4.0,266.0,242.0,2.33,0.808,6.0,0.5,1.3,9.5,7.3,
10.0,Framber Valdez*,31.0,HOU,AL,1.6,4.0,4.0,0.5,3.39,11.0,11.0,0.0,1.0,0.0,0.0,69.0,56.0,26.0,26.0,5.0,23.0,0.0,64.0,3.0,0.0,2.0,278.0,118.0,3.29,1.145,7.3,0.7,3.0,8.3,2.78,
