Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
83.0,Gavin Williams,25.0,CLE,AL,0.7,5.0,3.0,0.625,3.86,13.0,13.0,0.0,0.0,0.0,0.0,65.1,57.0,32.0,28.0,9.0,36.0,0.0,71.0,1.0,1.0,5.0,282.0,105.0,4.4,1.423,7.9,1.2,5.0,9.8,1.97,
84.0,Seth Lugo,35.0,KCR,AL,1.1,3.0,5.0,0.375,3.46,11.0,11.0,0.0,0.0,0.0,0.0,65.0,57.0,27.0,25.0,12.0,19.0,1.0,50.0,1.0,0.0,3.0,260.0,120.0,4.86,1.169,7.9,1.7,2.6,6.9,2.63,
85.0,Tylor Megill,29.0,NYM,NL,0.4,5.0,4.0,0.556,3.76,13.0,13.0,0.0,0.0,0.0,0.0,64.2,53.0,31.0,27.0,5.0,31.0,0.0,84.0,5.0,0.0,2.0,282.0,101.0,3.16,1.299,7.4,0.7,4.3,11.7,2.71,
86.0,Max Meyer,26.0,MIA,NL,0.0,3.0,5.0,0.375,4.73,12.0,12.0,0.0,0.0,0.0,0.0,64.2,72.0,39.0,34.0,12.0,20.0,0.0,68.0,2.0,1.0,0.0,285.0,91.0,4.41,1.423,10.0,1.7,2.8,9.5,3.4,
87.0,Corbin Burnes,30.0,ARI,NL,2.0,3.0,2.0,0.6,2.66,11.0,11.0,0.0,0.0,0.0,0.0,64.1,49.0,23.0,19.0,7.0,26.0,1.0,63.0,3.0,2.0,1.0,265.0,155.0,3.89,1.166,6.9,1.0,3.6,8.8,2.42,
88.0,Griffin Canning,29.0,NYM,NL,1.2,6.0,2.0,0.75,3.22,13.0,13.0,0.0,0.0,0.0,0.0,64.1,59.0,25.0,23.0,8.0,28.0,0.0,61.0,0.0,0.0,1.0,274.0,118.0,4.11,1.352,8.3,1.1,3.9,8.5,2.18,
89.0,Trevor Williams,33.0,WSN,NL,-0.4,3.0,7.0,0.3,5.91,13.0,13.0,0.0,0.0,0.0,0.0,64.0,76.0,44.0,42.0,8.0,16.0,0.0,49.0,2.0,0.0,1.0,283.0,67.0,4.02,1.438,10.7,1.1,2.3,6.9,3.06,
90.0,Jonathan Cannon,24.0,CHW,AL,0.6,2.0,7.0,0.222,4.66,12.0,10.0,0.0,0.0,0.0,0.0,63.2,68.0,34.0,33.0,11.0,21.0,0.0,51.0,4.0,1.0,2.0,281.0,88.0,4.9,1.398,9.6,1.6,3.0,7.2,2.43,
91.0,Sandy Alcantara,29.0,MIA,NL,-1.2,3.0,7.0,0.3,7.14,13.0,13.0,0.0,0.0,0.0,0.0,63.0,63.0,51.0,50.0,8.0,31.0,0.0,50.0,2.0,0.0,4.0,283.0,60.0,4.71,1.492,9.0,1.1,4.4,7.1,1.61,
92.0,GermÃ¡n MÃ¡rquez,30.0,COL,NL,-1.0,2.0,8.0,0.2,7.0,13.0,13.0,0.0,0.0,0.0,0.0,63.0,85.0,55.0,49.0,7.0,21.0,0.0,41.0,5.0,0.0,4.0,296.0,66.0,4.46,1.683,12.1,1.0,3.0,5.9,1.95,
93.0,Andrew Abbott*,26.0,CIN,NL,2.7,6.0,1.0,0.857,1.87,11.0,11.0,0.0,1.0,1.0,0.0,62.2,41.0,14.0,13.0,6.0,20.0,0.0,64.0,1.0,0.0,3.0,245.0,235.0,3.29,0.973,5.9,0.9,2.9,9.2,3.2,
94.0,Colin Rea,34.0,CHC,NL,0.1,4.0,2.0,0.667,3.92,14.0,10.0,3.0,0.0,0.0,1.0,62.0,68.0,28.0,27.0,9.0,17.0,0.0,48.0,2.0,0.0,2.0,262.0,97.0,4.34,1.371,9.9,1.3,2.5,7.0,2.82,
95.0,Antonio Senzatela,30.0,COL,NL,-0.7,1.0,10.0,0.091,6.68,13.0,12.0,0.0,0.0,0.0,0.0,62.0,101.0,52.0,46.0,11.0,21.0,0.0,33.0,1.0,0.0,3.0,300.0,69.0,5.39,1.968,14.7,1.6,3.0,4.8,1.57,
