favorite_team,underdog_team,away_team,home_team,fav_b_runs,dog_b_runs,fav_b_runs_per_ab,dog_b_runs_per_ab,fav_b_doubles,dog_b_doubles,fav_b_doubles_per_ab,dog_b_doubles_per_ab,fav_b_triples,dog_b_triples,fav_b_triples_per_ab,dog_b_triples_per_ab,fav_b_homeruns,dog_b_homeruns,fav_b_homeruns_per_ab,dog_b_homeruns_per_ab,fav_b_strikeouts,dog_b_strikeouts,fav_b_strikeouts_per_ab,dog_b_strikeouts_per_ab,fav_b_base_on_balls,dog_b_base_on_balls,fav_b_base_on_balls_per_ab,dog_b_base_on_balls_per_ab,fav_b_hits,dog_b_hits,fav_b_avg,dog_b_avg,fav_b_ab,dog_b_ab,fav_b_obp,dog_b_obp,fav_b_slg,dog_b_slg,fav_b_ops,dog_b_ops,fav_b_stolen_bases,dog_b_stolen_bases,fav_b_total_bases,dog_b_total_bases,fav_b_rbi,dog_b_rbi,fav_b_rbi_per_ab,dog_b_rbi_per_ab
NYY,TEX,NYY,TEX,584,475,0.15082644628099173,0.12379463122230909,189,172,0.04881198347107438,0.044826687516288766,17,12,0.004390495867768595,0.003127443315089914,181,121,0.04674586776859504,0.03153505342715663,1002,960,0.2587809917355372,0.2501954652071931,426,341,0.11002066115702479,0.08887151420380505,970,890,0.251,0.232,3872,3837,0.329,0.3,0.448,0.378,0.777,0.678,82,101,1736,1449,561,453,0.14488636363636365,0.11806098514464425
MIA,HOU,HOU,MIA,480,493,0.12585212375458835,0.12781954887218044,189,174,0.049554273728369166,0.045112781954887216,19,11,0.004981646565285789,0.002851957479906663,109,125,0.028578919769271106,0.03240860772621208,889,885,0.2330886208704772,0.22945294270158154,338,329,0.0886208704771893,0.0852994555353902,958,993,0.251,0.257,3814,3857,0.314,0.322,0.396,0.405,0.71,0.727,84,57,1512,1564,461,471,0.12087047718930256,0.12211563391236713
TB,LAA,TB,LAA,517,494,0.13338493292053663,0.12952281069743052,173,157,0.04463364293085655,0.04116413214472994,11,12,0.0028379772961816306,0.003146303093864709,122,160,0.03147574819401445,0.04195070791819612,971,1101,0.25051599587203305,0.28867330886208703,342,339,0.08823529411764706,0.08888306240167802,977,888,0.252,0.233,3876,3814,0.316,0.304,0.397,0.406,0.713,0.71,148,58,1538,1549,487,477,0.12564499484004127,0.12506554798112218
NYM,CLE,NYM,CLE,500,446,0.13157894736842105,0.1201832390191323,180,169,0.04736842105263158,0.04554028563729453,16,11,0.004210526315789474,0.0029641606036108865,139,118,0.03657894736842105,0.031797359202371325,915,922,0.24078947368421053,0.24845055241174885,394,359,0.1036842105263158,0.09673942333602803,914,848,0.241,0.229,3800,3711,0.319,0.301,0.406,0.375,0.725,0.676,91,86,1543,1393,485,429,0.12763157894736843,0.11560226354082458
OAK,WAS,OAK,WAS,509,484,0.1292206143691292,0.1286549707602339,201,182,0.051028179741051026,0.04837852206273259,15,17,0.003808073115003808,0.004518872939925572,158,106,0.04011170347804011,0.028176501860712386,981,878,0.24904798172124903,0.23338649654439128,358,329,0.09088601167809089,0.0874534821903243,1001,918,0.254,0.244,3939,3762,0.319,0.311,0.433,0.386,0.752,0.697,63,95,1706,1452,494,465,0.1254125412541254,0.12360446570972887
CHC,CIN,CHC,CIN,582,520,0.1499613501674826,0.1360188333769291,193,178,0.04972945117237825,0.04656029296364112,21,14,0.0054109765524349394,0.0036620455139942452,161,117,0.04148415356866787,0.030604237509809052,885,977,0.2280340118526153,0.2555584619408841,382,381,0.0984282401442927,0.09965995291655767,981,943,0.253,0.247,3881,3823,0.322,0.32,0.438,0.392,0.76,0.712,121,85,1699,1500,567,489,0.14609636691574338,0.12791001831022758
TOR,COL,TOR,COL,556,423,0.14147582697201017,0.11146245059288537,205,185,0.05216284987277354,0.048748353096179184,8,29,0.002035623409669211,0.007641633728590251,128,118,0.03256997455470738,0.031093544137022398,757,1080,0.1926208651399491,0.2845849802371542,384,293,0.09770992366412214,0.0772068511198946,1051,901,0.267,0.237,3930,3795,0.337,0.297,0.421,0.395,0.758,0.692,56,59,1656,1498,532,412,0.13536895674300253,0.10856389986824769
SD,ARI,SD,ARI,473,553,0.12408184679958027,0.14363636363636365,175,198,0.04590766002098636,0.05142857142857143,16,27,0.004197271773347324,0.007012987012987013,96,157,0.025183630640083946,0.040779220779220776,801,897,0.21012591815320042,0.232987012987013,365,399,0.09575026232948583,0.10363636363636364,957,959,0.251,0.249,3812,3850,0.32,0.325,0.381,0.437,0.701,0.762,75,76,1452,1682,444,540,0.11647429171038824,0.14025974025974025
LAD,STL,LAD,STL,590,504,0.1519443729075457,0.13023255813953488,188,198,0.048416173062065415,0.05116279069767442,15,4,0.0038629925315477724,0.0010335917312661498,169,111,0.04352304918877157,0.02868217054263566,966,887,0.24877671903167653,0.22919896640826873,409,356,0.10533092969353593,0.09198966408268734,989,962,0.255,0.249,3883,3870,0.329,0.318,0.441,0.388,0.77,0.706,68,63,1714,1501,570,481,0.14679371619881534,0.12428940568475452
SEA,CWS,CWS,SEA,519,431,0.13321355236139631,0.11589136864748588,154,177,0.039527720739219716,0.047593439096531326,6,9,0.001540041067761807,0.0024200053777897286,162,107,0.04158110882956879,0.02877117504705566,1013,941,0.26001026694045176,0.25302500672223716,384,356,0.09856262833675565,0.09572465716590481,951,852,0.244,0.229,3896,3719,0.32,0.299,0.411,0.368,0.731,0.667,115,69,1603,1368,498,415,0.12782340862422997,0.11158913686474858
