favorite_team,underdog_team,away_team,home_team,fav_b_runs,dog_b_runs,fav_b_runs_per_ab,dog_b_runs_per_ab,fav_b_doubles,dog_b_doubles,fav_b_doubles_per_ab,dog_b_doubles_per_ab,fav_b_triples,dog_b_triples,fav_b_triples_per_ab,dog_b_triples_per_ab,fav_b_homeruns,dog_b_homeruns,fav_b_homeruns_per_ab,dog_b_homeruns_per_ab,fav_b_strikeouts,dog_b_strikeouts,fav_b_strikeouts_per_ab,dog_b_strikeouts_per_ab,fav_b_base_on_balls,dog_b_base_on_balls,fav_b_base_on_balls_per_ab,dog_b_base_on_balls_per_ab,fav_b_hits,dog_b_hits,fav_b_avg,dog_b_avg,fav_b_ab,dog_b_ab,fav_b_obp,dog_b_obp,fav_b_slg,dog_b_slg,fav_b_ops,dog_b_ops,fav_b_stolen_bases,dog_b_stolen_bases,fav_b_total_bases,dog_b_total_bases,fav_b_rbi,dog_b_rbi,fav_b_rbi_per_ab,dog_b_rbi_per_ab
TEX,MIA,MIA,TEX,660,688,0.12667946257197696,0.12949369471108602,236,264,0.04529750479846449,0.049689440993788817,15,26,0.0028790786948176585,0.004893657067570111,169,151,0.032437619961612284,0.028420854507811028,1256,1194,0.24107485604606527,0.22473178994918125,475,468,0.09117082533589252,0.088085827216262,1233,1337,0.237,0.252,5210,5313,0.306,0.316,0.385,0.396,0.691,0.712,131,128,2006,2106,636,657,0.12207293666026871,0.12365894974590627
PIT,OAK,OAK,PIT,550,709,0.10721247563352826,0.13347138554216867,228,280,0.044444444444444446,0.05271084337349398,21,16,0.004093567251461989,0.0030120481927710845,110,214,0.021442495126705652,0.040286144578313254,1356,1341,0.26432748538011697,0.2524472891566265,511,483,0.09961013645224172,0.09092620481927711,1180,1345,0.23,0.253,5130,5312,0.304,0.319,0.347,0.433,0.651,0.752,112,79,1780,2299,529,686,0.10311890838206628,0.12914156626506024
CIN,CHC,CHC,CIN,696,750,0.1334867663981588,0.14255844896407527,241,257,0.046221710778672806,0.04885002851168979,23,27,0.004411200613732259,0.005132104162706709,161,209,0.030878404296125816,0.03972628777798898,1348,1216,0.2585347142309168,0.23113476525375404,508,533,0.09742999616417337,0.1013115377304695,1279,1310,0.245,0.249,5214,5261,0.316,0.32,0.393,0.427,0.709,0.747,103,154,2049,2248,658,731,0.126198695818949,0.13894696825698535
MIL,STL,MIL,STL,789,662,0.14946012502367872,0.12723428791082067,256,247,0.048494032960788025,0.04747261195464155,17,8,0.0032203068763023298,0.001537574476263694,163,142,0.030877060049251753,0.02729194695368057,1203,1253,0.2278840689524531,0.24082260234480107,537,455,0.10172381132790301,0.0874495483374976,1378,1278,0.261,0.246,5279,5203,0.334,0.315,0.409,0.378,0.743,0.693,156,85,2157,1967,733,628,0.13885205531350633,0.12069959638669998
LAA,COL,LAA,COL,654,581,0.12686711930164887,0.11196762381961842,206,244,0.03996120271580989,0.047022547697051456,17,36,0.003297769156159069,0.006937752938909231,217,154,0.04209505334626576,0.029678165349778376,1559,1454,0.30242483026188166,0.2802081325881673,466,380,0.0903976721629486,0.07323183657737521,1167,1242,0.226,0.239,5155,5189,0.299,0.295,0.399,0.389,0.698,0.684,86,85,2058,2020,632,565,0.12259941804073715,0.1088841780689921
PHI,ARI,PHI,ARI,754,764,0.1428842145158234,0.1457737073077657,260,266,0.04927041879855979,0.05075367296317497,24,37,0.0045480386583285955,0.007059721427208548,200,206,0.0379003221527383,0.03930547605418813,1263,1247,0.23934053439454236,0.23793169242510973,511,519,0.09683532310024635,0.09902690326273612,1370,1315,0.26,0.251,5277,5241,0.33,0.324,0.432,0.434,0.762,0.758,120,116,2278,2273,729,743,0.1381466742467311,0.14176683838962031
CLE,MIN,CLE,MIN,614,655,0.12067610062893082,0.1260100038476337,231,238,0.04540094339622641,0.04578684109272797,17,19,0.0033411949685534592,0.0036552520200076955,162,182,0.031839622641509434,0.03501346671796845,1283,1297,0.25216194968553457,0.2495190457868411,475,478,0.09335691823899371,0.09195844555598306,1153,1241,0.227,0.239,5088,5198,0.297,0.312,0.374,0.397,0.671,0.709,121,105,1904,2063,593,620,0.11654874213836477,0.119276644863409
SEA,HOU,SEA,HOU,734,656,0.13925251375450579,0.12490479817212491,224,236,0.04249667994687915,0.04493526275704494,9,12,0.001707455890722823,0.002284843869002285,228,170,0.043255549231644846,0.03236862147753237,1368,1242,0.2595332953898691,0.2364813404417365,523,453,0.09922215898311516,0.08625285605483625,1289,1321,0.245,0.252,5271,5252,0.32,0.317,0.42,0.398,0.74,0.715,153,77,2215,2091,703,626,0.13337127679757163,0.1191926884996192
SD,CWS,SD,CWS,662,616,0.12772525564344975,0.11982104648900992,248,233,0.04784873625313525,0.04532192180509628,18,10,0.003472892147404978,0.0019451468585878235,141,156,0.027204321821338993,0.030344290993970045,1102,1302,0.21261817480223807,0.2532581209881346,488,477,0.09415396488520163,0.09278350515463918,1306,1196,0.252,0.233,5183,5141,0.321,0.302,0.388,0.373,0.709,0.675,103,82,2013,1917,625,595,0.12058653289600617,0.1157362380859755
TOR,KAN,TOR,KAN,760,611,0.14393939393939395,0.11790814357390969,280,276,0.05303030303030303,0.05326128907757623,10,21,0.001893939393939394,0.004052489386337322,182,153,0.03446969696969697,0.029525279814743344,1049,1045,0.19867424242424242,0.20165959089154767,498,411,0.09431818181818181,0.0793130065611733,1405,1277,0.266,0.246,5280,5182,0.334,0.308,0.426,0.396,0.76,0.704,74,105,2251,2054,734,601,0.1390151515151515,0.11597838672327286
NYY,BAL,NYY,BAL,809,655,0.15433040824112934,0.12605850654349499,247,246,0.04711942006867608,0.04734411085450346,19,18,0.0036245707745135446,0.003464203233256351,261,181,0.049790156428843955,0.03483448806774442,1391,1386,0.26535673407096527,0.26674364896073904,603,455,0.11503243037008776,0.08756735950731331,1310,1235,0.25,0.238,5242,5196,0.33,0.306,0.454,0.396,0.784,0.702,132,114,2378,2060,781,622,0.1489889355207936,0.11970746728252502
DET,ATL,ATL,DET,741,693,0.14192683393985828,0.1312997347480106,236,234,0.04520206856923961,0.04433497536945813,36,17,0.006895230798697568,0.003220917014020462,193,179,0.03696609844857307,0.033914361500568396,1374,1310,0.2631679754836238,0.24820007578628267,486,541,0.09308561578241716,0.10250094732853353,1291,1293,0.247,0.245,5221,5278,0.316,0.319,0.417,0.397,0.733,0.716,59,77,2178,2098,707,671,0.13541467151886613,0.12713148920045472
NYM,WAS,NYM,WAS,737,658,0.14116069718444743,0.12683114880493446,253,252,0.048458149779735685,0.04857363145720894,19,28,0.003639149588201494,0.005397070161912105,214,145,0.04098831641447998,0.0279491133384734,1267,1275,0.24267381727638385,0.24575944487278334,540,430,0.10342846198046352,0.08288357748650732,1307,1258,0.25,0.242,5221,5188,0.328,0.305,0.429,0.386,0.757,0.691,140,127,2240,2001,718,629,0.13752154759624594,0.12124132613723979
BOS,TB,BOS,TB,762,689,0.14301801801801803,0.13168960244648317,307,234,0.05762012012012012,0.04472477064220184,23,16,0.004316816816816817,0.0030581039755351682,182,176,0.03415915915915916,0.03363914373088685,1350,1331,0.2533783783783784,0.2543960244648318,499,448,0.09365615615615616,0.0856269113149847,1355,1315,0.254,0.251,5328,5232,0.324,0.314,0.423,0.403,0.747,0.717,137,187,2254,2109,724,657,0.13588588588588588,0.12557339449541285
LAD,SF,LAD,SF,793,671,0.1514225701737636,0.13031656632355798,248,228,0.04735535611991598,0.04428044280442804,19,26,0.0036280313156387247,0.005049524179452321,232,164,0.04430017185411495,0.031850844824237716,1288,1329,0.24594233339698301,0.2581083705573898,564,532,0.10769524536948635,0.1033210332103321,1329,1209,0.254,0.235,5237,5149,0.33,0.311,0.441,0.385,0.771,0.696,86,66,2311,1981,760,641,0.14512125262554898,0.12449019227034376
