favorite_team,underdog_team,away_team,home_team,fav_b_runs,dog_b_runs,fav_b_runs_per_ab,dog_b_runs_per_ab,fav_b_doubles,dog_b_doubles,fav_b_doubles_per_ab,dog_b_doubles_per_ab,fav_b_triples,dog_b_triples,fav_b_triples_per_ab,dog_b_triples_per_ab,fav_b_homeruns,dog_b_homeruns,fav_b_homeruns_per_ab,dog_b_homeruns_per_ab,fav_b_strikeouts,dog_b_strikeouts,fav_b_strikeouts_per_ab,dog_b_strikeouts_per_ab,fav_b_base_on_balls,dog_b_base_on_balls,fav_b_base_on_balls_per_ab,dog_b_base_on_balls_per_ab,fav_b_hits,dog_b_hits,fav_b_avg,dog_b_avg,fav_b_ab,dog_b_ab,fav_b_obp,dog_b_obp,fav_b_slg,dog_b_slg,fav_b_ops,dog_b_ops,fav_b_stolen_bases,dog_b_stolen_bases,fav_b_total_bases,dog_b_total_bases,fav_b_rbi,dog_b_rbi,fav_b_rbi_per_ab,dog_b_rbi_per_ab
NYM,TEX,NYM,TEX,697,638,0.1401286690792119,0.12842190016103058,244,227,0.04905508644953759,0.04569243156199678,19,15,0.0038198632891033374,0.0030193236714975845,200,164,0.04020908725371934,0.033011272141706925,1197,1204,0.24065138721351026,0.24235104669887278,517,455,0.10394049055086449,0.09158615136876007,1239,1176,0.249,0.237,4974,4968,0.327,0.306,0.426,0.387,0.753,0.693,133,123,2121,1925,680,614,0.13671089666264577,0.12359098228663445
SEA,LAA,LAA,SEA,689,634,0.13692368839427663,0.1286004056795132,205,202,0.040739268680445154,0.040973630831643,8,17,0.001589825119236884,0.0034482758620689655,214,203,0.042527821939586645,0.041176470588235294,1310,1462,0.26033386327503977,0.296551724137931,501,457,0.09956279809220986,0.09269776876267749,1220,1127,0.242,0.229,5032,4930,0.319,0.303,0.414,0.4,0.733,0.703,147,81,2083,1972,660,612,0.13116057233704292,0.12413793103448276
LAD,SF,LAD,SF,739,642,0.14893188230552196,0.1312883435582822,231,218,0.046553808948004836,0.04458077709611452,19,26,0.0038291011688835145,0.005316973415132925,216,160,0.04353083434099154,0.032719836400818,1227,1249,0.24727932285368803,0.25541922290388547,536,494,0.10802095929060862,0.10102249488752556,1247,1164,0.251,0.238,4962,4890,0.328,0.313,0.436,0.391,0.764,0.704,82,64,2164,1914,709,612,0.14288593309149536,0.12515337423312883
WAS,PIT,PIT,WAS,632,532,0.12845528455284552,0.10852713178294573,242,222,0.0491869918699187,0.04528763769889841,26,19,0.005284552845528455,0.003875968992248062,142,106,0.02886178861788618,0.021623827009383926,1190,1297,0.241869918699187,0.2645858833129335,413,482,0.0839430894308943,0.09832721338229294,1205,1137,0.245,0.232,4920,4902,0.308,0.305,0.391,0.35,0.699,0.655,122,109,1925,1715,608,512,0.12357723577235773,0.10444716442268462
TOR,BAL,BAL,TOR,733,629,0.14607413312076525,0.12748277259829752,269,235,0.05360701474691112,0.04762869882448318,10,17,0.0019928258270227183,0.003445480340494528,176,173,0.03507373455559984,0.035062829347385485,995,1307,0.19828616978876046,0.26489663558978516,481,428,0.09585492227979274,0.0867450344548034,1348,1180,0.269,0.239,5018,4934,0.338,0.307,0.431,0.399,0.769,0.706,73,104,2165,1968,707,596,0.14089278597050617,0.12079448723145521
MIL,STL,STL,MIL,751,631,0.1490966845344451,0.1270384537950473,240,234,0.047647409172126266,0.04711093215220455,16,8,0.0031764939448084176,0.0016106301590497283,158,138,0.03136787770498312,0.027783370243607813,1149,1194,0.2281119714115545,0.24038655123817193,509,436,0.10105221361921779,0.08777934366821019,1311,1215,0.26,0.245,5037,4967,0.333,0.313,0.408,0.378,0.741,0.691,153,80,2057,1879,696,601,0.13817748659916618,0.12099859069861083
NYY,BOS,NYY,BOS,765,727,0.15376884422110554,0.14311023622047245,231,300,0.0464321608040201,0.05905511811023622,19,22,0.003819095477386935,0.004330708661417323,250,174,0.05025125628140704,0.03425196850393701,1310,1303,0.2633165829145729,0.25649606299212596,573,475,0.11517587939698493,0.09350393700787402,1240,1286,0.249,0.253,4975,5080,0.33,0.323,0.454,0.424,0.784,0.747,122,125,2259,2152,738,693,0.14834170854271356,0.13641732283464567
HOU,ATL,HOU,ATL,626,636,0.12462671710133387,0.1274804570054119,226,220,0.04499303205255823,0.044097013429545,12,16,0.002389010551463269,0.0032070555221487274,164,164,0.03264981086999801,0.032872319102024455,1178,1259,0.23452120246864425,0.252355181399078,437,510,0.08699980091578738,0.10222489476849068,1267,1207,0.252,0.242,5023,4989,0.318,0.316,0.4,0.391,0.718,0.707,75,73,2009,1951,598,615,0.11905235914791958,0.1232711966325917
DET,MIA,DET,MIA,723,649,0.14506420545746387,0.12854030501089325,230,248,0.04614767255216693,0.049118637353931474,35,26,0.007022471910112359,0.005149534561299267,186,142,0.037319422150882825,0.028124381065557535,1306,1151,0.26203852327447835,0.22796593384828678,465,445,0.09329855537720706,0.08813626460685284,1245,1264,0.25,0.25,4984,5049,0.319,0.315,0.422,0.394,0.741,0.709,58,118,2103,1990,690,618,0.1384430176565008,0.12240047534165181
MIN,ARI,ARI,MIN,626,732,0.12690046624771945,0.14634146341463414,226,248,0.04581390634502331,0.04958016793282687,19,35,0.003851611595378066,0.0069972011195521796,176,201,0.0356780863571863,0.04018392642942823,1222,1196,0.24771944050273667,0.23910435825669732,457,494,0.09264139468883033,0.09876049580167932,1182,1252,0.24,0.25,4933,5002,0.313,0.323,0.4,0.434,0.713,0.757,92,111,1974,2173,595,712,0.12061625785526049,0.14234306277489003
CHC,TB,CHC,TB,719,659,0.1440881763527054,0.13299697275479314,241,219,0.04829659318637274,0.04419778002018163,27,15,0.005410821643286573,0.0030272452068617556,197,167,0.03947895791583166,0.033703329969727545,1152,1252,0.2308617234468938,0.25267406659939456,505,420,0.10120240480961924,0.08476286579212916,1242,1244,0.249,0.251,4990,4955,0.32,0.313,0.426,0.402,0.746,0.715,149,181,2128,1994,702,627,0.1406813627254509,0.12653884964682138
PHI,KAN,KAN,PHI,717,561,0.14214908802537668,0.11393176279447603,250,256,0.049563838223632035,0.05199025182778229,24,20,0.004758128469468675,0.004061738424045491,186,139,0.03687549563838224,0.028229082047116164,1200,1002,0.23790642347343377,0.20349309504467913,485,391,0.09615384615384616,0.07940698619008936,1317,1197,0.261,0.243,5044,4924,0.331,0.305,0.431,0.388,0.762,0.693,117,104,2173,1910,692,551,0.1371927042030135,0.1119008935824533
CLE,CWS,CWS,CLE,574,597,0.1193099147786323,0.12124289195775792,214,228,0.04448139679900229,0.0463038180341186,15,10,0.0031178549158179174,0.0020308692120227455,151,150,0.031386406152567034,0.030463038180341188,1212,1236,0.2519226771980877,0.2510154346060114,447,461,0.09291207649137394,0.09362307067424858,1083,1155,0.225,0.235,4811,4924,0.296,0.304,0.37,0.376,0.666,0.68,112,82,1780,1853,554,577,0.11515277489087508,0.11718115353371243
