favorite_team,underdog_team,away_team,home_team,fav_b_runs,dog_b_runs,fav_b_runs_per_ab,dog_b_runs_per_ab,fav_b_doubles,dog_b_doubles,fav_b_doubles_per_ab,dog_b_doubles_per_ab,fav_b_triples,dog_b_triples,fav_b_triples_per_ab,dog_b_triples_per_ab,fav_b_homeruns,dog_b_homeruns,fav_b_homeruns_per_ab,dog_b_homeruns_per_ab,fav_b_strikeouts,dog_b_strikeouts,fav_b_strikeouts_per_ab,dog_b_strikeouts_per_ab,fav_b_base_on_balls,dog_b_base_on_balls,fav_b_base_on_balls_per_ab,dog_b_base_on_balls_per_ab,fav_b_hits,dog_b_hits,fav_b_avg,dog_b_avg,fav_b_ab,dog_b_ab,fav_b_obp,dog_b_obp,fav_b_slg,dog_b_slg,fav_b_ops,dog_b_ops,fav_b_stolen_bases,dog_b_stolen_bases,fav_b_total_bases,dog_b_total_bases,fav_b_rbi,dog_b_rbi,fav_b_rbi_per_ab,dog_b_rbi_per_ab
NYY,WAS,NYY,WAS,681,563,0.15241718889883618,0.12737556561085972,211,218,0.04722470904207699,0.04932126696832579,19,21,0.004252461951656222,0.004751131221719457,219,125,0.04901521933751119,0.02828054298642534,1153,1056,0.2580572963294539,0.23891402714932128,511,380,0.11436884512085944,0.08597285067873303,1118,1078,0.25,0.244,4468,4420,0.33,0.309,0.453,0.388,0.783,0.697,103,108,2024,1713,656,541,0.1468218442256043,0.12239819004524886
STL,PIT,STL,PIT,583,481,0.1301920500223314,0.10902085222121487,220,197,0.04912907548012506,0.04465095194922938,5,18,0.0011165698972755694,0.004079782411604714,126,97,0.02813756141134435,0.02198549410698096,1050,1151,0.2344796784278696,0.26087941976427925,400,425,0.08932559178204555,0.09632819582955576,1112,1035,0.248,0.235,4478,4412,0.317,0.306,0.384,0.353,0.701,0.659,77,101,1720,1559,555,464,0.12393925859758821,0.10516772438803264
BOS,BAL,BOS,BAL,662,570,0.1451117930732135,0.12866817155756208,269,211,0.05896536606751425,0.04762979683972912,21,16,0.004603244191144235,0.0036117381489841984,159,159,0.034853134590092066,0.03589164785553047,1177,1147,0.2580008768084174,0.25891647855530475,439,369,0.09622972380534853,0.08329571106094807,1152,1066,0.253,0.241,4562,4430,0.324,0.306,0.425,0.403,0.749,0.709,113,91,1940,1786,632,539,0.13853572994300745,0.1216704288939052
LAD,CIN,LAD,CIN,689,596,0.15307709397911576,0.13327370304114491,213,212,0.04732281715174406,0.04740608228980322,17,19,0.0037769384581204176,0.00424865831842576,200,129,0.04443457009553432,0.028846153846153848,1122,1146,0.24927793823594757,0.2562611806797853,490,429,0.1088646967340591,0.09593023255813954,1140,1101,0.253,0.246,4501,4472,0.33,0.316,0.441,0.389,0.771,0.705,78,91,1987,1738,662,561,0.14707842701621862,0.12544722719141324
TOR,MIN,MIN,TOR,655,548,0.14417785604226283,0.12415043044857273,240,202,0.05282852740479859,0.04576347983688265,9,16,0.001981069777679947,0.0036248300860897147,158,155,0.03477878054149241,0.03511554145899411,891,1095,0.19612590799031476,0.24807430901676483,435,401,0.09575170592119744,0.09084730403262348,1216,1046,0.268,0.237,4543,4414,0.337,0.31,0.429,0.395,0.766,0.705,66,67,1948,1745,631,523,0.13889500330178298,0.11848663343905755
HOU,COL,COL,HOU,561,497,0.12533512064343164,0.11234177215189874,201,214,0.044906166219839144,0.04837251356238698,11,32,0.0024575513851653264,0.007233273056057866,146,134,0.03261840929401251,0.030289330922242313,1045,1228,0.23346738159070599,0.27757685352622063,387,328,0.08646112600536193,0.07414104882459313,1133,1054,0.253,0.238,4476,4424,0.318,0.295,0.401,0.392,0.719,0.687,65,68,1794,1734,536,484,0.11974977658623771,0.10940325497287523
TEX,LAA,LAA,TEX,553,571,0.12354781054512957,0.12956659859314726,201,180,0.044906166219839144,0.04084411164057182,12,14,0.002680965147453083,0.0031767642387111415,145,187,0.03239499553172476,0.04243249375992739,1097,1294,0.24508489722966934,0.2936237803494441,403,399,0.09003574620196604,0.09053778080326753,1047,1016,0.234,0.231,4476,4407,0.303,0.303,0.381,0.405,0.684,0.708,115,65,1707,1785,531,552,0.11863270777479892,0.12525527569775358
ATL,MIA,ATL,MIA,582,566,0.12965025618177767,0.12569398178991784,200,217,0.044553352639786145,0.04819009549189429,14,25,0.00311873468478503,0.00555185431934266,147,128,0.03274671419024282,0.028425494115034422,1143,1035,0.25462241033637784,0.22984676882078614,473,396,0.10536867899309423,0.08794137241838774,1094,1126,0.244,0.25,4489,4503,0.32,0.314,0.393,0.395,0.713,0.709,68,108,1763,1777,562,541,0.12519492091779907,0.12014212747057518
TB,CLE,TB,CLE,593,504,0.1328405017921147,0.11753731343283583,200,189,0.044802867383512544,0.04407649253731343,14,14,0.0031362007168458782,0.0032649253731343282,148,132,0.033154121863799284,0.030783582089552237,1128,1082,0.25268817204301075,0.2523320895522388,384,404,0.08602150537634409,0.09421641791044776,1122,958,0.251,0.223,4464,4288,0.314,0.295,0.402,0.366,0.716,0.661,172,101,1794,1571,561,485,0.1256720430107527,0.11310634328358209
DET,OAK,DET,OAK,650,607,0.14412416851441243,0.13227282632381782,207,239,0.0458980044345898,0.05208106341250817,30,16,0.0066518847006651885,0.003486598387448246,173,184,0.03835920177383592,0.040095881455654826,1181,1158,0.26186252771618623,0.25234255829156677,419,426,0.09290465631929047,0.09283068206580955,1130,1160,0.251,0.253,4510,4589,0.319,0.319,0.425,0.432,0.744,0.751,58,67,1916,1983,625,590,0.1385809312638581,0.12856831553715406
CHC,SF,CHC,SF,650,535,0.1445408049810985,0.122341641893437,218,198,0.04847676228596842,0.04527784129887949,23,24,0.005114520791638871,0.005488223187742968,178,130,0.03958194351790082,0.02972787560027441,1024,1142,0.22770736046253057,0.2611479533501029,446,447,0.09917722926395375,0.10221815687171279,1120,1012,0.249,0.231,4497,4373,0.319,0.308,0.427,0.377,0.746,0.685,134,61,1918,1648,634,509,0.14098287747387148,0.11639606677338211
NYM,PHI,NYM,PHI,612,625,0.13821138211382114,0.13913624220837043,216,220,0.04878048780487805,0.048975957257346395,17,18,0.0038392050587172538,0.004007123775601068,176,161,0.03974706413730804,0.03584149599287623,1058,1062,0.23893405600722675,0.23642030276046305,464,434,0.10478771454381211,0.09661620658949244,1098,1155,0.248,0.257,4428,4492,0.326,0.327,0.424,0.422,0.75,0.749,109,110,1876,1894,597,600,0.1348238482384824,0.13357079252003562
MIL,ARI,ARI,MIL,682,658,0.1511859898027045,0.1460599334073252,213,231,0.04721791177122589,0.05127635960044395,14,33,0.0031035247173575703,0.00732519422863485,142,184,0.03147860784748393,0.04084350721420644,1041,1077,0.23076923076923078,0.2390677025527192,463,450,0.10263799600975393,0.09988901220865705,1164,1130,0.258,0.251,4511,4505,0.332,0.324,0.406,0.439,0.738,0.763,140,96,1831,1979,634,643,0.14054533362890712,0.14273029966703663
SEA,SD,SD,SEA,612,561,0.13527851458885942,0.12655086848635236,181,217,0.040008841732979666,0.04895104895104895,7,16,0.0015473032714412025,0.003609293931874577,190,116,0.041998231653404064,0.026167381006090683,1193,929,0.26370468611847925,0.20956462891946762,447,429,0.09880636604774536,0.0967741935483871,1093,1116,0.242,0.252,4524,4433,0.318,0.322,0.411,0.386,0.729,0.708,132,88,1858,1713,587,526,0.1297524314765694,0.11865553801037672
KAN,CWS,KAN,CWS,511,523,0.11490892736676411,0.11959753029956552,233,200,0.052394872948054866,0.0457351932311914,19,9,0.004272543287609625,0.002058083695403613,126,132,0.028333708117832247,0.030185227532586324,908,1091,0.20418259500787048,0.2494854790761491,347,416,0.07803013267371262,0.09512920192087812,1094,1023,0.246,0.234,4447,4373,0.307,0.303,0.392,0.374,0.699,0.677,99,77,1743,1637,502,504,0.11288509107263324,0.11525268694260234
