,balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
775,1640158,777815,2025-05-23,111,110,BOS,BAL,Boston Red Sox,Baltimore Orioles,Red Sox,Orioles,0,0,regular,regular,2025,2025,54,52,45,39,19,5,20,14,6,3,0,0,3,0,19,5,35,17,8,3,7,11,0,1,0.257,0.235,0.329,0.301,0.428,0.389,0.757,0.69,1,0,0,1,4.05,5.75,9.0,8.0,14,20,5,19,0,3,3,8,11,7,0.358,0.444,1.35,1.51,0,2,2025-05-23
777,1665717,777809,2025-05-24,111,110,BOS,BAL,Boston Red Sox,Baltimore Orioles,Red Sox,Orioles,0,0,regular,regular,2025,2025,57,55,35,36,6,5,7,7,2,3,0,0,3,0,5,4,18,10,3,5,5,12,0,2,0.256,0.234,0.328,0.301,0.43,0.386,0.758,0.687,1,0,0,1,4.06,5.71,10.0,9.1,7,7,5,4,0,3,5,3,12,5,0.194,0.2,1.34,1.5,0,1,2025-05-24
854,1781913,777735,2025-05-29,143,144,PHI,ATL,Philadelphia Phillies,Atlanta Braves,Phillies,Braves,0,0,regular,regular,2025,2025,56,56,31,37,5,4,10,13,0,2,0,0,2,1,5,4,16,18,4,5,7,8,1,0,0.26,0.248,0.338,0.32,0.41,0.389,0.748,0.709,1,0,0,1,3.68,3.72,9.0,8.0,13,10,4,4,1,2,5,4,8,7,0.351,0.322,1.27,1.25,0,0,2025-05-29
938,1940662,777642,2025-06-05,138,118,STL,KC,St. Louis Cardinals,Kansas City Royals,Cardinals,Royals,0,0,regular,regular,2025,2025,66,64,35,40,6,5,8,12,1,2,0,0,1,1,6,5,12,17,3,2,3,4,0,1,0.258,0.249,0.329,0.302,0.396,0.364,0.725,0.666,1,0,0,1,3.88,3.2,10.0,9.1,12,8,4,4,1,1,2,3,4,3,0.3,0.228,1.25,1.19,0,1,2025-06-05
1139,2255362,777458,2025-06-19,145,138,CWS,STL,Chicago White Sox,St. Louis Cardinals,White Sox,Cardinals,0,0,regular,regular,2025,2025,74,79,38,39,6,8,8,12,1,3,0,0,2,3,6,8,15,24,5,2,9,11,1,1,0.222,0.257,0.294,0.328,0.343,0.396,0.637,0.724,0,1,1,0,4.24,3.97,10.0,10.0,12,8,7,6,3,2,2,5,11,9,0.307,0.21,1.41,1.27,0,0,2025-06-19
1138,2255363,777464,2025-06-19,116,134,DET,PIT,Detroit Tigers,Pittsburgh Pirates,Tigers,Pirates,0,0,regular,regular,2025,2025,77,75,34,40,4,8,5,12,3,0,0,0,1,3,4,8,11,21,6,5,12,14,0,1,0.252,0.225,0.322,0.302,0.417,0.336,0.739,0.638,0,1,1,0,3.36,3.82,10.0,10.0,12,5,7,4,3,1,5,6,14,12,0.3,0.147,1.19,1.2,0,0,2025-06-19
1907,2256175,777459,2025-08-18,112,158,CHC,MIL,Chicago Cubs,Milwaukee Brewers,Cubs,Brewers,0,0,regular,regular,2025,2025,74,75,29,36,0,7,2,9,0,2,0,0,0,2,0,5,2,17,3,7,8,11,0,1,0.25,0.259,0.319,0.333,0.429,0.407,0.748,0.74,0,1,1,0,3.83,3.56,9.0,9.0,9,2,6,0,2,0,7,3,11,8,0.25,0.068,1.21,1.23,1,0,2025-08-18
1318,2545574,777284,2025-07-02,120,116,WSH,DET,Washington Nationals,Detroit Tigers,Nationals,Tigers,0,0,regular,regular,2025,2025,88,89,36,41,2,11,9,15,0,2,0,0,0,4,2,11,9,29,6,3,8,11,0,0,0.244,0.257,0.311,0.326,0.391,0.431,0.702,0.757,0,1,1,0,5.08,3.42,9.0,9.0,15,9,11,2,4,0,3,6,11,8,0.365,0.25,1.39,1.19,0,1,2025-07-02
1319,2545575,777289,2025-07-02,121,158,NYM,MIL,New York Mets,Milwaukee Brewers,Mets,Brewers,0,0,regular,regular,2025,2025,87,86,28,36,2,7,2,10,0,2,0,0,0,3,2,7,2,21,1,7,7,3,1,0,0.243,0.248,0.322,0.323,0.413,0.383,0.735,0.706,0,1,1,0,3.5,3.75,9.0,9.0,10,2,7,2,3,0,7,1,3,7,0.277,0.071,1.31,1.28,0,0,2025-07-02
1317,2545576,777290,2025-07-02,143,135,PHI,SD,Philadelphia Phillies,San Diego Padres,Phillies,Padres,0,0,regular,regular,2025,2025,88,85,33,32,5,1,10,6,0,0,1,0,2,0,5,1,18,6,4,2,6,9,1,1,0.256,0.245,0.33,0.314,0.404,0.374,0.734,0.688,1,0,0,1,3.71,3.68,9.0,8.0,6,10,1,5,0,2,2,4,9,6,0.187,0.303,1.26,1.24,1,0,2025-07-02
1416,2733511,777181,2025-07-10,110,121,BAL,NYM,Baltimore Orioles,New York Mets,Orioles,Mets,0,0,regular,regular,2025,2025,98,97,36,31,7,3,9,5,4,1,0,0,1,0,6,3,16,6,3,4,6,6,2,2,0.239,0.244,0.305,0.323,0.4,0.415,0.705,0.738,1,0,0,1,4.88,3.59,9.0,8.0,5,9,3,6,0,1,4,3,6,6,0.161,0.25,1.41,1.3,0,1,2025-07-10
1441,2761786,777164,2025-07-11,145,114,CWS,CLE,Chicago White Sox,Cleveland Guardians,White Sox,Guardians,0,0,regular,regular,2025,2025,95,96,28,31,2,4,2,5,0,1,0,0,1,3,2,4,5,15,3,1,6,9,0,0,0.221,0.223,0.294,0.294,0.344,0.367,0.638,0.661,0,1,1,0,4.14,3.95,9.0,9.0,5,2,4,2,3,1,1,3,9,6,0.161,0.071,1.39,1.35,0,0,2025-07-11
1583,3061902,777010,2025-07-26,118,114,KC,CLE,Kansas City Royals,Cleveland Guardians,Royals,Guardians,0,0,regular,regular,2025,2025,107,109,31,37,5,3,6,9,1,3,1,0,2,0,5,3,15,12,5,4,5,11,1,0,0.244,0.225,0.299,0.298,0.381,0.372,0.68,0.67,1,0,0,1,3.5,3.93,10.0,9.1,9,6,3,5,0,2,4,5,11,5,0.243,0.193,1.22,1.32,0,0,2025-07-26
1909,3594720,776691,2025-08-19,112,158,CHC,MIL,Chicago Cubs,Milwaukee Brewers,Cubs,Brewers,0,0,regular,regular,2025,2025,127,128,31,33,6,4,8,8,2,2,0,0,2,1,6,4,16,13,2,6,9,9,0,0,0.25,0.259,0.319,0.333,0.429,0.407,0.748,0.74,1,0,0,1,3.84,3.57,9.0,8.0,8,8,4,4,1,2,6,2,9,9,0.242,0.258,1.21,1.23,0,1,2025-08-19
