Date,Home Team,Home Score,Away Team,Away Score,Status
2025-09-16,Washington Nationals,3,Atlanta Braves,6,Final
2025-09-16,Washington Nationals,0,Atlanta Braves,5,Final
2025-09-16,Detroit Tigers,5,Cleveland Guardians,7,Final
2025-09-16,Pittsburgh Pirates,1,Chicago Cubs,4,Final
2025-09-16,Boston Red Sox,1,Athletics,2,Final
2025-09-16,New York Mets,8,San Diego Padres,3,Final
2025-09-16,Tampa Bay Rays,5,Toronto Blue Jays,6,Final
2025-09-16,Kansas City Royals,5,Seattle Mariners,12,Final
2025-09-16,Chicago White Sox,7,Baltimore Orioles,8,Final
2025-09-16,Minnesota Twins,9,New York Yankees,10,Final
2025-09-16,Milwaukee Brewers,9,Los Angeles Angels,2,Final
2025-09-16,St. Louis Cardinals,3,Cincinnati Reds,0,Final
2025-09-16,Houston Astros,6,Texas Rangers,5,Final
2025-09-16,Colorado Rockies,5,Miami Marlins,6,Final
2025-09-16,Arizona Diamondbacks,6,San Francisco Giants,5,Final
2025-09-16,Los Angeles Dodgers,6,Philadelphia Phillies,9,Final
