Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-13,Chicago Cubs,1,Pittsburgh Pirates,2,Final
2025-06-13,Philadelphia Phillies,8,Toronto Blue Jays,0,Final
2025-06-13,Washington Nationals,9,Miami Marlins,11,Final
2025-06-13,Baltimore Orioles,2,Los Angeles Angels,0,Final
2025-06-13,Detroit Tigers,11,Cincinnati Reds,5,Final
2025-06-13,New York Mets,5,Tampa Bay Rays,7,Final
2025-06-13,Boston Red Sox,2,New York Yankees,1,Final
2025-06-13,Atlanta Braves,12,Colorado Rockies,4,Final
2025-06-13,Texas Rangers,3,Chicago White Sox,1,Final
2025-06-13,Kansas City Royals,4,Athletics,6,Final
2025-06-13,Houston Astros,10,Minnesota Twins,3,Final
2025-06-13,Milwaukee Brewers,3,St. Louis Cardinals,2,Final
2025-06-13,Arizona Diamondbacks,5,San Diego Padres,1,Final
2025-06-13,Seattle Mariners,7,Cleveland Guardians,2,Final
2025-06-13,Los Angeles Dodgers,2,San Francisco Giants,6,Final
