Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-25,Chicago White Sox,7,Arizona Diamondbacks,3,Final
2025-06-25,Milwaukee Brewers,4,Pittsburgh Pirates,2,Final
2025-06-25,Los Angeles Angels,5,Boston Red Sox,2,Final
2025-06-25,San Diego Padres,1,Washington Nationals,0,Final
2025-06-25,Baltimore Orioles,0,Texas Rangers,7,Final
2025-06-25,Detroit Tigers,0,Athletics,3,Final
2025-06-25,Cleveland Guardians,5,Toronto Blue Jays,4,Final
2025-06-25,New York Mets,7,Atlanta Braves,3,Final
2025-06-25,Cincinnati Reds,1,New York Yankees,7,Final
2025-06-25,Kansas City Royals,0,Tampa Bay Rays,3,Final
2025-06-25,Minnesota Twins,2,Seattle Mariners,0,Final
2025-06-25,St. Louis Cardinals,0,Chicago Cubs,8,Final
2025-06-25,Houston Astros,2,Philadelphia Phillies,0,Final
2025-06-25,Colorado Rockies,1,Los Angeles Dodgers,8,Final
2025-06-25,San Francisco Giants,5,Miami Marlins,8,Final
