Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-28,New York Yankees,0,Athletics,7,Final
2025-06-28,Detroit Tigers,10,Minnesota Twins,5,Final
2025-06-28,Pittsburgh Pirates,9,New York Mets,2,Final
2025-06-28,Baltimore Orioles,3,Tampa Bay Rays,11,Final
2025-06-28,Texas Rangers,3,Seattle Mariners,2,Final
2025-06-28,Kansas City Royals,9,Los Angeles Dodgers,5,Final
2025-06-28,Cincinnati Reds,4,San Diego Padres,6,Final
2025-06-28,Cleveland Guardians,6,St. Louis Cardinals,9,Final
2025-06-28,Boston Red Sox,15,Toronto Blue Jays,1,Final
2025-06-28,Chicago White Sox,1,San Francisco Giants,0,Final
2025-06-28,Arizona Diamondbacks,7,Miami Marlins,8,Final
2025-06-28,Milwaukee Brewers,5,Colorado Rockies,0,Final
2025-06-28,Houston Astros,3,Chicago Cubs,12,Final
2025-06-28,Atlanta Braves,6,Philadelphia Phillies,1,Final
2025-06-28,Los Angeles Angels,8,Washington Nationals,2,Final
