Date,Home Team,Home Score,Away Team,Away Score,Status
2025-09-12,Chicago Cubs,6,Tampa Bay Rays,4,Final
2025-09-12,Washington Nationals,6,Pittsburgh Pirates,5,Final
2025-09-12,Philadelphia Phillies,8,Kansas City Royals,2,Final
2025-09-12,Toronto Blue Jays,6,Baltimore Orioles,1,Final
2025-09-12,New York Mets,3,Texas Rangers,8,Final
2025-09-12,Cleveland Guardians,4,Chicago White Sox,0,Final
2025-09-12,Miami Marlins,8,Detroit Tigers,2,Final
2025-09-12,Boston Red Sox,1,New York Yankees,4,Final
2025-09-12,Atlanta Braves,3,Houston Astros,11,Final
2025-09-12,Minnesota Twins,9,Arizona Diamondbacks,8,Final
2025-09-12,Milwaukee Brewers,8,St. Louis Cardinals,2,Final
2025-09-12,San Diego Padres,2,Colorado Rockies,4,Final
2025-09-12,Athletics,3,Cincinnati Reds,0,Final
2025-09-12,Seattle Mariners,2,Los Angeles Angels,1,Final
2025-09-12,San Francisco Giants,5,Los Angeles Dodgers,1,Final
