Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-15,Detroit Tigers,4,Cincinnati Reds,8,Final
2025-06-15,Baltimore Orioles,11,Los Angeles Angels,2,Final
2025-06-15,Philadelphia Phillies,11,Toronto Blue Jays,4,Final
2025-06-15,Atlanta Braves,1,Colorado Rockies,10,Final
2025-06-15,Washington Nationals,1,Miami Marlins,3,Final
2025-06-15,Boston Red Sox,2,New York Yankees,0,Final
2025-06-15,New York Mets,0,Tampa Bay Rays,9,Final
2025-06-15,Kansas City Royals,2,Athletics,3,Final
2025-06-15,Houston Astros,2,Minnesota Twins,1,Final
2025-06-15,Milwaukee Brewers,3,St. Louis Cardinals,2,Final
2025-06-15,Chicago Cubs,3,Pittsburgh Pirates,2,Final
2025-06-15,Texas Rangers,2,Chicago White Sox,1,Final
2025-06-15,Arizona Diamondbacks,2,San Diego Padres,8,Final
2025-06-15,Seattle Mariners,6,Cleveland Guardians,0,Final
2025-06-15,Los Angeles Dodgers,5,San Francisco Giants,4,Final
