Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-10,Baltimore Orioles,3,Detroit Tigers,5,Final
2025-06-10,Cleveland Guardians,0,Cincinnati Reds,1,Final
2025-06-10,Pittsburgh Pirates,2,Miami Marlins,3,Final
2025-06-10,Philadelphia Phillies,4,Chicago Cubs,8,Final
2025-06-10,New York Mets,5,Washington Nationals,4,Final
2025-06-10,Boston Red Sox,3,Tampa Bay Rays,1,Final
2025-06-10,Minnesota Twins,4,Texas Rangers,16,Final
2025-06-10,Kansas City Royals,2,New York Yankees,10,Final
2025-06-10,Milwaukee Brewers,4,Atlanta Braves,1,Final
2025-06-10,St. Louis Cardinals,9,Toronto Blue Jays,10,Final
2025-06-10,Houston Astros,2,Chicago White Sox,4,Final
2025-06-10,Colorado Rockies,5,San Francisco Giants,6,Final
2025-06-10,Los Angeles Angels,2,Athletics,1,Final
2025-06-10,San Diego Padres,11,Los Angeles Dodgers,1,Final
2025-06-10,Arizona Diamondbacks,10,Seattle Mariners,3,Final
