Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-12,New York Mets,4,Washington Nationals,3,Final
2025-06-12,Minnesota Twins,3,Texas Rangers,16,Final
2025-06-12,Colorado Rockies,8,San Francisco Giants,7,Final
2025-06-12,Baltimore Orioles,1,Detroit Tigers,4,Final
2025-06-12,Kansas City Royals,0,New York Yankees,1,Final
2025-06-12,Milwaukee Brewers,6,St. Louis Cardinals,0,Final
2025-06-12,Chicago Cubs,3,Pittsburgh Pirates,2,Final
2025-06-12,Houston Astros,4,Chicago White Sox,3,Final
