Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-22,New York Yankees,4,Baltimore Orioles,2,Final
2025-06-22,Tampa Bay Rays,3,Detroit Tigers,9,Final
2025-06-22,Pittsburgh Pirates,8,Texas Rangers,3,Final
2025-06-22,Toronto Blue Jays,2,Chicago White Sox,4,Final
2025-06-22,Miami Marlins,5,Atlanta Braves,3,Final
2025-06-22,Minnesota Twins,8,Milwaukee Brewers,9,Final
2025-06-22,St. Louis Cardinals,1,Cincinnati Reds,4,Final
2025-06-22,Chicago Cubs,6,Seattle Mariners,14,Final
2025-06-22,Colorado Rockies,4,Arizona Diamondbacks,2,Final
2025-06-22,Athletics,0,Cleveland Guardians,3,Final
2025-06-22,San Francisco Giants,9,Boston Red Sox,5,Final
2025-06-22,Los Angeles Angels,7,Houston Astros,8,Final
2025-06-22,Los Angeles Dodgers,13,Washington Nationals,7,Final
2025-06-22,San Diego Padres,3,Kansas City Royals,2,Final
2025-06-22,Philadelphia Phillies,7,New York Mets,1,Final
