Date,Home Team,Home Score,Away Team,Away Score,Status
2025-07-13,Boston Red Sox,4,Tampa Bay Rays,1,Final
2025-07-13,Baltimore Orioles,1,Miami Marlins,11,Final
2025-07-13,New York Yankees,1,Chicago Cubs,4,Final
2025-07-13,Cincinnati Reds,4,Colorado Rockies,2,Final
2025-07-13,Detroit Tigers,4,Seattle Mariners,8,Final
2025-07-13,Kansas City Royals,3,New York Mets,2,Final
2025-07-13,Houston Astros,1,Texas Rangers,5,Final
2025-07-13,Minnesota Twins,1,Pittsburgh Pirates,2,Final
2025-07-13,Chicago White Sox,5,Cleveland Guardians,6,Final
2025-07-13,Milwaukee Brewers,8,Washington Nationals,1,Final
2025-07-13,St. Louis Cardinals,5,Atlanta Braves,4,Final
2025-07-13,San Francisco Giants,2,Los Angeles Dodgers,5,Final
2025-07-13,Athletics,6,Toronto Blue Jays,3,Final
2025-07-13,Los Angeles Angels,1,Arizona Diamondbacks,5,Final
2025-07-13,San Diego Padres,1,Philadelphia Phillies,2,Final
