Date,Home Team,Home Score,Away Team,Away Score,Status
2025-07-04,Washington Nationals,2,Boston Red Sox,11,Final
2025-07-04,Philadelphia Phillies,6,Cincinnati Reds,9,Final
2025-07-04,Chicago Cubs,11,St. Louis Cardinals,3,Final
2025-07-04,New York Mets,6,New York Yankees,5,Final
2025-07-04,Seattle Mariners,6,Pittsburgh Pirates,0,Final
2025-07-04,Minnesota Twins,4,Tampa Bay Rays,3,Final
2025-07-04,San Diego Padres,3,Texas Rangers,2,Final
2025-07-04,Toronto Blue Jays,4,Los Angeles Angels,3,Final
2025-07-04,Cleveland Guardians,1,Detroit Tigers,2,Final
2025-07-04,Miami Marlins,5,Milwaukee Brewers,6,Final
2025-07-04,Atlanta Braves,2,Baltimore Orioles,3,Final
2025-07-04,Colorado Rockies,2,Chicago White Sox,3,Final
2025-07-04,Los Angeles Dodgers,1,Houston Astros,18,Final
2025-07-04,Arizona Diamondbacks,3,Kansas City Royals,9,Final
2025-07-04,Athletics,11,San Francisco Giants,2,Final
