Date,Home Team,Home Score,Away Team,Away Score,Status
2025-09-11,Baltimore Orioles,3,Pittsburgh Pirates,2,Final
2025-09-11,Chicago White Sox,5,Tampa Bay Rays,1,Final
2025-09-11,Toronto Blue Jays,6,Houston Astros,0,Final
2025-09-11,Miami Marlins,5,Washington Nationals,0,Final
2025-09-11,New York Yankees,9,Detroit Tigers,3,Final
2025-09-11,Cleveland Guardians,3,Kansas City Royals,2,Final
2025-09-11,Philadelphia Phillies,6,New York Mets,4,Final
2025-09-11,San Diego Padres,2,Colorado Rockies,0,Final
2025-09-11,Seattle Mariners,7,Los Angeles Angels,6,Final
