Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-03,Pittsburgh Pirates,0,Houston Astros,3,Final
2025-06-03,Miami Marlins,2,Colorado Rockies,3,Final
2025-06-03,Washington Nationals,3,Chicago Cubs,8,Final
2025-06-03,New York Yankees,3,Cleveland Guardians,2,Final
2025-06-03,Toronto Blue Jays,3,Philadelphia Phillies,8,Final
2025-06-03,Boston Red Sox,3,Los Angeles Angels,4,Final
2025-06-03,Cincinnati Reds,4,Milwaukee Brewers,2,Final
2025-06-03,Atlanta Braves,3,Arizona Diamondbacks,8,Final
2025-06-03,Tampa Bay Rays,5,Texas Rangers,1,Final
2025-06-03,Chicago White Sox,8,Detroit Tigers,1,Final
2025-06-03,St. Louis Cardinals,7,Kansas City Royals,10,Final
2025-06-03,Seattle Mariners,1,Baltimore Orioles,5,Final
2025-06-03,San Francisco Giants,2,San Diego Padres,3,Final
2025-06-03,Athletics,3,Minnesota Twins,10,Final
2025-06-03,Los Angeles Dodgers,6,New York Mets,5,Final
