Date,Home Team,Home Score,Away Team,Away Score,Status
2025-07-09,Chicago White Sox,2.0,Toronto Blue Jays,1.0,Final
2025-07-09,Milwaukee Brewers,3.0,Los Angeles Dodgers,2.0,Final
2025-07-09,San Francisco Giants,0.0,Philadelphia Phillies,13.0,Final
2025-07-09,Detroit Tigers,3.0,Tampa Bay Rays,7.0,Final
2025-07-09,New York Yankees,9.0,Seattle Mariners,6.0,Final
2025-07-09,Boston Red Sox,10.0,Colorado Rockies,2.0,Final
2025-07-09,Cincinnati Reds,7.0,Miami Marlins,2.0,Final
2025-07-09,Kansas City Royals,4.0,Pittsburgh Pirates,3.0,Final
2025-07-09,Minnesota Twins,4.0,Chicago Cubs,2.0,Final
2025-07-09,St. Louis Cardinals,2.0,Washington Nationals,8.0,Final
2025-07-09,Houston Astros,2.0,Cleveland Guardians,4.0,Final
2025-07-09,Los Angeles Angels,11.0,Texas Rangers,8.0,Final
2025-07-09,San Diego Padres,2.0,Arizona Diamondbacks,8.0,Final
2025-07-09,Athletics,2.0,Atlanta Braves,9.0,Final
2025-07-09,Baltimore Orioles,,New York Mets,,Postponed
