Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-14,Washington Nationals,3,Miami Marlins,4,Final
2025-06-14,Detroit Tigers,1,Cincinnati Reds,11,Final
2025-06-14,Chicago Cubs,2,Pittsburgh Pirates,1,Final
2025-06-14,Baltimore Orioles,6,Los Angeles Angels,5,Final
2025-06-14,Philadelphia Phillies,3,Toronto Blue Jays,2,Final
2025-06-14,Texas Rangers,5,Chicago White Sox,4,Final
2025-06-14,Kansas City Royals,0,Athletics,4,Final
2025-06-14,New York Mets,4,Tampa Bay Rays,8,Final
2025-06-14,Houston Astros,3,Minnesota Twins,2,Final
2025-06-14,Atlanta Braves,4,Colorado Rockies,1,Final
2025-06-14,Milwaukee Brewers,5,St. Louis Cardinals,8,Final
2025-06-14,Arizona Diamondbacks,8,San Diego Padres,7,Final
2025-06-14,Boston Red Sox,4,New York Yankees,3,Final
2025-06-14,Seattle Mariners,4,Cleveland Guardians,3,Final
2025-06-14,Los Angeles Dodgers,11,San Francisco Giants,5,Final
