Date,Home Team,Home Score,Away Team,Away Score,Status
2025-09-13,Chicago Cubs,4,Tampa Bay Rays,5,Final
2025-09-13,Toronto Blue Jays,5,Baltimore Orioles,4,Final
2025-09-13,Washington Nationals,1,Pittsburgh Pirates,5,Final
2025-09-13,New York Mets,2,Texas Rangers,3,Final
2025-09-13,Miami Marlins,6,Detroit Tigers,4,Final
2025-09-13,Boston Red Sox,3,New York Yankees,5,Final
2025-09-13,Philadelphia Phillies,8,Kansas City Royals,6,Final
2025-09-13,Cleveland Guardians,3,Chicago White Sox,1,Final
2025-09-13,Minnesota Twins,2,Arizona Diamondbacks,5,Final
2025-09-13,Atlanta Braves,2,Houston Astros,6,Final
2025-09-13,Milwaukee Brewers,9,St. Louis Cardinals,8,Final
2025-09-13,San Diego Padres,11,Colorado Rockies,3,Final
2025-09-13,San Francisco Giants,7,Los Angeles Dodgers,13,Final
2025-09-13,Seattle Mariners,5,Los Angeles Angels,3,Final
2025-09-13,Athletics,11,Cincinnati Reds,5,Final
