game_pk,home_pitching_hr_per_9_rolling_10,away_pitching_hr_per_9_rolling_10
778563,,
778564,0.0,0.0
778557,,
778556,,
778553,,
778555,,
778558,,
778559,,
778561,,
778545,,
778554,,
778562,,
778551,,
778546,0.0,
778552,,1.5
778547,,
778560,,
778549,6.0,1.0
778548,1.0,0.0
778550,2.0,0.0
778518,0.0,0.0
778543,1.0,1.3333333333333333
778541,2.0,2.25
778542,2.0,1.125
778544,0.3333333333333333,3.375
778538,1.0,2.25
778534,1.0,3.375
778528,1.0,2.25
778536,3.5,0.5294117647058824
778535,1.8,0.9
778529,0.9,0.9
778540,2.0,0.0
778537,0.0,1.125
778539,1.0,0.5294117647058824
778531,1.0,1.0588235294117647
778530,0.5,0.0
778520,1.5,1.6875
778532,0.5,1.542857142857143
778533,0.7297297297297297,3.115390606520397
778521,2.5,1.0588235294117647
778526,2.3684210526315788,1.894736842105263
778523,1.0,6.1875
778525,3.3333333333333335,0.6923076923076923
778522,1.5,1.0588235294117647
778524,0.0,0.5294117647058824
778519,0.6,0.3176474325263912
778510,0.9473684210526315,1.0
778527,0.5,1.588235294117647
778517,0.5,1.125
778516,1.0,1.08
778515,1.0,1.4318181818181819
778513,2.0,0.6923076923076923
778514,1.0,1.125
778506,0.6666666666666666,1.875
778504,5.625,1.6071428571428572
778512,0.7941176470588235,1.3636363636363635
778502,2.0,0.72
778511,1.6666666666666667,0.75
778509,0.6923076923076923,0.36
778508,0.3333333333333333,0.4954132985443106
778507,2.5,1.6071428571428572
778503,0.6666666666666666,1.3846153846153846
778505,0.3333333333333333,1.3846153846153846
778499,0.75,0.6666666666666666
778496,1.75,3.197372628121879
778501,0.7941176470588235,1.3846153846153846
778500,0.5869565217391305,0.84375
778498,1.5,1.2272727272727273
778497,1.3125,0.7941176470588235
778493,0.25,0.40601534286867885
778492,1.0,1.5
778491,2.4,1.5
778490,0.5,2.25
778488,4.636363636363637,1.2162162162162162
778495,0.4864864864864865,1.5
778489,0.5,1.0285714285714285
778485,1.0,0.5142857142857142
778486,1.6,3.145634121974876
778494,1.4651162790697674,1.3278688524590163
778487,0.6545454545454545,1.125
778480,1.4,1.0188679245283019
778479,0.2,0.515923895492927
778477,3.642857142857143,1.4
778473,0.375,1.3404255319148937
778474,0.6,1.975609756097561
778478,2.0,1.2272727272727273
778471,1.5576923076923077,1.4142857142857144
778476,0.8333333333333334,0.627906976744186
778469,1.5,2.49230960946893
778475,0.6,1.0227272727272727
778481,1.263157894736842,0.8571428571428571
778483,0.627906976744186,1.0975609756097562
778482,1.75,1.3636363636363635
778484,1.25,1.8
778472,0.5625,1.125
778470,0.6923076923076923,0.9
778467,1.6,1.0975609756097562
778462,1.8,1.0
778466,1.2,1.6666666666666667
778468,2.8867924528301887,1.1666666666666667
778458,2.279222259235233,0.8333333333333334
778463,0.9152542372881356,0.631578947368421
778460,1.3670886075949367,0.7142857142857143
778465,0.6792452830188679,1.8571428571428572
778456,1.1020408163265305,1.6229508196721312
778461,0.44021763055306007,1.1666666666666667
778444,0.8490566037735849,1.4285714285714286
778457,1.2115384615384615,1.8870967741935485
778459,1.3333333333333333,0.4931506849315068
778464,1.4378706732962563,1.1911764705882353
778455,1.3012056031359054,1.0327868852459017
778454,0.8709677419354839,0.3333333333333333
778453,2.467741935483871,1.0161290322580645
778447,1.6363636363636365,0.8823529411764706
778445,1.9392275907334755,1.1612903225806452
778440,1.8305084745762712,0.8571428571428571
778450,1.3295454545454546,0.6338028169014085
778452,1.3278688524590163,2.028169014084507
778448,1.2857142857142858,0.4444444444444444
778449,0.5118485838144947,1.2857142857142858
778441,1.1191715643375981,0.9130434782608695
778438,0.7605633802816901,0.43548387096774194
778446,0.5806451612903226,1.7746478873239437
778439,2.1549295774647885,1.0285714285714285
778451,1.2397965509166078,1.3026315789473684
778442,1.05,1.375
778436,0.984375,1.3438907946195497
778437,1.828125,1.05
778429,1.1571428571428573,1.8227848101265822
778443,1.0588235294117647,0.8307692307692308
778443,1.0588235294117647,0.8744942811717739
778443,0.9310344827586207,0.8307692307692308
778443,0.9310344827586207,0.8744942811717739
778432,0.9230769230769231,0.8475340123470908
778434,1.375,0.4
778428,0.6806725549044349,1.125
778435,0.5070422535211268,1.581589296406152
778433,1.687500811298467,1.2857142857142858
778422,0.9818186280993765,0.9230769230769231
778419,1.7205882352941178,0.8873239436619719
778421,2.3625,0.9113924050632911
778430,1.3295454545454546,0.7974683544303798
778420,0.9,0.7714285714285715
778423,1.173913043478261,1.4444444444444444
778427,0.9863013698630136,1.2122444031655497
778425,1.8493150684931507,1.4558823529411764
778443,1.0588235294117647,0.8307692307692308
778443,1.0588235294117647,0.8744942811717739
778443,0.9310344827586207,0.8307692307692308
778443,0.9310344827586207,0.8744942811717739
778424,1.4936176568585775,0.9838060663182455
778415,0.5977861984450917,0.8836370062814591
778418,1.139240506329114,0.5056179775280899
778426,0.9204545454545454,1.437261810927068
778416,0.45,1.1647058823529413
778411,1.125,0.8089887640449438
778412,0.8744942811717739,1.6153846153846154
778413,1.6551724137931034,0.8372093023255814
778405,1.1955710733792817,0.7777777777777778
778410,1.0975609756097562,1.0344827586206897
778414,1.4157303370786516,0.8181818181818182
778403,1.3396951678225832,0.9963103307418195
778402,1.6578947368421053,1.1489366591219827
778407,0.4044943820224719,1.064516129032258
778408,0.7883214555917721,0.8933830098404484
778409,1.125,0.6136363636363636
778404,0.7078651685393258,0.821292463386896
778417,0.8008471182851193,1.7560975609756098
778406,1.331839162259714,1.4444444444444444
778401,1.0227272727272727,0.6136363636363636
778400,0.7883214555917721,1.569767441860465
778394,1.2692307692307692,2.2247191011235956
778396,1.6551724137931034,0.7325581395348837
778398,1.095940150597675,0.8089887640449438
778397,0.989010989010989,0.8275862068965517
778395,1.4,0.8181818181818182
778389,0.6897812736428006,0.9926477887116093
778390,0.5,1.076086956521739
778387,1.018868309006909,1.3097019812320827
