game_pk,home_batting_obp_rolling_5,away_batting_obp_rolling_5,home_batting_obp_rolling_10,away_batting_obp_rolling_10
778563,,,,
778564,0.12903225806451613,0.35714285714285715,0.12903225806451613,0.35714285714285715
778545,,,,
778546,0.3670886075949367,,0.3670886075949367,
778547,,,,
778551,,,,
778552,,0.2638888888888889,,0.2638888888888889
778553,,,,
778554,,,,
778555,,,,
778556,,,,
778557,,,,
778558,,,,
778559,,,,
778561,,,,
778562,,,,
778518,0.35294117647058826,0.3333333333333333,0.35294117647058826,0.3333333333333333
778541,0.375,0.13333333333333333,0.375,0.13333333333333333
778542,0.36363636363636365,0.3170731707317073,0.36363636363636365,0.3170731707317073
778543,0.3333333333333333,0.31092436974789917,0.3333333333333333,0.31092436974789917
778544,0.3333333333333333,0.375,0.3333333333333333,0.375
778548,0.3783783783783784,0.2894736842105263,0.3783783783783784,0.2894736842105263
778549,0.2727272727272727,0.4318181818181818,0.2727272727272727,0.4318181818181818
778550,0.2571428571428571,0.25,0.2571428571428571,0.25
778560,,,,
778520,0.35294117647058826,0.2857142857142857,0.35294117647058826,0.2857142857142857
778521,0.30303030303030304,0.2876712328767123,0.30303030303030304,0.2876712328767123
778528,0.34285714285714286,0.2972972972972973,0.34285714285714286,0.2972972972972973
778529,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333
778530,0.2835820895522388,0.2898550724637681,0.2835820895522388,0.2898550724637681
778531,0.29850746268656714,0.2638888888888889,0.29850746268656714,0.2638888888888889
778532,0.3561643835616438,0.2857142857142857,0.3561643835616438,0.2857142857142857
778533,0.31756756756756754,0.35714285714285715,0.31756756756756754,0.35714285714285715
778534,0.3142857142857143,0.20588235294117646,0.3142857142857143,0.20588235294117646
778535,0.2222222222222222,0.32558139534883723,0.2222222222222222,0.32558139534883723
778536,0.37142857142857144,0.33766233766233766,0.37142857142857144,0.33766233766233766
778537,0.25806451612903225,0.2857142857142857,0.25806451612903225,0.2857142857142857
778538,0.3333333333333333,0.2972972972972973,0.3333333333333333,0.2972972972972973
778539,0.3380281690140845,0.3026315789473684,0.3380281690140845,0.3026315789473684
778540,0.32432432432432434,0.22857142857142856,0.32432432432432434,0.22857142857142856
778510,0.28169014084507044,0.30985915492957744,0.28169014084507044,0.30985915492957744
778513,0.30392156862745096,0.2882882882882883,0.30392156862745096,0.2882882882882883
778514,0.30927835051546393,0.2882882882882883,0.30927835051546393,0.2882882882882883
778515,0.34234234234234234,0.2774869109947644,0.34234234234234234,0.2774869109947644
778516,0.29591836734693877,0.2857142857142857,0.29591836734693877,0.2857142857142857
778517,0.375,0.208955223880597,0.375,0.208955223880597
778519,0.33613445378151263,0.31746031746031744,0.33613445378151263,0.31746031746031744
778522,0.3,0.23880597014925373,0.3,0.23880597014925373
778523,0.43209876543209874,0.3132530120481928,0.43209876543209874,0.3132530120481928
778524,0.352112676056338,0.23529411764705882,0.352112676056338,0.23529411764705882
778525,0.3577981651376147,0.34210526315789475,0.3577981651376147,0.34210526315789475
778526,0.3037974683544304,0.4,0.3037974683544304,0.4
778527,0.25757575757575757,0.2714285714285714,0.25757575757575757,0.2714285714285714
778496,0.27692307692307694,0.3333333333333333,0.27692307692307694,0.3333333333333333
778499,0.3358208955223881,0.3482142857142857,0.3358208955223881,0.3482142857142857
778500,0.3131868131868132,0.2463768115942029,0.3131868131868132,0.2463768115942029
778501,0.2708333333333333,0.31155778894472363,0.2708333333333333,0.28695652173913044
778502,0.3779527559055118,0.24271844660194175,0.3779527559055118,0.24271844660194175
778503,0.38181818181818183,0.2647058823529412,0.38181818181818183,0.2647058823529412
778504,0.288135593220339,0.27102803738317754,0.288135593220339,0.27102803738317754
778505,0.2857142857142857,0.24509803921568626,0.2857142857142857,0.24509803921568626
778506,0.26,0.2079207920792079,0.26,0.2079207920792079
778507,0.3356643356643357,0.3,0.3356643356643357,0.3
778508,0.34579439252336447,0.3105590062111801,0.34579439252336447,0.3105590062111801
778509,0.32450331125827814,0.24752475247524752,0.32450331125827814,0.24752475247524752
778511,0.27450980392156865,0.2755905511811024,0.27450980392156865,0.2755905511811024
778512,0.33112582781456956,0.28,0.33112582781456956,0.28
778485,0.36046511627906974,0.3287671232876712,0.36046511627906974,0.3287671232876712
778486,0.29239766081871343,0.37349397590361444,0.29239766081871343,0.37349397590361444
778487,0.3220338983050847,0.24277456647398843,0.3287671232876712,0.24277456647398843
778488,0.28104575163398693,0.3137254901960784,0.28104575163398693,0.3137254901960784
778489,0.2595419847328244,0.2746478873239437,0.2595419847328244,0.2746478873239437
778490,0.2846715328467153,0.2,0.2846715328467153,0.2
778491,0.34269662921348315,0.2827586206896552,0.34269662921348315,0.2827586206896552
778492,0.423728813559322,0.3935483870967742,0.423728813559322,0.3935483870967742
778493,0.3611111111111111,0.28125,0.3611111111111111,0.28125
778494,0.2802197802197802,0.3611111111111111,0.2802197802197802,0.3368055555555556
778495,0.3790849673202614,0.26277372262773724,0.3790849673202614,0.26277372262773724
778497,0.328042328042328,0.2785714285714286,0.328042328042328,0.2785714285714286
778498,0.3194444444444444,0.26993865030674846,0.3194444444444444,0.26993865030674846
778469,0.25443786982248523,0.35148514851485146,0.2736318407960199,0.35148514851485146
778471,0.3048128342245989,0.34615384615384615,0.28110599078341014,0.3333333333333333
778472,0.28402366863905326,0.21818181818181817,0.31048387096774194,0.23786407766990292
778473,0.36,0.2681564245810056,0.36,0.2681564245810056
778474,0.28488372093023256,0.24431818181818182,0.28488372093023256,0.24431818181818182
778475,0.25308641975308643,0.2640449438202247,0.25308641975308643,0.2640449438202247
778476,0.38285714285714284,0.29775280898876405,0.3798076923076923,0.29775280898876405
778477,0.2849462365591398,0.2978723404255319,0.2849462365591398,0.2978723404255319
778478,0.36666666666666664,0.2833333333333333,0.352112676056338,0.2833333333333333
778479,0.37362637362637363,0.2765957446808511,0.37362637362637363,0.27876106194690264
778480,0.28735632183908044,0.26380368098159507,0.28735632183908044,0.26262626262626265
778481,0.287292817679558,0.26011560693641617,0.30275229357798167,0.26011560693641617
778482,0.37267080745341613,0.25,0.37267080745341613,0.25
778483,0.35978835978835977,0.2857142857142857,0.35978835978835977,0.2857142857142857
778484,0.37662337662337664,0.37823834196891193,0.37662337662337664,0.37823834196891193
778462,0.22988505747126436,0.24550898203592814,0.24170616113744076,0.263681592039801
778466,0.3404255319148936,0.3717277486910995,0.3404255319148936,0.3656387665198238
778467,0.37373737373737376,0.23837209302325582,0.37373737373737376,0.23837209302325582
778468,0.2923076923076923,0.24550898203592814,0.29310344827586204,0.25980392156862747
778470,0.3125,0.30526315789473685,0.33636363636363636,0.29646017699115046
778444,0.27624309392265195,0.2634730538922156,0.26851851851851855,0.27467811158798283
778447,0.2681564245810056,0.2832369942196532,0.25821596244131456,0.29245283018867924
778453,0.2696629213483146,0.2215568862275449,0.2835249042145594,0.24472573839662448
778454,0.22699386503067484,0.358695652173913,0.24782608695652175,0.34418604651162793
778455,0.28191489361702127,0.33146067415730335,0.27232142857142855,0.3333333333333333
778456,0.23699421965317918,0.2777777777777778,0.24519230769230768,0.28063241106719367
778457,0.2824858757062147,0.3626943005181347,0.27230046948356806,0.3609022556390977
778458,0.3316582914572864,0.2616279069767442,0.3389121338912134,0.27053140096618356
778459,0.390625,0.3063583815028902,0.37872340425531914,0.31690140845070425
778460,0.38073394495412843,0.3806818181818182,0.34139784946236557,0.3729508196721312
778461,0.27419354838709675,0.35714285714285715,0.2824427480916031,0.3537117903930131
778463,0.3160621761658031,0.38461538461538464,0.3018867924528302,0.3786008230452675
778464,0.23529411764705882,0.30256410256410254,0.25101214574898784,0.31203007518796994
778465,0.24861878453038674,0.34269662921348315,0.2626728110599078,0.35080645161290325
778436,0.31862745098039214,0.2956989247311828,0.2988929889298893,0.2986111111111111
778437,0.27807486631016043,0.30939226519337015,0.27626459143968873,0.30952380952380953
778438,0.2236024844720497,0.3202247191011236,0.25096525096525096,0.3293172690763052
778439,0.28,0.2235294117647059,0.2832764505119454,0.2426470588235294
778440,0.23863636363636365,0.25443786982248523,0.23045267489711935,0.2627118644067797
778441,0.28272251308900526,0.3103448275862069,0.2824427480916031,0.3229166666666667
778442,0.27956989247311825,0.28342245989304815,0.2677165354330709,0.28523489932885904
778445,0.3402061855670103,0.27932960893854747,0.34532374100719426,0.27346938775510204
778446,0.25280898876404495,0.3179190751445087,0.2631578947368421,0.3333333333333333
778448,0.3559322033898305,0.3076923076923077,0.3707865168539326,0.31230283911671924
778449,0.26436781609195403,0.3385416666666667,0.2866666666666667,0.3663003663003663
778450,0.3888888888888889,0.37777777777777777,0.3366093366093366,0.35379061371841153
778451,0.2737430167597765,0.2640449438202247,0.2793103448275862,0.29292929292929293
778452,0.25,0.36597938144329895,0.26720647773279355,0.35737704918032787
778419,0.2556818181818182,0.2556818181818182,0.23826714801444043,0.2664233576642336
778420,0.24096385542168675,0.3089887640449438,0.25597269624573377,0.32280701754385965
778421,0.3076923076923077,0.21428571428571427,0.2955223880597015,0.26282051282051283
778422,0.2804232804232804,0.33519553072625696,0.27702702702702703,0.3333333333333333
