game_pk,home_pitching_era_rolling_5,away_pitching_era_rolling_5,home_pitching_era_rolling_10,away_pitching_era_rolling_10
778563,,,,
778564,3.0,1.0,3.0,1.0
778545,,,,
778546,2.0,,2.0,
778547,,,,
778551,,,,
778552,,4.5,,4.5
778553,,,,
778554,,,,
778555,,,,
778556,,,,
778557,,,,
778558,,,,
778559,,,,
778561,,,,
778562,,,,
778518,1.0,2.25,1.0,2.25
778541,2.0,3.375,2.0,3.375
778542,4.0,7.875,4.0,7.875
778543,10.0,5.0,10.0,5.0
778544,2.6666666666666665,5.625,2.6666666666666665,5.625
778548,4.0,5.625,4.0,5.625
778549,12.0,2.0,12.0,2.0
778550,5.0,2.0,5.0,2.0
778560,,,,
778520,3.5,6.1875,3.5,6.1875
778521,4.5,1.588235294117647,4.5,1.588235294117647
778528,3.0,3.375,3.0,3.375
778529,5.4,3.6,5.4,3.6
778530,1.5,1.588235294117647,1.5,1.588235294117647
778531,3.0,3.176470588235294,3.0,3.176470588235294
778532,5.5,5.914285714285715,5.5,5.914285714285715
778533,2.918918918918919,6.31578947368421,2.918918918918919,6.31578947368421
778534,1.0,9.0,1.0,9.0
778535,5.4,2.7,5.4,2.7
778536,7.0,4.764705882352941,7.0,4.764705882352941
778537,1.0,3.375,1.0,3.375
778538,2.0,4.5,2.0,4.5
778539,3.5,4.235294117647059,3.5,4.235294117647059
778540,6.0,4.0,6.0,4.0
778510,4.2631578947368425,4.0,4.2631578947368425,4.0
778513,4.0,1.3846153846153846,4.0,1.3846153846153846
778514,2.3333333333333335,4.5,2.3333333333333335,4.5
778515,5.0,5.318181818181818,5.0,5.318181818181818
778516,3.0,3.6,3.0,3.6
778517,2.0,4.5,2.0,4.5
778519,2.7,3.5231316725978647,2.7,3.5231316725978647
778522,4.0,3.7058823529411766,4.0,3.7058823529411766
778523,3.5,12.375,3.5,12.375
778524,1.5,2.1176470588235294,1.5,2.1176470588235294
778525,7.666666666666667,4.846153846153846,7.666666666666667,4.846153846153846
778526,8.052631578947368,4.2631578947368425,8.052631578947368,4.2631578947368425
778527,1.0,4.235294117647059,1.0,4.235294117647059
778496,3.25,6.812749003984063,3.25,6.812749003984063
778499,1.75,2.6666666666666665,1.75,2.6666666666666665
778500,2.9347826086956523,4.78125,2.9347826086956523,4.78125
778501,1.588235294117647,6.906976744186046,1.588235294117647,6.230769230769231
778502,4.666666666666667,3.6,4.666666666666667,3.6
778503,2.0,3.4615384615384617,2.0,3.4615384615384617
778504,12.75,4.821428571428571,12.75,4.821428571428571
778505,1.3333333333333333,3.4615384615384617,1.3333333333333333,3.4615384615384617
778506,1.0,6.375,1.0,6.375
778507,6.0,5.785714285714286,6.0,5.785714285714286
778508,2.3333333333333335,3.240997229916897,2.3333333333333335,3.240997229916897
778509,2.3076923076923075,1.8,2.3076923076923075,1.8
778511,4.0,2.5,4.0,2.5
778512,4.5,3.5454545454545454,4.5,3.5454545454545454
778485,1.8,3.857142857142857,1.8,3.857142857142857
778486,4.4,6.598240469208211,4.4,6.598240469208211
778487,2.9347826086956523,5.175,2.618181818181818,5.175
778488,12.272727272727273,3.891891891891892,12.272727272727273,3.891891891891892
778489,2.75,3.085714285714286,2.75,3.085714285714286
778490,0.75,7.3125,0.75,7.3125
778491,5.2,5.75,5.2,5.75
778492,3.3333333333333335,5.25,3.3333333333333335,5.25
778493,2.0,3.877551020408163,2.0,3.877551020408163
778494,4.604651162790698,6.27906976744186,4.604651162790698,5.754098360655738
778495,2.4324324324324325,3.25,2.4324324324324325,3.25
778497,3.75,2.3823529411764706,3.75,2.3823529411764706
778498,3.75,4.090909090909091,3.75,4.090909090909091
778469,4.8,5.4292343387471,4.333333333333333,5.4292343387471
778471,5.113636363636363,5.8604651162790695,4.846153846153846,5.5285714285714285
778472,2.347826086956522,4.275,2.25,4.875
778473,3.1875,3.25531914893617,3.1875,3.25531914893617
778474,2.2,6.365853658536586,2.2,6.365853658536586
778475,2.8,2.659090909090909,2.8,2.659090909090909
778476,1.0,4.186046511627907,1.5,4.186046511627907
778477,9.642857142857142,4.0,9.642857142857142,4.0
778478,3.4,5.318181818181818,4.833333333333333,5.318181818181818
778479,1.6,4.285714285714286,1.6,4.491362763915547
778480,3.2,3.0681818181818183,3.2,3.3962264150943398
778481,3.375,2.357142857142857,3.473684210526316,2.357142857142857
778482,3.75,4.363636363636363,3.75,4.363636363636363
778483,4.604651162790698,4.609756097560975,4.604651162790698,4.609756097560975
778484,4.25,4.8,4.25,4.8
778462,5.785714285714286,3.8,5.4,3.3333333333333335
778466,4.2,3.4,4.2,4.5
778467,3.2,4.609756097560975,3.2,4.609756097560975
778468,8.4,2.2,7.811320754716981,2.8333333333333335
778470,4.813953488372093,4.170731707317073,4.326923076923077,3.78
778444,2.4545454545454546,3.8,2.7169811320754715,4.0
778447,3.8297872340425534,4.609756097560975,4.581818181818182,4.411764705882353
778453,4.695652173913044,1.8409090909090908,6.67741935483871,2.467741935483871
778454,2.8636363636363638,2.2,2.903225806451613,2.0
778455,2.9933481152993346,4.909090909090909,3.4301270417422867,4.868852459016393
778456,4.170731707317073,6.954545454545454,4.040816326530612,5.459016393442623
778457,4.928571428571429,5.113636363636363,5.019230769230769,5.225806451612903
778458,5.0116009280742455,3.2,5.107632093933463,2.8333333333333335
778459,2.8636363636363638,1.565217391304348,2.8333333333333335,1.9726027397260273
778460,4.5,0.8,5.1265822784810124,1.5714285714285714
778461,3.877551020408163,5.2,3.9770867430441896,4.666666666666667
778463,4.071428571428571,3.5625,3.8135593220338984,3.473684210526316
778464,4.713216957605985,3.42,5.133689839572193,3.4411764705882355
778465,2.4,3.4,2.3773584905660377,4.428571428571429
778436,2.6808510638297873,4.87012987012987,2.953125,4.549180327868852
778437,5.361702127659575,4.5,5.0625,4.35
778438,2.659090909090909,2.8636363636363638,2.788732394366197,2.467741935483871
778439,2.297872340425532,1.6744186046511629,5.830985915492958,2.5714285714285716
778440,5.651162790697675,3.8,5.338983050847458,3.142857142857143
778441,2.5942350332594235,5.441860465116279,3.088923556942278,5.217391304347826
778442,4.604651162790698,7.043478260869565,3.9,5.0
778445,4.395348837209302,4.5,4.941763727121464,3.4838709677419355
778446,2.2,2.659090909090909,2.032258064516129,4.563380281690141
778448,2.0454545454545454,1.2272727272727273,2.7142857142857144,2.0
778449,5.357142857142857,5.0,4.621968616262483,4.571428571428571
778450,4.090909090909091,1.2272727272727273,4.704545454545454,1.647887323943662
778451,4.37956204379562,5.282608695652174,4.423963133640553,4.2631578947368425
778452,3.857142857142857,5.113636363636363,5.163934426229508,5.070422535211268
778419,3.8863636363636362,4.704545454545454,4.764705882352941,3.4225352112676055
778420,3.272727272727273,3.3488372093023258,2.925,2.9571428571428573
778421,2.297872340425532,2.0930232558139537,6.4125,2.848101265822785
778422,2.9933481152993346,4.909090909090909,3.693570451436389,4.730769230769231
778423,4.5,7.276595744680851,4.173913043478261,4.888888888888889
778425,5.553191489361702,6.804878048780488,4.808219178082192,5.161764705882353
778427,2.297872340425532,5.575221238938052,2.712328767123288,4.544334975369458
778428,6.906976744186046,5.2,5.233881163084703,4.5
778429,4.285714285714286,4.813953488372093,4.885714285714286,5.012658227848101
778430,2.2,2.7209302325581395,4.5,2.278481012658228
778432,4.813953488372093,5.9361702127659575,4.367647058823529,4.846153846153846
778433,3.272727272727273,5.8604651162790695,4.558610709117222,3.9857142857142858
778434,1.6,0.8181818181818182,2.75,1.9
778435,2.152173913043478,3.125,2.028169014084507,4.431818181818182
778443,5.113636363636363,8.608695652173912,4.441558441558442,6.164383561643835
778405,4.864864864864865,4.6,4.630872483221476,3.7777777777777777
778410,2.6808510638297873,3.642857142857143,2.8536585365853657,3.413793103448276
778411,3.0,1.8,4.6022727272727275,2.932584269662921
778412,2.793791574279379,3.3260869565217392,3.2886723507917175,4.961538461538462
778413,5.357142857142857,4.186046511627907,5.068965517241379,4.395348837209302
778414,6.6521739130434785,3.7674418604651163,5.662921348314606,2.7613636363636362
778415,6.065217391304348,8.780487804878048,4.994450610432852,5.919610231425092
778416,1.565217391304348,5.086956521739131,1.9125,3.8117647058823527
778418,3.9767441860465116,2.302325581395349,4.784810126582278,2.6292134831460676
778424,2.4545454545454546,4.490238611713666,4.263764404609475,4.384896467722291
778426,4.108695652173913,3.1990521327014214,4.344827586206897,4.231651376146789
778394,4.2,2.6808510638297873,4.269230769230769,5.966292134831461
778395,6.456521739130435,4.604651162790698,5.8,2.7613636363636362
778396,5.785714285714286,3.7674418604651163,4.551724137931035,4.290697674418604
778397,2.872340425531915,3.4285714285714284,2.769230769230769,2.793103448275862
778398,4.256756756756757,4.909090909090909,4.530201342281879,3.842696629213483
778400,2.3427331887201737,3.6,3.161361141602635,4.9186046511627906
778401,2.2,3.272727272727273,3.9886363636363638,3.1704545454545454
778402,6.146341463414634,6.840855106888361,5.092105263157895,4.033290653008963
778403,2.4545454545454546,4.789356984478935,3.926521239954076,4.4950055493895675
778404,5.282608695652174,2.772511848341232,4.758620689655173,3.0963302752293576
778406,4.061757719714964,2.8,4.372469635627531,3.2222222222222223
778407,1.148936170212766,3.6,1.7191011235955056,3.6774193548387095
778408,5.361702127659575,9.619952494061758,4.840834248079035,6.193118756936737
778409,4.090909090909091,3.2142857142857144,4.704545454545454,2.7613636363636362
778417,3.838862559241706,5.478260869565218,2.9923273657289,4.5
778376,2.4893617021276597,3.3488372093023258,2.4725274725274726,2.586206896551724
778379,4.5,2.8,4.551724137931035,5.6
778380,4.186046511627907,3.0,4.655172413793103,3.9767441860465116
778381,5.282608695652174,6.428571428571429,6.1,3.5172413793103448
778383,3.607594936708861,3.6382978723404253,3.701298701298701,3.717391304347826
778385,3.0,4.604651162790698,3.741573033707865,3.7241379310344827
778386,5.086956521739131,2.559241706161137,4.6022727272727275,2.9931192660550456
778387,1.8,4.489795918367347,3.3711691259931897,4.848484848484849
778388,2.4,3.477272727272727,2.6970033296337403,4.604651162790698
778389,6.127659574468085,9.192399049881235,5.038419319429199,6.193118756936737
778390,1.6,4.704545454545454,2.0,4.010869565217392
778391,4.928571428571429,5.474452554744525,4.552941176470588,3.7630662020905925
778392,3.8,5.048780487804878,4.344827586206897,3.206896551724138
778393,3.7587006960556844,4.090909090909091,4.44043321299639,3.640449438202247
778399,4.691943127962085,5.5227272727272725,3.0963302752293576,4.351648351648351
778371,6.319148936170213,3.2,5.318181818181818,3.956043956043956
778373,3.0,2.4545454545454546,2.7968923418423977,4.0344827586206895
778377,3.5625,1.393805309734513,4.153846153846154,2.0179372197309418
778378,3.9767441860465116,4.937655860349127,4.285714285714286,4.018801410105758
778382,4.691943127962085,4.295454545454546,3.4059633027522933,4.054945054945055
778384,3.877551020408163,4.5,4.066587395957194,3.6818181818181817
778356,5.571428571428571,4.0,3.3488372093023258,4.044943820224719
778358,5.318181818181818,2.2,6.2,2.2
778360,2.922077922077922,4.604651162790698,3.896103896103896,3.6206896551724137
778361,6.069767441860465,6.2,3.6206896551724137,5.420454545454546
778363,2.9302325581395348,1.6,3.413793103448276,2.965909090909091
778364,3.3488372093023258,4.704545454545454,4.241379310344827,3.4615384615384617
778365,5.844155844155844,4.6,5.890557939914163,3.337078651685393
778366,4.713216957605985,2.938775510204082,4.60166468489893,3.967741935483871
778367,5.625,2.6808510638297873,4.231651376146789,3.616532721010333
778368,4.675324675324675,2.8636363636363638,4.243421052631579,4.153846153846154
778369,4.071428571428571,3.8,3.717391304347826,3.8275862068965516
778370,4.285714285714286,2.5434782608695654,4.646464646464647,2.6129032258064515
778374,4.081632653061225,4.0588235294117645,2.8932261768082665,4.645161290322581
778375,3.3488372093023258,1.8,3.9176470588235293,2.3973362930077693
778341,2.669491525423729,4.928571428571429,4.090909090909091,4.0813953488372094
778345,5.357142857142857,4.5,3.0348837209302326,3.337078651685393
778346,5.318181818181818,3.0,6.329670329670329,2.5714285714285716
778347,2.8601694915254234,4.5,5.697424892703863,3.033707865168539
778348,2.5714285714285716,2.4,2.965909090909091,2.831460674157303
778349,3.284671532846715,3.25531914893617,4.60166468489893,3.6774193548387095
778350,3.6818181818181817,2.4545454545454546,4.241379310344827,2.3736263736263736
778351,4.194915254237288,5.232558139534884,4.440789473684211,5.4
778352,4.5,6.545454545454546,3.6206896551724137,5.5227272727272725
778353,4.886877828054298,3.9130434782608696,4.128440366972477,4.133180252583238
778354,3.3488372093023258,3.8,4.348314606741573,4.0344827586206895
778355,5.806451612903226,2.7857142857142856,5.4865181711606095,2.5280898876404496
778357,3.673469387755102,2.88,2.8932261768082665,4.741935483870968
778359,1.2272727272727273,2.659090909090909,3.9176470588235293,2.7272727272727275
778362,3.4285714285714284,1.168831168831169,4.447058823529412,2.1140939597315436
778329,3.701298701298701,5.023255813953488,4.144736842105263,5.258426966292135
778330,3.0681818181818183,6.069767441860465,3.413793103448276,5.113636363636363
778331,6.906976744186046,3.0681818181818183,4.604651162790698,3.033707865168539
778332,3.4,3.125,4.344827586206897,2.893569844789357
778333,3.0,3.477272727272727,4.846153846153846,2.5
778334,2.0625,6.146341463414634,3.4090909090909087,3.872093023255814
778335,2.302325581395349,2.0,2.965909090909091,2.2247191011235956
778336,2.8662420382165608,3.272727272727273,5.759219088937093,3.033707865168539
778337,4.604651162790698,4.5,4.853932584269663,4.241379310344827
778338,2.7857142857142856,2.7331887201735356,4.815695600475625,4.006514657980456
778339,5.5102040816326525,3.731707317073171,4.9589683470105514,3.1704545454545454
778340,5.2,3.9130434782608696,4.541284403669724,3.9841089670828604
778342,1.0,3.558139534883721,3.453488372093023,2.9292929292929295
778343,2.3946784922394677,3.25531914893617,2.9965556831228475,4.645161290322581
778344,4.071428571428571,1.3636363636363635,4.5,2.239819004524887
778315,2.25,3.477272727272727,3.413793103448276,2.831460674157303
778320,3.272727272727273,4.170731707317073,3.6818181818181817,3.477272727272727
778321,3.3260869565217392,6.069767441860465,4.354838709677419,5.068965517241379
778322,1.906779661016949,4.4,2.315436241610738,4.0862656072644725
778323,3.625592417061611,2.8636363636363638,3.1995412844036695,2.659090909090909
778324,2.4545454545454546,3.477272727272727,2.965909090909091,2.2747252747252746
778325,1.30977130977131,3.432203389830508,5.188470066518847,4.144736842105263
778326,6.75,6.0,5.023255813953488,5.215909090909091
778327,5.149253731343284,3.558139534883721,4.9589683470105514,2.965909090909091
778328,4.4,2.3427331887201737,4.541284403669724,3.713355048859935
778302,5.6,4.609756097560975,5.337209302325581,5.5227272727272725
778305,0.8,4.395348837209302,3.5172413793103448,3.6818181818181817
778306,5.048780487804878,6.0,4.129411764705883,5.755813953488372
778307,3.272727272727273,2.659090909090909,2.8636363636363638,2.1235955056179776
778308,1.30977130977131,5.208333333333333,4.988913525498891,4.390243902439024
778309,3.13953488372093,3.4,4.280618311533889,4.945054945054945
778310,4.265402843601896,3.0681818181818183,3.715596330275229,2.4269662921348316
778311,3.2415254237288136,4.4,2.919463087248322,4.141414141414142
778312,4.150485436893204,3.642857142857143,4.325908558030481,3.310344827586207
778313,4.295454545454546,4.829268292682927,4.3977272727272725,3.5795454545454546
778314,2.739130434782609,7.928571428571429,4.451612903225806,5.793103448275862
778316,2.3946784922394677,2.0625,2.8932261768082665,3.1168831168831166
778317,4.909090909090909,1.8,4.551724137931035,3.310344827586207
778318,4.909090909090909,2.8,4.247191011235955,4.241379310344827
778319,3.8,5.4292343387471,4.231651376146789,4.445664105378705
778287,5.0,5.625,5.275862068965517,5.929411764705883
778288,0.782608695652174,3.0681818181818183,3.337078651685393,3.539325842696629
778289,3.642857142857143,5.571428571428571,4.129411764705883,4.9186046511627906
778290,1.8,3.6818181818181817,3.8486842105263155,4.1906873614190685
778293,3.642857142857143,6.642857142857143,3.870967741935484,5.172413793103448
778294,4.909090909090909,3.4,4.922711058263972,4.351648351648351
778295,2.708333333333333,3.13953488372093,3.715596330275229,2.352272727272727
778296,4.604651162790698,5.3076923076923075,4.6022727272727275,3.8117647058823527
778297,3.9823008849557517,5.785714285714286,2.6880530973451324,4.146067415730337
778298,3.2,5.985748218527315,4.387755102040816,4.346871569703623
778299,3.2,2.9302325581395348,3.0681818181818183,2.5568181818181817
778300,3.932038834951456,4.170731707317073,4.1148886283704575,2.9302325581395348
778301,5.931818181818182,2.2,4.862068965517241,3.0681818181818183
778303,5.4,3.2,5.056179775280899,3.6818181818181817
778304,3.1929046563192904,3.8863636363636362,3.269012485811578,3.7417943107221006
778278,2.302325581395349,2.0,2.659090909090909,2.440347071583514
778279,6.136363636363637,5.441860465116279,5.318181818181818,4.129411764705883
778280,3.13953488372093,7.463414634146342,3.0,5.546511627906977
778281,3.4285714285714284,6.146341463414634,4.023529411764706,4.447058823529412
778282,2.8,2.4,3.834080717488789,4.009378663540446
778283,4.2,3.2,4.441833137485312,4.247191011235955
778285,2.6,3.477272727272727,3.3333333333333335,3.192904656319291
778286,3.0,4.170731707317073,2.689655172413793,3.388235294117647
778291,6.6,3.6,5.379310344827586,3.477272727272727
778292,5.2,3.8863636363636362,4.137931034482759,3.6206896551724137
778260,4.170731707317073,5.023255813953488,4.714285714285714,4.392857142857143
778261,2.9166666666666665,2.4,2.68348623853211,3.842696629213483
778263,2.9302325581395348,6.4,3.9176470588235293,5.896551724137931
778268,3.272727272727273,2.8,3.8863636363636362,3.235955056179775
778269,3.7674418604651163,1.173913043478261,3.991130820399113,2.8
778270,1.8409090909090908,2.0454545454545454,2.659090909090909,2.4698133918770577
778271,2.0454545454545454,5.232558139534884,2.67032967032967,3.206896551724138
778272,3.0,2.6,4.1,3.954869358669834
778273,3.8,4.2,2.467105263157895,3.4164859002169203
778274,6.545454545454546,6.4,4.909090909090909,4.909090909090909
778275,4.802784222737819,5.6,3.9955604883462823,4.494773519163763
778276,3.717391304347826,3.130434782608696,3.5795454545454546,3.3962264150943398
778277,3.2142857142857144,4.170731707317073,2.586206896551724,3.857142857142857
778284,5.142857142857143,2.739130434782609,4.5,2.659090909090909
778243,3.951219512195122,4.5,4.5,4.337349397590361
778247,5.85,6.146341463414634,6.214285714285714,5.294117647058823
778251,1.8409090909090908,3.2,3.9176470588235293,5.011363636363637
778252,5.4,6.75,4.348314606741573,5.689655172413793
778253,2.4545454545454546,2.8636363636363638,2.786697247706422,2.932584269662921
778254,3.2,6.069767441860465,3.2637362637362637,3.477272727272727
778255,3.2,1.8,3.8,3.380281690140845
