game_pk,home_pitching_k_bb_ratio_rolling_10,away_pitching_k_bb_ratio_rolling_10
778563,,
778564,1.125,9.0
778557,,
778556,,
778553,,
778555,,
778558,,
778559,,
778561,,
778545,,
778554,,
778562,,
778551,,
778546,2.625,
778552,,1.2
778547,,
778560,,
778549,1.6,0.6
778548,1.5714285714285714,1.5714285714285714
778550,4.333333333333333,3.5
778518,1.1666666666666667,1.4
778543,1.6666666666666667,1.2222222222222223
778541,10.0,1.0
778542,1.6666666666666667,4.5
778544,2.142857142857143,6.0
778538,3.25,2.5
778534,5.0,3.0
778528,3.6666666666666665,2.5
778536,1.8888888888888888,1.5
778535,3.1666666666666665,4.333333333333333
778529,1.6666666666666667,10.0
778540,8.5,2.0
778537,4.0,9.0
778539,1.4166666666666667,1.8
778531,4.0,2.0
778530,2.0,1.8888888888888888
778520,2.3,3.0
778532,1.5,1.6111111111111112
778533,2.4210526315789473,5.333333333333333
778521,2.5,2.0
778526,1.7142857142857142,4.0
778523,3.6666666666666665,1.25
778525,2.6,2.0
778522,9.0,3.4
778524,7.0,2.0
778519,1.35,2.076923076923077
778510,1.4285714285714286,4.666666666666667
778527,2.8333333333333335,2.1666666666666665
778517,4.666666666666667,2.142857142857143
778516,2.8181818181818183,2.5
778515,2.1818181818181817,1.7142857142857142
778513,2.75,2.0
778514,1.8666666666666667,3.1666666666666665
778506,2.875,1.5833333333333333
778504,1.3125,1.2307692307692308
778512,2.1333333333333333,3.3333333333333335
778502,5.571428571428571,2.111111111111111
778511,6.25,2.625
778509,1.44,1.7692307692307692
778508,10.333333333333334,2.1333333333333333
778507,3.0833333333333335,1.6666666666666667
778503,3.8,2.375
778505,2.076923076923077,3.142857142857143
778499,2.25,2.857142857142857
778496,2.727272727272727,4.166666666666667
778501,2.5625,1.4
778500,2.5652173913043477,2.3333333333333335
778498,4.25,2.5
778497,1.4285714285714286,2.0588235294117645
778493,13.666666666666666,2.1
778492,4.0,2.2666666666666666
778491,3.066666666666667,1.5714285714285714
778490,3.0,1.411764705882353
778488,1.3333333333333333,1.6875
778495,2.9,2.1538461538461537
778489,2.0555555555555554,3.2
778485,2.588235294117647,2.0
778486,2.3333333333333335,2.8333333333333335
778494,1.8461538461538463,1.5
778487,2.7037037037037037,1.9444444444444444
778480,3.3333333333333335,2.9
778479,18.666666666666668,1.7692307692307692
778477,1.48,1.8421052631578947
778473,2.9166666666666665,2.3125
778474,2.388888888888889,2.0555555555555554
778478,3.0526315789473686,1.7391304347826086
778471,1.9310344827586208,1.588235294117647
778476,3.0,1.4210526315789473
778469,3.0,2.5625
778475,2.272727272727273,3.9
778481,1.5862068965517242,2.4444444444444446
778483,2.3684210526315788,3.0
778482,4.7272727272727275,2.4
778484,2.8666666666666667,2.6666666666666665
778472,2.6774193548387095,2.3333333333333335
778470,2.4545454545454546,3.272727272727273
778467,5.076923076923077,2.3333333333333335
778462,2.3157894736842106,2.4444444444444446
778466,2.227272727272727,3.5555555555555554
778468,1.9615384615384615,3.5
778458,2.6315789473684212,2.611111111111111
778463,3.357142857142857,3.5384615384615383
778460,1.5897435897435896,3.2857142857142856
778465,2.5,3.0952380952380953
778456,2.1875,1.8055555555555556
778461,1.9285714285714286,2.1481481481481484
778444,3.533333333333333,2.8
778457,1.84,3.0869565217391304
778459,5.066666666666666,2.5277777777777777
778464,2.272727272727273,1.71875
778455,2.0,2.7083333333333335
778454,3.4,10.166666666666666
778453,2.0689655172413794,3.533333333333333
778447,1.9166666666666667,1.5238095238095237
778445,2.652173913043478,2.4347826086956523
778440,2.9473684210526314,2.8518518518518516
778450,1.7,2.642857142857143
778452,1.9259259259259258,3.347826086956522
778448,4.578947368421052,2.3902439024390243
778449,1.911764705882353,2.3
778441,2.0357142857142856,2.6923076923076925
778438,3.590909090909091,8.125
778446,2.6,2.64
778439,2.09375,3.0526315789473686
778451,2.8181818181818183,1.8285714285714285
778442,2.210526315789474,1.880952380952381
778436,2.772727272727273,2.6153846153846154
778437,1.9,1.84
778429,1.6363636363636365,3.72
778443,3.5,2.3333333333333335
778443,3.5,2.0303030303030303
778443,2.96,2.3333333333333335
778443,2.96,2.0303030303030303
778432,3.090909090909091,2.1379310344827585
778434,4.285714285714286,2.4651162790697674
778428,2.0,2.257142857142857
778435,2.6206896551724137,2.75
778433,2.6153846153846154,2.3703703703703702
778422,1.9393939393939394,2.6206896551724137
778419,3.2857142857142856,2.806451612903226
778421,2.1470588235294117,3.0434782608695654
778430,2.0,2.2777777777777777
778420,3.8181818181818183,5.5
778423,1.8461538461538463,1.8666666666666667
778427,2.357142857142857,2.433333333333333
778425,1.8823529411764706,1.8333333333333333
778443,3.5,2.3333333333333335
778443,3.5,2.0303030303030303
778443,2.96,2.3333333333333335
778443,2.96,2.0303030303030303
778424,2.4827586206896552,2.275
778415,2.1794871794871793,1.951219512195122
778418,1.8055555555555556,1.9622641509433962
778426,2.7241379310344827,2.774193548387097
778416,2.4705882352941178,2.027027027027027
778411,1.9705882352941178,3.75
778412,2.235294117647059,3.12
778413,3.3333333333333335,2.7666666666666666
778405,2.484848484848485,2.75
778410,2.3225806451612905,2.8846153846153846
778414,1.9791666666666667,2.0454545454545454
778403,2.5,2.2444444444444445
778402,1.935483870967742,1.9714285714285715
778407,2.4864864864864864,1.9047619047619047
778408,2.4285714285714284,1.9
778409,1.9487179487179487,1.8979591836734695
778404,2.6129032258064515,2.7333333333333334
778417,5.4375,1.9473684210526316
778406,2.6666666666666665,4.3478260869565215
778401,2.1818181818181817,3.5
778400,2.25,2.9655172413793105
778394,2.103448275862069,2.27027027027027
778396,3.310344827586207,3.32
778398,2.2777777777777777,2.763157894736842
778397,2.5,2.6
778395,2.2142857142857144,2.15
778389,2.588235294117647,2.05
778390,2.8285714285714287,1.8717948717948718
778387,2.59375,2.3095238095238093
778385,2.2058823529411766,2.9285714285714284
778381,2.1707317073170733,2.051282051282051
778380,3.5925925925925926,2.7241379310344827
778376,2.6774193548387095,2.6538461538461537
778392,1.894736842105263,1.9565217391304348
778383,2.4722222222222223,3.342857142857143
778391,1.9166666666666667,1.95
778386,2.4,3.1481481481481484
778399,4.2727272727272725,2.0238095238095237
778393,2.7,3.7241379310344827
778388,2.6666666666666665,2.966666666666667
778379,2.3448275862068964,2.3783783783783785
778382,3.75,2.0
778378,1.7317073170731707,1.6888888888888889
778373,2.90625,3.1923076923076925
778371,1.9696969696969697,2.7058823529411766
778377,2.2432432432432434,3.3333333333333335
778384,2.606060606060606,3.2903225806451615
778375,1.880952380952381,3.064516129032258
778374,2.8,2.6176470588235294
778367,3.44,2.3846153846153846
778370,2.4285714285714284,2.6470588235294117
778369,2.0,2.264705882352941
778366,1.7045454545454546,2.3513513513513513
778368,2.9473684210526314,2.0
778363,3.6956521739130435,2.4571428571428573
778365,1.851063829787234,3.3448275862068964
778361,2.0256410256410255,2.1176470588235294
778360,2.1219512195121952,3.3043478260869565
778364,3.25,2.657142857142857
778358,2.324324324324324,2.8055555555555554
778356,1.7291666666666667,2.34375
778348,4.190476190476191,2.27027027027027
778347,1.8409090909090908,2.823529411764706
778355,1.9411764705882353,2.5405405405405403
778346,2.119047619047619,2.6153846153846154
778362,2.7037037037037037,3.0689655172413794
778353,3.1481481481481484,2.4210526315789473
778349,1.8181818181818181,2.230769230769231
778354,1.9714285714285715,2.235294117647059
778359,1.8604651162790697,2.8125
778357,2.76,2.3947368421052633
778351,3.138888888888889,1.6875
778350,3.1481481481481484,2.935483870967742
778352,2.2051282051282053,2.1515151515151514
778345,1.8,3.0
778341,2.1219512195121952,3.3181818181818183
778344,2.3333333333333335,3.0714285714285716
778339,2.0,2.4210526315789473
778342,2.275,2.696969696969697
778343,3.0,2.4444444444444446
778340,2.774193548387097,2.4864864864864864
778337,1.8285714285714285,2.264705882352941
778329,3.4242424242424243,1.7446808510638299
778335,3.652173913043478,2.5
778338,1.6956521739130435,2.1794871794871793
778336,1.8888888888888888,2.75
778333,2.6285714285714286,2.7714285714285714
778330,2.230769230769231,2.1142857142857143
778334,2.3421052631578947,3.272727272727273
778332,2.9615384615384617,2.5428571428571427
778331,1.5777777777777777,3.2916666666666665
778321,2.757575757575758,2.0256410256410255
778320,2.5806451612903225,2.238095238095238
778328,2.5454545454545454,2.3684210526315788
778327,2.25,3.3076923076923075
778322,3.3461538461538463,2.7714285714285714
778324,3.869565217391304,2.611111111111111
778323,2.0,2.6206896551724137
778325,1.8444444444444446,4.0
778315,2.135135135135135,3.32
778326,1.7209302325581395,1.8717948717948718
778314,2.903225806451613,1.880952380952381
778316,3.130434782608696,2.289473684210526
778318,1.625,2.4
778313,2.6129032258064515,2.268292682926829
778317,2.2142857142857144,2.7714285714285714
778319,3.1,2.4166666666666665
778312,2.276595744680851,3.3461538461538463
778311,3.0,2.5945945945945947
778307,3.3846153846153846,2.742857142857143
778309,1.8571428571428572,2.3333333333333335
778310,2.0,2.888888888888889
778308,2.1794871794871793,4.153846153846154
778306,3.227272727272727,1.5510204081632653
778305,2.0256410256410255,3.0
778302,1.875,1.725
778297,3.5384615384615383,2.5833333333333335
778299,3.28,2.84375
778295,2.073170731707317,2.5714285714285716
778290,2.3529411764705883,3.642857142857143
778288,2.342857142857143,2.8666666666666667
778301,2.0357142857142856,2.9714285714285715
778293,2.9642857142857144,2.024390243902439
778304,2.962962962962963,2.073170731707317
778303,1.6829268292682926,2.814814814814815
778296,2.689655172413793,2.289473684210526
778298,3.225806451612903,2.4594594594594597
778300,2.282608695652174,3.2962962962962963
778294,1.7333333333333334,2.5
778289,3.0,1.744186046511628
778287,1.95,1.488888888888889
778291,1.6428571428571428,2.6666666666666665
778280,2.8214285714285716,2.3513513513513513
778285,3.074074074074074,2.2972972972972974
778283,1.697674418604651,2.3823529411764706
778279,2.361111111111111,2.5
778292,1.8928571428571428,2.638888888888889
778286,2.814814814814815,2.8666666666666667
778282,3.392857142857143,2.2954545454545454
778278,2.875,2.6774193548387095
778281,3.0434782608695654,1.7692307692307692
778268,2.3055555555555554,2.5
778277,2.8214285714285716,2.6363636363636362
778271,2.6296296296296298,2.657142857142857
778274,2.5428571428571427,1.5833333333333333
778276,2.037037037037037,2.6666666666666665
778272,3.0,2.2857142857142856
