favorite_team,underdog_team,away_team,home_team,runline_spread,favorite_spread_odds,underdog_spread_odds,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9
NYY,MIN,NYY,MIN,-1.5,111,-123,652,721,0.12972542777556706,0.14106828409313246,232,257,0.046159968165539196,0.05028370181960477,22,13,0.004377238360525269,0.002543533555077284,163,180,0.032431356943891765,0.035218156916454704,1325,1266,0.2636291285316355,0.24770103697906476,521,431,0.10366096299243932,0.08432792017217766,1169,1322,0.233,0.259,5026,5111,0.31,0.321,0.385,0.42,0.695,0.741,4.02,4.58,1331.2,1320.0,595,672,0.11838440111420613,0.13148111915476424,1.27,1.33,5647,5682,1934,2145,16.63,16.84,150,149,2.54,2.94,8.95,8.63,3.52,2.94,7.9,9.01,4.41,4.92,1.1,1.23
PIT,CHC,CHC,PIT,-1.5,172,-187,614,605,0.12255489021956088,0.12119391025641026,272,210,0.05429141716566866,0.042067307692307696,20,21,0.003992015968063872,0.004206730769230769,142,184,0.028343313373253493,0.03685897435897436,1206,1152,0.2407185628742515,0.23076923076923078,442,382,0.08822355289421158,0.0765224358974359,1186,1203,0.237,0.241,5010,4992,0.305,0.299,0.384,0.402,0.689,0.701,3.87,3.83,1331.2,1331.0,572,567,0.11417165668662675,0.11358173076923077,1.22,1.19,5580,5487,1924,2007,16.24,15.73,150,150,2.73,3.02,8.15,7.79,2.99,2.58,8.02,8.13,4.15,4.09,0.96,1.24
DET,CLE,CLE,DET,-1.5,151,-166,634,611,0.12637034084114013,0.12259229534510434,221,227,0.04405022922064979,0.04554574638844302,17,18,0.0033884791708192145,0.0036115569823434992,174,157,0.03468208092485549,0.0315008025682183,1264,1236,0.2519433924656169,0.2479935794542536,442,497,0.08810045844129959,0.0997191011235955,1206,1206,0.24,0.242,5017,4984,0.307,0.315,0.395,0.389,0.702,0.704,3.91,3.79,1331.0,1324.0,578,558,0.1152082918078533,0.11195826645264847,1.24,1.29,5575,5587,1983,1940,16.17,16.54,149,147,2.86,2.49,8.55,8.4,2.99,3.38,8.15,8.2,4.29,4.15,1.18,1.07
NYM,SD,NYM,SD,-1.5,180,-195,658,578,0.1303486529318542,0.1173842404549147,240,189,0.04754358161648178,0.038383428107229896,22,15,0.004358161648177496,0.0030463038180341185,135,161,0.026743264659270998,0.03269699431356621,1285,1312,0.2545562599049128,0.26645004061738425,528,484,0.1045958795562599,0.0982940698619009,1243,1109,0.246,0.225,5048,4924,0.324,0.3,0.383,0.368,0.707,0.668,4.01,3.64,1325.0,1326.0,591,536,0.11707606973058637,0.10885458976441917,1.34,1.2,5712,5532,1932,1811,16.96,16.3,149,148,2.43,2.71,8.73,8.9,3.59,3.29,8.44,7.53,4.47,3.92,0.92,1.09
MIL,LAA,LAA,MIL,-1.5,-124,111,589,770,0.11820188641380694,0.1506554490315007,214,229,0.04294601645595023,0.04480532185482293,17,20,0.0034115994380895043,0.003913128546272745,154,209,0.03090507726269316,0.040892193308550186,1317,1186,0.2642986152919928,0.23204852279397378,498,578,0.09993979530403371,0.11308941498728234,1151,1330,0.231,0.26,4983,5111,0.307,0.338,0.373,0.436,0.68,0.774,3.63,4.83,1334.2,1328.1,538,713,0.10796708809953844,0.13950303267462336,1.24,1.44,5597,5808,1861,2226,16.49,16.83,150,150,2.64,2.05,8.88,8.04,3.36,3.92,7.76,9.01,3.97,5.22,1.04,1.42
MIA,COL,MIA,COL,-1.5,109,-123,749,955,0.14617486338797814,0.18114567526555386,266,310,0.05191256830601093,0.05880121396054628,23,30,0.004488680718188915,0.005690440060698027,178,230,0.034738485558157686,0.04362670713201821,1184,1004,0.23106947697111632,0.19044006069802732,468,515,0.09133489461358314,0.09768588770864947,1282,1570,0.25,0.298,5124,5272,0.319,0.364,0.415,0.499,0.734,0.863,4.68,6.01,1332.1,1305.1,693,872,0.13524590163934427,0.165402124430956,1.31,1.6,5720,5919,2128,2630,16.63,17.08,150,150,2.53,1.95,8.0,6.92,3.16,3.55,8.66,10.82,5.06,6.58,1.2,1.59
CIN,STL,CIN,STL,-1.5,152,-161,651,705,0.12996606109003794,0.13689320388349516,260,258,0.05190656817728089,0.05009708737864078,18,32,0.0035935316430425234,0.006213592233009709,181,155,0.03613495707726093,0.030097087378640777,1267,1117,0.2529446995408265,0.21689320388349514,464,432,0.09263326013176283,0.08388349514563107,1186,1336,0.237,0.259,5009,5150,0.307,0.319,0.404,0.412,0.711,0.731,3.99,4.32,1327.0,1336.0,589,641,0.1175883409862248,0.12446601941747573,1.24,1.32,5608,5704,2025,2123,16.62,16.05,147,149,2.73,2.59,8.59,7.52,3.15,2.91,8.04,9.0,4.42,4.75,1.23,1.04
SEA,KAN,SEA,KAN,-1.5,123,-135,654,589,0.1275102359134334,0.11695790309769659,230,237,0.04484304932735426,0.047061159650516285,16,24,0.003119516474946383,0.004765687053216839,179,155,0.03489959056346267,0.03077839555202542,1315,1174,0.25638526028465586,0.23312152501985703,431,446,0.0840319750438682,0.08856235107227958,1244,1221,0.243,0.242,5129,5036,0.307,0.308,0.398,0.391,0.705,0.699,3.91,3.73,1355.2,1330.0,589,551,0.11483720023396374,0.10941223193010326,1.24,1.25,5701,5566,2043,1971,16.19,16.23,150,150,3.05,2.63,8.73,7.94,2.86,3.02,8.26,8.26,4.34,3.99,1.19,1.05
TB,TOR,TB,TOR,-1.5,189,-213,620,664,0.12454801124949778,0.13206046141607,208,228,0.041783848935315386,0.045346062052505964,12,13,0.0024106066693451184,0.0025855210819411296,191,197,0.038368822820409806,0.039180588703261736,1314,1336,0.2639614302932905,0.2657120127287192,432,475,0.08678184009642427,0.09447096260938743,1174,1196,0.236,0.238,4978,5028,0.303,0.31,0.398,0.406,0.701,0.716,3.88,4.13,1328.1,1334.0,572,612,0.11490558457211732,0.12171837708830549,1.21,1.25,5514,5626,1979,2041,15.95,16.43,149,148,3.04,2.81,8.9,9.01,2.93,3.2,7.95,8.07,4.2,4.48,1.29,1.33
BOS,OAK,OAK,BOS,-1.5,134,-145,632,764,0.1244339436897027,0.14977455400901785,202,268,0.039771608584367,0.052538717898451284,8,19,0.0015751132112620594,0.003724759851009606,155,210,0.030517818468202403,0.041168398353264066,1249,1235,0.24591455010828903,0.2421093903156244,488,526,0.09608190588698563,0.10311703587531856,1243,1285,0.245,0.252,5079,5101,0.317,0.328,0.379,0.435,0.696,0.763,3.74,4.77,1341.1,1331.1,558,706,0.10986414648552864,0.13840423446383063,1.29,1.36,5700,5773,1926,2221,16.29,17.23,148,150,2.56,2.35,8.38,8.35,3.27,3.56,8.34,8.69,4.24,5.16,1.04,1.42
CWS,BAL,CWS,BAL,-1.5,190,-213,687,730,0.13696172248803828,0.14218932606155044,270,236,0.05382775119617225,0.04596805609661083,21,26,0.004186602870813397,0.00506427736657577,172,199,0.0342902711323764,0.03876119984417608,1170,1237,0.2332535885167464,0.24094273470977795,557,483,0.11104465709728868,0.09407869107908064,1236,1337,0.246,0.26,5016,5134,0.328,0.327,0.411,0.433,0.739,0.76,4.21,4.61,1320.1,1326.2,618,679,0.12320574162679426,0.13225555122711335,1.36,1.37,5707,5723,2064,2222,16.86,16.62,151,149,2.1,2.56,7.98,8.39,3.8,3.28,8.43,9.07,4.68,4.95,1.17,1.35
TEX,HOU,TEX,HOU,-1.5,151,-161,555,618,0.1111111111111111,0.12254610350981558,209,224,0.041841841841841844,0.044418005155661314,14,16,0.0028028028028028026,0.003172714653975808,160,183,0.03203203203203203,0.0362879238548483,1248,1412,0.24984984984984984,0.2799920682133651,433,472,0.08668668668668669,0.09359508229228634,1138,1169,0.228,0.232,4995,5043,0.294,0.303,0.371,0.391,0.665,0.694,3.42,3.84,1343.1,1346.0,510,574,0.1021021021021021,0.11382113821138211,1.17,1.22,5523,5637,1855,1974,15.82,16.34,149,148,2.88,2.99,8.36,9.44,2.9,3.16,7.62,7.82,3.72,4.13,1.07,1.22
ATL,WAS,ATL,WAS,-1.5,110,-116,695,822,0.13770556766395878,0.16048418586489652,233,248,0.046166039231226474,0.04841858648965248,21,28,0.004160887656033287,0.005466614603670442,184,195,0.0364573013671488,0.03807106598984772,1300,1145,0.25757875965920346,0.22354549004295196,502,521,0.09946502872993858,0.10171807887543928,1247,1366,0.247,0.267,5047,5122,0.321,0.341,0.411,0.44,0.732,0.781,4.45,5.32,1329.0,1315.1,657,777,0.13017634238161285,0.15169855525185474,1.32,1.43,5667,5798,2074,2255,16.76,17.11,149,150,2.59,2.2,8.8,7.83,3.4,3.56,8.44,9.35,4.71,5.62,1.25,1.33
ARI,SF,SF,ARI,-1.5,157,-177,721,637,0.13943144459485593,0.12593910636615263,298,267,0.057629085283310774,0.0527876631079478,27,20,0.005221427190098627,0.0039541320680110716,180,128,0.034809514600657517,0.02530644523527086,1195,1262,0.23109649970992072,0.24950573349149863,467,474,0.09031135176948366,0.0937129300118624,1302,1259,0.252,0.249,5171,5058,0.319,0.319,0.424,0.386,0.743,0.705,4.45,3.86,1344.0,1327.2,664,569,0.12840843163798105,0.11249505733491498,1.32,1.31,5749,5654,2194,1950,16.49,16.48,151,149,2.56,2.66,8.0,8.55,3.13,3.21,8.72,8.53,4.83,4.32,1.21,0.87
LAD,PHI,LAD,PHI,-1.5,167,-183,647,608,0.12976333734456477,0.11881962087160446,236,236,0.047332531087043724,0.04612077389095173,24,15,0.0048134777376654635,0.00293140512018761,168,162,0.03369434416365824,0.031659175298026185,1364,1376,0.2735659847573205,0.2689075630252101,516,412,0.10348977135980746,0.08051592730115302,1173,1252,0.235,0.245,4986,5117,0.312,0.305,0.393,0.392,0.705,0.697,4.04,3.83,1331.1,1341.1,598,571,0.11993582029683113,0.11158882157514169,1.27,1.24,5626,5623,1961,2004,16.6,16.19,150,149,2.64,3.34,9.22,9.23,3.49,2.76,7.93,8.4,4.37,4.08,1.14,1.09
