favorite_team,underdog_team,away_team,home_team,runline_spread,favorite_spread_odds,underdog_spread_odds,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9
NYM,CLE,NYM,CLE,-1.5,138,-145,459,470,0.12091675447839831,0.12529992002132764,170,170,0.044783983140147525,0.045321247667288726,16,13,0.004214963119072708,0.00346574246867502,100,121,0.026343519494204427,0.03225806451612903,965,950,0.2542149631190727,0.2532657957877899,407,392,0.10721812434141201,0.10450546520927753,914,909,0.241,0.242,3796,3751,0.321,0.318,0.373,0.391,0.694,0.709,3.68,3.87,1004.0,997.2,410,429,0.10800842992623814,0.11436950146627566,1.32,1.3,4298,4228,1416,1468,16.94,16.63,112,111,2.37,2.42,8.65,8.57,3.65,3.54,8.19,8.2,4.11,4.24,0.9,1.09
BOS,KAN,KAN,BOS,-1.5,-114,107,487,430,0.1260025873221216,0.11354634275151836,145,174,0.037516170763260026,0.045946659625033005,4,17,0.001034928848641656,0.004489041457618167,117,115,0.030271668822768435,0.030367045154475837,942,901,0.24372574385510995,0.23791919725376287,376,343,0.09728331177231565,0.09057301293900184,951,895,0.246,0.236,3865,3787,0.318,0.304,0.376,0.382,0.694,0.686,3.71,3.57,1022.0,1005.1,421,399,0.10892626131953428,0.10536044362292052,1.3,1.23,4341,4197,1455,1448,16.33,16.11,112,113,2.51,2.63,8.3,8.07,3.31,3.07,8.37,8.01,4.29,3.85,1.03,1.03
WAS,OAK,OAK,WAS,-1.5,166,-177,611,613,0.16036745406824146,0.15693804403481823,187,213,0.049081364829396325,0.054531490015360985,24,12,0.006299212598425197,0.0030721966205837174,133,165,0.03490813648293963,0.042242703533026116,837,912,0.21968503937007874,0.23348694316436253,371,407,0.0973753280839895,0.10419866871479774,1028,1015,0.27,0.26,3810,3906,0.342,0.336,0.436,0.447,0.778,0.783,5.32,5.01,975.1,1010.0,576,562,0.15118110236220472,0.14388120839733742,1.43,1.41,4303,4431,1662,1747,17.04,17.34,111,114,2.26,2.24,7.72,8.13,3.42,3.63,9.49,9.04,5.64,5.46,1.23,1.47
SF,PIT,SF,PIT,-1.5,132,-139,462,454,0.12215758857747223,0.12096989075406342,194,209,0.05129561078794289,0.05568878230748734,17,19,0.004494976203067161,0.005062616573407941,98,108,0.025912215758857746,0.02877697841726619,961,867,0.2540983606557377,0.23101518784972022,365,328,0.0965097831835008,0.08739674926725287,917,885,0.242,0.236,3782,3753,0.314,0.303,0.38,0.388,0.694,0.691,3.69,3.85,1000.0,999.0,410,427,0.10840824960338445,0.11377564614974688,1.28,1.21,4236,4169,1439,1456,16.26,16.19,112,112,2.63,2.64,8.65,7.81,3.29,2.95,8.25,7.97,4.16,4.09,0.88,0.97
PHI,BAL,BAL,PHI,-1.5,147,-163,451,571,0.11849710982658959,0.14765968450995604,163,187,0.04282711508145034,0.048357900181018876,13,19,0.003415659485023647,0.00491336953710887,126,160,0.03310562270099842,0.04137574347039048,1030,925,0.27062532842879666,0.23920351693819497,312,371,0.08197582764056753,0.09594000517196793,928,1028,0.244,0.266,3806,3867,0.305,0.334,0.393,0.448,0.698,0.782,3.78,4.9,997.1,991.1,419,540,0.11008933263268524,0.13964313421256788,1.24,1.41,4188,4321,1495,1733,16.24,16.82,110,112,3.3,2.49,9.29,8.4,2.82,3.37,8.37,9.33,4.07,5.18,1.14,1.45
MIL,ATL,MIL,ATL,-1.5,125,-134,437,486,0.11740999462654488,0.13177874186550975,159,180,0.04271896829661472,0.04880694143167028,12,13,0.0032240730789897904,0.0035249457700650758,118,129,0.03170338527673294,0.03497830802603037,966,990,0.2595378828586781,0.26843817787418656,372,374,0.0999462654486835,0.10140997830802603,860,885,0.231,0.24,3722,3688,0.306,0.316,0.375,0.401,0.681,0.717,3.63,4.2,996.1,981.2,402,458,0.10800644814615798,0.12418655097613883,1.24,1.28,4180,4151,1397,1478,16.46,16.65,112,110,2.6,2.65,8.73,9.08,3.36,3.43,7.77,8.11,3.95,4.46,1.07,1.18
DET,MIN,MIN,DET,-1.5,148,-160,466,502,0.1222776174232485,0.13266384778012685,167,183,0.043820519548674886,0.0483615221987315,13,9,0.003411178168459722,0.0023784355179704017,122,127,0.03201259511939124,0.033562367864693445,978,949,0.2566255575964314,0.25079281183932345,322,290,0.0844922592495408,0.07663847780126849,915,963,0.24,0.254,3811,3784,0.305,0.313,0.387,0.408,0.692,0.721,3.75,4.3,1009.1,982.0,421,469,0.11046969299396484,0.12394291754756871,1.23,1.28,4223,4180,1474,1545,16.19,16.41,113,111,3.04,3.27,8.72,8.7,2.87,2.66,8.16,8.83,4.16,4.6,1.09,1.16
HOU,MIA,HOU,MIA,-1.5,160,-172,441,523,0.11753731343283583,0.1385063559322034,185,199,0.049307036247334755,0.052701271186440676,10,18,0.0026652452025586353,0.004766949152542373,131,116,0.03491471215351812,0.03072033898305085,1091,880,0.2907782515991471,0.2330508474576271,333,345,0.08875266524520256,0.09136652542372882,861,938,0.229,0.248,3752,3776,0.298,0.317,0.389,0.403,0.687,0.72,3.7,4.41,1005.0,988.1,413,484,0.11007462686567164,0.1281779661016949,1.19,1.3,4181,4213,1459,1521,16.25,16.49,110,111,3.28,2.55,9.77,8.01,2.98,3.14,7.71,8.54,3.95,4.76,1.17,1.06
LAA,TB,LAA,TB,-1.5,168,-183,554,468,0.14367219917012447,0.12325520147484856,161,165,0.04175311203319502,0.04345535949433763,13,8,0.0033713692946058093,0.0021069265209375824,150,145,0.03890041493775934,0.038188043191993676,884,952,0.229253112033195,0.2507242559915723,428,324,0.11099585062240663,0.08533052409797208,999,905,0.259,0.238,3856,3797,0.336,0.304,0.424,0.401,0.76,0.705,4.55,3.87,1003.0,1010.2,507,435,0.13148340248962656,0.11456412957598104,1.42,1.22,4364,4196,1636,1521,16.73,15.84,113,113,2.07,2.94,7.93,8.48,3.84,2.89,8.96,8.06,4.97,4.17,1.35,1.29
SD,ARI,SD,ARI,-1.5,127,-135,431,553,0.11623516720604099,0.1428202479338843,155,234,0.04180151024811219,0.06043388429752066,12,17,0.003236245954692557,0.004390495867768595,110,141,0.0296655879180151,0.036415289256198344,957,929,0.2580906148867314,0.23992768595041322,364,353,0.09816612729234088,0.09116735537190082,846,984,0.228,0.254,3708,3872,0.303,0.323,0.365,0.433,0.668,0.756,3.58,4.55,997.0,1002.2,397,507,0.10706580366774542,0.1309400826446281,1.21,1.33,4171,4312,1355,1675,16.21,16.45,111,113,2.63,2.63,8.64,8.34,3.29,3.17,7.64,8.83,3.89,4.96,0.99,1.27
