favorite_team,underdog_team,away_team,home_team,runline_spread,favorite_spread_odds,underdog_spread_odds,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9
SEA,LAD,LAD,SEA,-1.5,185,-214,683,679,0.1250457707799341,0.12779973649538867,244,249,0.04467228121567191,0.04686617730095991,16,24,0.0029293299157817647,0.004517221908526256,188,174,0.03441962651043574,0.03274985883681536,1410,1476,0.25814719882826803,0.27780914737436474,448,559,0.08202123764188941,0.10521362695275739,1316,1237,0.241,0.233,5462,5313,0.305,0.311,0.395,0.387,0.7,0.698,3.85,3.98,1444.2,1423.0,618,629,0.11314536799707067,0.1183888575192923,1.22,1.26,6060,6006,2156,2056,16.14,16.63,160,160,3.15,2.64,8.78,9.34,2.79,3.54,8.2,7.82,4.25,4.29,1.17,1.1
HOU,LAA,HOU,LAA,-1.5,115,-131,662,825,0.12385406922357343,0.15182186234817813,241,251,0.045088868101029,0.04619065145380935,16,22,0.002993451824134705,0.004048582995951417,198,215,0.03704396632366698,0.039565697460434306,1484,1265,0.2776426566884939,0.23279352226720648,501,615,0.09373246024321796,0.11317629738682371,1248,1411,0.233,0.26,5345,5434,0.304,0.337,0.396,0.433,0.7,0.77,3.89,4.87,1424.0,1413.1,616,765,0.11524789522918616,0.14078027235921972,1.23,1.43,5971,6178,2115,2351,16.32,16.86,157,160,2.96,2.06,9.38,8.06,3.17,3.92,7.89,8.99,4.18,5.25,1.25,1.37
MIL,CIN,CIN,MIL,-1.5,160,-178,625,673,0.11772461857223583,0.12617172853393327,224,278,0.04219250329628932,0.05211848518935133,17,18,0.0032021096251648143,0.003374578177727784,165,188,0.031079299303070258,0.03524559430071241,1409,1361,0.26539838010924843,0.25515560554930633,525,485,0.0988886796006781,0.09092613423322085,1222,1246,0.23,0.234,5309,5334,0.305,0.303,0.372,0.398,0.677,0.701,3.61,3.86,1424.0,1418.0,571,608,0.10755321152759464,0.11398575178102738,1.23,1.22,5962,5957,1975,2124,16.43,16.55,160,156,2.68,2.81,8.91,8.64,3.32,3.08,7.72,7.91,3.95,4.27,1.04,1.19
CLE,TEX,TEX,CLE,-1.5,153,-175,639,593,0.11959573273441887,0.1117392123610326,242,226,0.04529290660677522,0.04258526474467684,18,15,0.003368893879842785,0.002826455624646693,167,169,0.03125584877409695,0.03184473337101941,1360,1327,0.25453864869923265,0.2500471075937441,525,456,0.0982594048287479,0.08592425098925947,1278,1218,0.239,0.23,5343,5307,0.311,0.295,0.385,0.373,0.696,0.668,3.7,3.45,1423.0,1425.1,585,546,0.10948905109489052,0.10288298473713962,1.27,1.17,5977,5865,2057,1981,16.53,15.83,158,158,2.59,2.91,8.6,8.38,3.32,2.88,8.08,7.69,4.04,3.74,1.06,1.07
NYY,BAL,NYY,BAL,-1.5,-112,109,682,779,0.12740519334952363,0.14238713215134344,243,248,0.045395105548290675,0.04532992140376531,22,26,0.004109844946758827,0.004752330469749589,172,212,0.03213151503829628,0.03874977152257357,1422,1332,0.26564543246777506,0.2434655456040943,552,517,0.10311974593685784,0.09449826357155913,1231,1420,0.23,0.26,5353,5471,0.307,0.326,0.38,0.431,0.687,0.757,3.94,4.6,1421.2,1416.2,622,724,0.11619652531290865,0.13233412538841163,1.25,1.37,6012,6100,2034,2356,16.54,16.65,160,159,2.58,2.58,9.0,8.46,3.49,3.28,7.79,9.02,4.32,4.95,1.09,1.35
CHC,STL,CHC,STL,-1.5,118,-124,646,745,0.12147423843550206,0.1362971094035858,220,272,0.04136893569010906,0.049762166117819244,22,35,0.004136893569010906,0.006403219904866447,200,165,0.037608123354644606,0.030186608122941824,1242,1192,0.23354644603234298,0.2180753750457373,401,456,0.07540428732606243,0.08342480790340286,1271,1418,0.239,0.259,5318,5466,0.297,0.319,0.401,0.413,0.698,0.732,3.82,4.28,1417.0,1416.0,602,674,0.11320045129748026,0.12330772045371387,1.18,1.32,5835,6053,2135,2255,15.73,16.1,160,158,3.1,2.61,7.89,7.58,2.55,2.9,8.07,9.01,4.1,4.74,1.27,1.05
SF,COL,SF,COL,-1.5,-105,-110,681,1013,0.12641544458882495,0.1807960021417098,290,327,0.053833302394653795,0.05836159200428342,21,31,0.0038982736216818265,0.005532750312332679,140,248,0.025988490811212177,0.04426200249866143,1337,1080,0.2481900872470763,0.19275388184900946,501,549,0.09300167068869501,0.09798322327324648,1342,1662,0.249,0.297,5387,5603,0.319,0.363,0.389,0.499,0.708,0.862,3.87,6.0,1415.2,1391.1,609,927,0.11304993502877297,0.16544708192039978,1.3,1.59,6026,6303,2094,2795,16.45,17.06,159,160,2.67,1.97,8.5,6.99,3.19,3.55,8.53,10.75,4.33,6.55,0.89,1.6
TOR,TB,TB,TOR,-1.5,138,-145,716,665,0.1331349944217181,0.1254007165755233,252,220,0.04685756786909632,0.04148595134829342,14,13,0.0026031982149497955,0.0024514425796718837,208,200,0.03867608776496839,0.037714501225721286,1404,1396,0.2610635924135366,0.2632472185555346,509,467,0.094644849386389,0.08806336036205921,1297,1251,0.241,0.236,5378,5303,0.313,0.304,0.409,0.395,0.722,0.699,4.21,3.87,1420.0,1415.1,664,609,0.12346597248047601,0.11484065623232133,1.27,1.21,6013,5885,2201,2097,16.47,16.01,158,159,2.76,2.99,8.9,8.88,3.23,2.97,8.22,7.96,4.54,4.23,1.32,1.27
ATL,PIT,PIT,ATL,-1.5,126,-143,730,640,0.1353355580274379,0.12043658261196838,243,282,0.04505005561735261,0.05306736921339857,23,20,0.004263997033741194,0.003763643206624012,196,152,0.036336670374490176,0.02860368837034249,1398,1295,0.25917686318131256,0.24369589762890478,523,469,0.09695958472376714,0.08825743319533308,1332,1256,0.247,0.236,5394,5314,0.319,0.305,0.41,0.383,0.729,0.688,4.39,3.78,1420.0,1413.2,692,594,0.12829069336299592,0.11178020323673316,1.31,1.22,6042,5918,2209,2034,16.68,16.28,159,159,2.67,2.76,8.86,8.24,3.31,2.99,8.44,8.0,4.63,4.07,1.24,0.97
OAK,KAN,KAN,OAK,-1.5,167,-178,804,633,0.14798453892876864,0.1179869524697111,284,252,0.0522731455917541,0.04697110904007456,19,26,0.0034971470642370696,0.004846225535880708,219,170,0.04030922142462728,0.03168685927306617,1308,1250,0.24075096631695195,0.23299161230195714,561,472,0.10325786858089453,0.08797763280521902,1364,1295,0.251,0.241,5433,5365,0.327,0.307,0.431,0.393,0.758,0.7,4.69,3.76,1419.2,1418.2,740,592,0.13620467513344378,0.1103448275862069,1.36,1.25,6146,5925,2343,2109,17.2,16.21,160,160,2.33,2.65,8.29,7.93,3.56,2.99,8.65,8.22,5.1,4.02,1.39,1.08
WAS,CWS,CWS,WAS,-1.5,174,-201,886,736,0.16164933406312718,0.1380345086271568,266,286,0.04853128991060025,0.0536384096024006,29,23,0.005291005291005291,0.00431357839459865,209,186,0.0381317277869002,0.03488372093023256,1228,1261,0.22404670680532748,0.236496624156039,562,591,0.10253603357051633,0.11084021005251313,1470,1326,0.268,0.249,5481,5332,0.343,0.329,0.442,0.416,0.785,0.745,5.33,4.28,1405.1,1399.0,833,666,0.15197956577266922,0.12490622655663916,1.45,1.37,6210,6058,2421,2216,17.2,16.88,160,160,2.19,2.13,7.86,8.11,3.6,3.8,9.41,8.53,5.67,4.73,1.34,1.2
PHI,MIN,MIN,PHI,-1.5,101,-107,642,771,0.118472042812327,0.1416498254638986,246,275,0.04539582948883558,0.05052360830424398,16,13,0.002952574275696623,0.0023883887562006247,174,193,0.032109245248200774,0.035458386918978506,1444,1348,0.2664698283816202,0.24765754179680324,429,457,0.0791658977671157,0.08396105089105273,1326,1402,0.245,0.258,5419,5443,0.304,0.32,0.392,0.419,0.696,0.739,3.81,4.61,1421.1,1408.0,601,721,0.1109060712308544,0.13246371486312694,1.23,1.32,5950,6049,2126,2282,16.16,16.77,158,159,3.37,2.95,9.14,8.62,2.72,2.92,8.4,8.96,4.07,4.93,1.1,1.23
SD,ARI,SD,ARI,-1.5,160,-183,616,768,0.11740041928721175,0.13963636363636364,199,312,0.03792643415284925,0.05672727272727273,15,29,0.002858776443682104,0.005272727272727273,176,192,0.033542976939203356,0.03490909090909091,1403,1272,0.26739089003239946,0.23127272727272727,527,494,0.10043834572136459,0.08981818181818182,1181,1385,0.225,0.252,5247,5500,0.301,0.318,0.369,0.424,0.67,0.742,3.64,4.44,1415.0,1428.0,573,705,0.10920526014865638,0.12818181818181817,1.21,1.32,5905,6109,1938,2331,16.37,16.48,158,160,2.66,2.57,8.92,8.02,3.35,3.11,7.51,8.73,3.92,4.84,1.12,1.21
NYM,MIA,NYM,MIA,-1.5,129,-140,711,793,0.13193542401187605,0.1447344405913488,255,277,0.0473186119873817,0.05055667092535134,24,23,0.004453516422341808,0.004197846322321591,149,198,0.027648914455372053,0.036137981383464135,1376,1268,0.25533494154759695,0.23142909290016425,550,494,0.10205975134533309,0.0901624384011681,1328,1363,0.246,0.249,5389,5479,0.323,0.316,0.386,0.416,0.709,0.732,4.05,4.62,1415.0,1425.1,637,732,0.11820374837632214,0.13360102208432195,1.33,1.3,6084,6107,2078,2280,16.89,16.58,159,160,2.5,2.57,8.75,8.01,3.5,3.12,8.45,8.61,4.52,5.01,0.95,1.25
BOS,DET,DET,BOS,-1.5,170,-179,671,686,0.12386930035074764,0.12791348126048854,215,243,0.03968986523906221,0.04531046056311766,9,21,0.001661436219309581,0.003915718814096587,163,185,0.030090455971940187,0.034495618124184224,1341,1354,0.24755399667712757,0.25247063210889426,523,479,0.09654790474432343,0.08931568152153645,1318,1295,0.243,0.241,5417,5363,0.316,0.309,0.377,0.398,0.693,0.707,3.72,3.96,1430.1,1419.1,591,625,0.10910097840132915,0.1165392504195413,1.29,1.25,6078,5963,2040,2135,16.32,16.23,158,159,2.56,2.83,8.44,8.59,3.29,3.04,8.29,8.21,4.22,4.35,1.03,1.17
