favorite_team,underdog_team,away_team,home_team,runline_spread,favorite_spread_odds,underdog_spread_odds,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9
OAK,LAA,OAK,LAA,-1.5,133,-153,734,725,0.15087358684480986,0.1499482936918304,254,207,0.05220966084275437,0.04281282316442606,17,20,0.0034943473792394654,0.004136504653567736,200,198,0.041109969167523124,0.04095139607032058,1182,1113,0.24295991778006165,0.23019648397104447,503,545,0.10339157245632066,0.11271975180972078,1228,1262,0.252,0.261,4865,4835,0.328,0.338,0.435,0.435,0.763,0.773,4.79,4.82,1269.1,1257.0,676,673,0.13895169578622815,0.1391933815925543,1.36,1.44,5506,5489,2116,2103,17.25,16.83,143,142,2.35,2.04,8.38,7.97,3.57,3.9,8.71,9.04,5.2,5.19,1.42,1.42
NYY,TOR,NYY,TOR,-1.5,122,-136,606,646,0.12757894736842104,0.13542976939203355,218,219,0.045894736842105266,0.04591194968553459,19,13,0.004,0.0027253668763102725,153,190,0.032210526315789474,0.039832285115303984,1265,1257,0.26631578947368423,0.26352201257861635,496,448,0.10442105263157894,0.0939203354297694,1095,1152,0.231,0.242,4750,4770,0.308,0.313,0.381,0.412,0.689,0.725,3.92,4.24,1261.2,1260.0,550,594,0.11578947368421053,0.12452830188679245,1.26,1.27,5340,5339,1810,1967,16.59,16.5,142,141,2.55,2.81,9.02,8.98,3.54,3.2,7.81,8.23,4.32,4.61,1.09,1.36
MIL,PIT,MIL,PIT,-1.5,129,-143,558,581,0.11730081984443977,0.12229004420122079,204,259,0.04288417069581669,0.0545148389812671,15,20,0.003153247845280639,0.004209640075773522,148,137,0.03111204540676897,0.02883603451904862,1252,1132,0.263191086819424,0.2382656282887813,470,411,0.09880176581879335,0.08650810355714586,1100,1125,0.231,0.237,4757,4751,0.306,0.305,0.374,0.386,0.68,0.691,3.6,3.87,1273.2,1261.2,510,542,0.10721042673954173,0.11408124605346243,1.23,1.22,5335,5285,1778,1835,16.46,16.26,143,142,2.66,2.75,8.85,8.08,3.32,2.93,7.77,8.03,3.94,4.14,1.05,0.98
CIN,NYM,NYM,CIN,-1.5,173,-198,615,615,0.1293919629707553,0.12866108786610878,249,222,0.05238796549547654,0.046443514644351466,16,22,0.003366294971596886,0.004602510460251046,168,128,0.035346097201767304,0.026778242677824266,1205,1221,0.2535240900483905,0.25543933054393303,447,503,0.094045865768988,0.10523012552301256,1130,1164,0.238,0.244,4753,4780,0.308,0.322,0.403,0.379,0.711,0.701,3.95,3.93,1257.2,1257.0,552,549,0.11613717652009257,0.11485355648535565,1.25,1.33,5325,5405,1915,1814,16.64,16.98,139,141,2.7,2.43,8.62,8.74,3.2,3.6,8.09,8.33,4.4,4.4,1.2,0.92
LAD,BAL,LAD,BAL,-1.5,101,-107,622,697,0.13138994507815802,0.14335664335664336,226,224,0.04773975496408957,0.04607157548334019,24,25,0.005069708491761723,0.005141916906622789,163,191,0.03443177017321504,0.039284245166598106,1268,1165,0.2678495986480777,0.23961332784862197,484,454,0.1022391212505281,0.09337721102426985,1136,1271,0.24,0.261,4734,4862,0.316,0.328,0.401,0.436,0.717,0.764,4.11,4.66,1258.0,1254.0,575,649,0.12146176594845796,0.1334841628959276,1.29,1.38,5338,5420,1899,2118,16.64,16.64,142,141,2.62,2.57,9.07,8.36,3.46,3.26,8.13,9.12,4.45,5.0,1.17,1.37
PHI,MIA,PHI,MIA,-1.5,125,-135,570,712,0.11852776044915783,0.1471986768658259,220,253,0.045747556664587234,0.05230514781889601,14,21,0.002911208151382824,0.004341534008683068,150,169,0.031191515907673113,0.03493901178416374,1295,1118,0.2692867540029112,0.23113500103369858,386,445,0.08026616760241215,0.0919991730411412,1177,1211,0.245,0.25,4809,4837,0.306,0.32,0.39,0.416,0.696,0.736,3.81,4.73,1260.1,1258.1,533,661,0.1108338531919318,0.13665495141616704,1.24,1.32,5282,5405,1875,2013,16.18,16.65,140,142,3.35,2.51,9.25,8.0,2.76,3.18,8.4,8.66,4.07,5.09,1.07,1.21
CHC,WAS,CHC,WAS,-1.5,119,-129,580,770,0.12254384111557153,0.16011644832605532,199,233,0.04204521445172195,0.048450821376585566,19,27,0.004014367208958377,0.0056144728633811605,175,184,0.036974434819353474,0.038261592846745685,1089,1085,0.23008662581871964,0.22561863173216884,366,486,0.07732938939361927,0.10106051154086089,1147,1282,0.242,0.267,4733,4809,0.301,0.341,0.403,0.441,0.704,0.782,3.87,5.3,1260.0,1236.1,542,728,0.11451510669765476,0.15138282387190685,1.2,1.43,5207,5445,1909,2121,15.75,17.12,142,141,2.98,2.23,7.78,7.9,2.61,3.54,8.19,9.33,4.14,5.61,1.25,1.34
STL,SF,STL,SF,-1.5,158,-167,659,588,0.13515176374077112,0.12316715542521994,244,251,0.05004101722723544,0.05257645580226225,32,18,0.006562756357670222,0.003770423125261835,148,123,0.030352748154224774,0.02576455802262254,1055,1196,0.21636587366694013,0.2505236698785086,398,438,0.08162428219852338,0.09174696271470464,1264,1176,0.259,0.246,4876,4774,0.318,0.315,0.413,0.384,0.731,0.699,4.28,3.76,1263.2,1256.2,601,525,0.12325676784249384,0.10997067448680352,1.32,1.28,5385,5325,2016,1832,15.97,16.37,141,141,2.65,2.73,7.51,8.57,2.83,3.14,9.0,8.42,4.69,4.21,1.05,0.88
HOU,TEX,HOU,TEX,-1.5,127,-140,586,530,0.12251724858875183,0.11209813874788493,217,200,0.045369015262387624,0.04230118443316413,15,14,0.003136107045787163,0.002961082910321489,174,152,0.03637884173113109,0.032148900169204735,1360,1188,0.2843403721513694,0.2512690355329949,452,418,0.09450135897971984,0.08840947546531303,1109,1076,0.232,0.228,4783,4728,0.303,0.295,0.393,0.372,0.696,0.667,3.86,3.47,1276.2,1272.1,547,490,0.11436337026970521,0.10363790186125212,1.22,1.17,5354,5237,1878,1760,16.36,15.82,140,141,3.01,2.84,9.59,8.4,3.19,2.96,7.82,7.61,4.13,3.75,1.23,1.08
DET,CWS,CWS,DET,-1.5,117,-130,602,658,0.1259941398074508,0.1379454926624738,213,260,0.044579321892005024,0.05450733752620545,17,21,0.0035579740477187107,0.00440251572327044,162,160,0.03390539974884889,0.033542976939203356,1202,1109,0.25156969443281707,0.23249475890985324,418,530,0.08748430305567183,0.1111111111111111,1146,1185,0.24,0.248,4778,4770,0.306,0.33,0.393,0.412,0.699,0.742,3.88,4.25,1268.2,1251.1,547,591,0.11448304730012558,0.12389937106918239,1.23,1.37,5309,5429,1879,1967,16.14,16.85,142,143,2.88,2.09,8.53,7.98,2.97,3.81,8.13,8.52,4.27,4.73,1.15,1.15
