favorite_team,underdog_team,away_team,home_team,runline_spread,favorite_spread_odds,underdog_spread_odds,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9
DET,OAK,DET,OAK,-1.5,121,-128,551,687,0.12395950506186727,0.1516891145948333,195,243,0.043869516310461196,0.05365422830646942,16,14,0.0035995500562429695,0.0030911901081916537,149,187,0.03352080989876265,0.0412894678737028,1134,1090,0.2551181102362205,0.24067122985206446,383,471,0.08616422947131609,0.10399646721130493,1059,1147,0.238,0.253,4445,4529,0.304,0.329,0.39,0.437,0.694,0.766,3.8,4.82,1180.1,1180.1,498,632,0.11203599550056242,0.13954515345550894,1.22,1.37,4931,5131,1733,1979,16.12,17.28,132,133,2.96,2.31,8.65,8.31,2.92,3.59,8.07,8.75,4.2,5.24,1.14,1.43
LAD,CIN,LAD,CIN,-1.5,120,-133,582,552,0.131704005431093,0.12525527569775358,214,228,0.04842724598325413,0.051735874744724304,24,15,0.005431093007467753,0.0034036759700476512,153,148,0.034623217922606926,0.03358293623780349,1160,1110,0.2625028286942747,0.2518720217835262,448,409,0.10138040280606472,0.09280689811663263,1072,1033,0.243,0.234,4419,4407,0.318,0.304,0.406,0.394,0.724,0.698,4.11,3.81,1171.2,1168.2,535,495,0.12106811495813533,0.1123213070115725,1.3,1.23,4982,4924,1793,1735,16.64,16.56,132,129,2.59,2.71,8.91,8.55,3.44,3.15,8.23,7.96,4.47,4.25,1.18,1.14
KAN,CWS,KAN,CWS,-1.5,144,-164,516,584,0.11611161116111611,0.13437643810400368,204,237,0.04590459045904591,0.05453290381960423,21,19,0.004725472547254726,0.0043718361711919005,137,144,0.030828082808280827,0.03313391624482283,1029,998,0.23154815481548155,0.2296364473078693,393,478,0.08843384338433843,0.10998619420156466,1071,1075,0.241,0.247,4444,4346,0.307,0.329,0.389,0.41,0.696,0.739,3.68,4.13,1173.0,1142.1,479,524,0.10778577857785779,0.12057063966866084,1.25,1.36,4911,4942,1728,1782,16.19,16.74,132,131,2.62,2.09,7.9,7.86,3.02,3.77,8.22,8.47,3.96,4.6,1.05,1.13
NYY,WAS,NYY,WAS,-1.5,123,-127,570,720,0.13019643672910006,0.16039206950323012,197,222,0.04499771585198721,0.04945422143016262,19,26,0.004339881224303335,0.0057919358431721985,145,167,0.03312014618547282,0.03720204945422143,1169,996,0.26701690269529466,0.221875696146135,463,445,0.1057560529922339,0.09913120962352417,1009,1215,0.23,0.271,4378,4489,0.309,0.343,0.384,0.443,0.693,0.786,4.03,5.34,1162.2,1149.1,520,682,0.1187756966651439,0.15192693250167075,1.27,1.44,4928,5076,1679,1990,16.6,17.07,131,131,2.52,2.24,9.05,7.8,3.58,3.48,7.81,9.51,4.41,5.64,1.12,1.31
ATL,MIA,ATL,MIA,-1.5,137,-148,593,627,0.13517209938454525,0.1411208642808913,212,229,0.04832459539548666,0.051541751069097454,18,19,0.004103031684522453,0.0042763898266936756,156,142,0.03555960793252792,0.03196038712581589,1132,1031,0.25803510371552313,0.23205041638532523,440,402,0.1002963300661044,0.09047940580688724,1074,1097,0.245,0.247,4387,4443,0.319,0.315,0.408,0.403,0.727,0.718,4.37,4.47,1159.2,1163.1,563,578,0.12833371324367449,0.13009227999099707,1.31,1.29,4931,4960,1790,1790,16.73,16.51,130,131,2.57,2.56,8.79,7.98,3.41,3.11,8.34,8.49,4.6,4.85,1.21,1.1
CLE,TB,TB,CLE,-1.5,182,-209,560,551,0.12835205134082053,0.1263761467889908,202,186,0.04629841851936741,0.0426605504587156,18,8,0.00412560165024066,0.001834862385321101,144,176,0.03300481320192528,0.04036697247706422,1081,1122,0.24776529910611964,0.2573394495412844,459,372,0.10520284208113684,0.0853211009174312,1065,1036,0.244,0.238,4363,4360,0.32,0.304,0.398,0.405,0.718,0.709,3.97,3.97,1155.0,1159.2,509,512,0.11666284666513867,0.11743119266055047,1.32,1.21,4920,4818,1735,1766,16.71,15.88,129,130,2.36,3.02,8.42,8.71,3.58,2.89,8.3,8.04,4.36,4.28,1.12,1.37
MIL,ARI,ARI,MIL,-1.5,151,-158,512,642,0.11676168757126568,0.1415968239964711,181,269,0.04127708095781072,0.05932951036612263,13,23,0.0029646522234891676,0.005072783414203794,143,160,0.03261117445838085,0.035288928098809,1157,1054,0.2638540478905359,0.23246581385090428,441,411,0.10057012542759407,0.09064843405381562,1002,1151,0.229,0.254,4385,4534,0.304,0.321,0.374,0.429,0.678,0.75,3.58,4.54,1175.2,1175.0,468,593,0.10672748004561003,0.13078958976621086,1.23,1.33,4922,5043,1638,1946,16.45,16.4,132,132,2.62,2.56,8.86,8.07,3.38,3.15,7.67,8.82,3.92,4.92,1.09,1.23
TOR,MIN,MIN,TOR,-1.5,118,-133,589,604,0.1333786231884058,0.1359441818591042,198,218,0.04483695652173913,0.049065946432590594,12,11,0.002717391304347826,0.002475804636506865,175,153,0.0396286231884058,0.03443619176232275,1169,1097,0.2647192028985507,0.2469052442043664,421,363,0.09533514492753623,0.08170155300472653,1053,1135,0.238,0.255,4416,4443,0.312,0.316,0.408,0.413,0.72,0.729,4.19,4.39,1171.2,1153.0,546,563,0.12364130434782608,0.1267161827593968,1.26,1.3,4952,4925,1800,1834,16.41,16.59,131,130,2.78,3.02,8.98,8.56,3.23,2.83,8.09,8.86,4.52,4.71,1.34,1.19
PHI,NYM,PHI,NYM,-1.5,155,-173,529,549,0.11909049977487618,0.12494310423304505,202,201,0.045475011256190905,0.045744196631770595,13,20,0.002926609635299415,0.004551661356395084,143,118,0.03219270598829356,0.026854802002730997,1207,1119,0.27172444844664567,0.25466545289030496,353,466,0.07946870778928411,0.10605370960400547,1083,1054,0.244,0.24,4442,4394,0.304,0.32,0.392,0.375,0.696,0.695,3.81,3.82,1163.1,1160.0,493,492,0.1109860423232778,0.11197086936731906,1.23,1.31,4875,4972,1740,1649,16.14,16.95,129,130,3.42,2.4,9.34,8.68,2.73,3.62,8.38,8.18,4.09,4.26,1.11,0.92
HOU,COL,COL,HOU,-1.5,-161,153,541,840,0.12365714285714285,0.18185754492314354,205,281,0.046857142857142854,0.060835678718337304,15,28,0.0034285714285714284,0.006061918164104785,158,191,0.03611428571428572,0.04135094176228621,1229,869,0.2809142857142857,0.1881359601645378,406,454,0.0928,0.09828967308941329,1026,1384,0.235,0.3,4375,4619,0.305,0.365,0.397,0.497,0.702,0.862,3.91,6.0,1166.2,1142.1,507,762,0.11588571428571429,0.16497077289456594,1.23,1.61,4893,5187,1735,2294,16.36,17.06,128,131,3.03,1.91,9.48,6.85,3.13,3.58,7.91,10.9,4.17,6.62,1.22,1.5
