favorite_team,underdog_team,away_team,home_team,runline_spread,favorite_spread_odds,underdog_spread_odds,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9
KAN,WAS,WAS,KAN,-1.5,130,-134,462,656,0.11455492189437144,0.1607449154618966,184,200,0.04562360525663278,0.0490075961774075,20,26,0.004959087527894868,0.006370987503062975,121,148,0.03000247954376395,0.03626562117128155,947,906,0.23481279444582198,0.22200441068365598,361,401,0.08951152987850236,0.09826023033570204,959,1105,0.238,0.271,4033,4081,0.304,0.343,0.383,0.441,0.687,0.784,3.63,5.34,1068.0,1044.1,431,620,0.1068683362261344,0.15192354814996326,1.24,1.44,4462,4611,1546,1801,16.1,17.07,120,119,2.62,2.26,7.98,7.81,3.04,3.46,8.08,9.52,3.89,5.65,1.02,1.28
KAN,WAS,WAS,KAN,-0.5,-122,103,462,656,0.11455492189437144,0.1607449154618966,184,200,0.04562360525663278,0.0490075961774075,20,26,0.004959087527894868,0.006370987503062975,121,148,0.03000247954376395,0.03626562117128155,947,906,0.23481279444582198,0.22200441068365598,361,401,0.08951152987850236,0.09826023033570204,959,1105,0.238,0.271,4033,4081,0.304,0.343,0.383,0.441,0.687,0.784,3.63,5.34,1068.0,1044.1,431,620,0.1068683362261344,0.15192354814996326,1.24,1.44,4462,4611,1546,1801,16.1,17.07,120,119,2.62,2.26,7.98,7.81,3.04,3.46,8.08,9.52,3.89,5.65,1.02,1.28
TB,OAK,TB,OAK,-1.5,131,-143,501,637,0.12484425616745577,0.153309265944645,173,223,0.04310989284824321,0.05367027677496992,8,13,0.00199352105656616,0.003128760529482551,155,173,0.03862447047096935,0.04163658243080626,1016,988,0.25317717418390234,0.2377858002406739,348,429,0.08671816596062797,0.10324909747292418,954,1063,0.238,0.256,4013,4155,0.305,0.331,0.401,0.441,0.706,0.772,3.92,4.88,1069.2,1080.1,466,586,0.11612260154497882,0.14103489771359806,1.22,1.38,4443,4707,1608,1831,15.87,17.28,120,122,2.92,2.3,8.55,8.23,2.93,3.57,8.03,8.86,4.22,5.31,1.3,1.44
TB,OAK,TB,OAK,-0.5,102,-130,501,637,0.12484425616745577,0.153309265944645,173,223,0.04310989284824321,0.05367027677496992,8,13,0.00199352105656616,0.003128760529482551,155,173,0.03862447047096935,0.04163658243080626,1016,988,0.25317717418390234,0.2377858002406739,348,429,0.08671816596062797,0.10324909747292418,954,1063,0.238,0.256,4013,4155,0.305,0.331,0.401,0.441,0.706,0.772,3.92,4.88,1069.2,1080.1,466,586,0.11612260154497882,0.14103489771359806,1.22,1.38,4443,4707,1608,1831,15.87,17.28,120,122,2.92,2.3,8.55,8.23,2.93,3.57,8.03,8.86,4.22,5.31,1.3,1.44
LAD,LAA,LAD,LAA,-1.5,-124,116,540,595,0.1334981458590853,0.14544121241750183,191,169,0.04721878862793572,0.04131019310681985,23,15,0.005686032138442522,0.0036665851869958446,145,163,0.03584672435105068,0.03984355903202151,1069,952,0.2642768850432633,0.23270593986800292,418,454,0.10333745364647713,0.1109753116597409,986,1059,0.244,0.259,4045,4091,0.32,0.335,0.41,0.427,0.73,0.762,4.15,4.62,1068.1,1065.0,493,547,0.12187886279357231,0.13370813981911514,1.31,1.42,4563,4630,1658,1747,16.72,16.75,120,120,2.56,2.1,9.01,8.05,3.52,3.84,8.31,8.95,4.55,5.03,1.22,1.38
HOU,BOS,BOS,HOU,-1.5,139,-147,479,517,0.1201404564835716,0.12609756097560976,195,154,0.04890895410082769,0.037560975609756096,10,5,0.002508151492350138,0.0012195121951219512,142,121,0.03561575119137196,0.029512195121951218,1138,997,0.2854276398294457,0.24317073170731707,363,403,0.09104589917231001,0.09829268292682927,920,1009,0.231,0.246,3987,4100,0.3,0.32,0.392,0.375,0.692,0.695,3.79,3.74,1067.0,1083.0,449,450,0.1126160020065212,0.10975609756097561,1.2,1.3,4453,4613,1561,1536,16.28,16.4,117,119,3.13,2.47,9.6,8.29,3.06,3.35,7.76,8.39,4.04,4.3,1.2,1.01
HOU,BOS,BOS,HOU,-0.5,-141,116,479,517,0.1201404564835716,0.12609756097560976,195,154,0.04890895410082769,0.037560975609756096,10,5,0.002508151492350138,0.0012195121951219512,142,121,0.03561575119137196,0.029512195121951218,1138,997,0.2854276398294457,0.24317073170731707,363,403,0.09104589917231001,0.09829268292682927,920,1009,0.231,0.246,3987,4100,0.3,0.32,0.392,0.375,0.692,0.695,3.79,3.74,1067.0,1083.0,449,450,0.1126160020065212,0.10975609756097561,1.2,1.3,4453,4613,1561,1536,16.28,16.4,117,119,3.13,2.47,9.6,8.29,3.06,3.35,7.76,8.39,4.04,4.3,1.2,1.01
NYM,ATL,NYM,ATL,-1.5,107,-113,488,530,0.12224448897795591,0.13340045305814247,177,194,0.04433867735470942,0.04882959979864083,17,15,0.004258517034068136,0.003775484520513466,108,139,0.027054108216432865,0.034986156556758116,1012,1043,0.2535070140280561,0.262522023659703,426,396,0.10671342685370741,0.0996727913415555,958,962,0.24,0.242,3992,3973,0.32,0.317,0.374,0.403,0.694,0.72,3.71,4.29,1055.0,1052.2,435,502,0.10896793587174348,0.126352881953184,1.31,1.29,4518,4461,1493,1603,16.96,16.69,118,118,2.38,2.63,8.63,8.92,3.63,3.39,8.17,8.22,4.16,4.53,0.92,1.19
TOR,CHC,CHC,TOR,-1.5,170,-176,540,487,0.13449564134495642,0.1231041456016178,180,166,0.0448318804483188,0.04196157735085945,11,13,0.0027397260273972603,0.0032861476238624874,161,148,0.04009962640099626,0.03741152679474216,1066,890,0.26550435865504357,0.2249747219413549,380,303,0.09464508094645081,0.07659251769464105,964,973,0.24,0.246,4015,3956,0.313,0.303,0.411,0.407,0.724,0.71,4.25,3.89,1063.2,1047.2,502,453,0.12503113325031134,0.11450960566228513,1.26,1.22,4500,4345,1649,1609,16.43,15.84,119,118,2.81,2.94,9.02,7.65,3.22,2.6,8.16,8.36,4.57,4.18,1.36,1.27
TOR,CHC,CHC,TOR,-0.5,105,-130,540,487,0.13449564134495642,0.1231041456016178,180,166,0.0448318804483188,0.04196157735085945,11,13,0.0027397260273972603,0.0032861476238624874,161,148,0.04009962640099626,0.03741152679474216,1066,890,0.26550435865504357,0.2249747219413549,380,303,0.09464508094645081,0.07659251769464105,964,973,0.24,0.246,4015,3956,0.313,0.303,0.411,0.407,0.724,0.71,4.25,3.89,1063.2,1047.2,502,453,0.12503113325031134,0.11450960566228513,1.26,1.22,4500,4345,1649,1609,16.43,15.84,119,118,2.81,2.94,9.02,7.65,3.22,2.6,8.16,8.36,4.57,4.18,1.36,1.27
