favorite_team,underdog_team,away_team,home_team,runline_spread,favorite_spread_odds,underdog_spread_odds,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9
NYY,MIN,NYY,MIN,-1.5,107,-116,661,731,0.13060659948626754,0.1419693144299864,234,260,0.046235921754593956,0.05049524179452321,22,13,0.0043469670025686625,0.0025247620897261604,166,181,0.032799841928472635,0.03515245678772577,1335,1270,0.26378186129223474,0.24664983491940182,526,434,0.10393202924323257,0.08428821130316566,1178,1338,0.233,0.26,5061,5149,0.31,0.322,0.386,0.421,0.696,0.743,4.05,4.62,1340.2,1329.0,604,682,0.11934400316143055,0.13245290347640318,1.27,1.33,5688,5726,1954,2167,16.62,16.84,151,150,2.54,2.93,8.96,8.6,3.53,2.94,7.91,9.06,4.44,4.95,1.11,1.23
NYM,SD,NYM,SD,-1.5,183,-207,661,586,0.1300925014760874,0.11821666330441799,242,190,0.047628419602440464,0.03832963485979423,22,15,0.004329856327494588,0.003026023804720597,138,165,0.02716000787246605,0.03328626185192657,1291,1323,0.2540838417634324,0.26689529957635666,529,486,0.10411336351111986,0.09804317127294734,1250,1119,0.246,0.226,5081,4957,0.324,0.3,0.384,0.37,0.708,0.67,4.01,3.67,1334.0,1334.0,594,544,0.11690612084235387,0.10974379665120032,1.33,1.2,5746,5568,1950,1834,16.93,16.32,150,149,2.44,2.72,8.71,8.93,3.57,3.28,8.43,7.55,4.46,3.95,0.93,1.11
MIA,COL,MIA,COL,-1.5,-102,-107,754,961,0.14615235510757899,0.1810815903523648,266,313,0.051560379918588875,0.05897870736762766,23,30,0.004458228338825354,0.005652911249293386,179,230,0.03469664663694515,0.04333898624458263,1193,1007,0.23124636557472378,0.18974938760128132,470,516,0.09110292692382245,0.09723007348784624,1290,1580,0.25,0.298,5159,5307,0.318,0.363,0.415,0.498,0.733,0.861,4.68,6.01,1341.1,1314.1,697,878,0.13510370226788138,0.16544186922931978,1.31,1.59,5759,5958,2139,2643,16.62,17.06,151,151,2.54,1.95,8.0,6.9,3.15,3.53,8.66,10.82,5.06,6.58,1.2,1.57
ARI,SF,SF,ARI,-1.5,188,-202,726,643,0.13950807071483473,0.12630131604792771,300,270,0.05764796310530361,0.05303476723629935,27,20,0.005188316679477325,0.003928501276762915,181,129,0.034780937740199844,0.025338833235120803,1198,1265,0.23020753266717908,0.24847770575525438,468,478,0.08993082244427364,0.09389118051463367,1310,1272,0.252,0.25,5204,5091,0.318,0.32,0.424,0.387,0.742,0.707,4.45,3.87,1353.0,1335.2,669,575,0.12855495772482706,0.11294441170693381,1.31,1.31,5784,5696,2207,1969,16.47,16.48,152,150,2.56,2.65,7.97,8.52,3.11,3.22,8.71,8.57,4.83,4.33,1.2,0.87
CIN,STL,CIN,STL,-1.5,147,-155,654,705,0.12976190476190477,0.13617925439443693,261,259,0.05178571428571429,0.050028974309445626,18,32,0.0035714285714285713,0.006181186015066641,182,155,0.03611111111111111,0.029940119760479042,1276,1126,0.25317460317460316,0.21750048290515742,465,435,0.09226190476190477,0.08402549739231215,1194,1338,0.237,0.258,5040,5177,0.307,0.318,0.404,0.411,0.711,0.729,3.99,4.28,1335.0,1345.0,592,639,0.11746031746031746,0.12343055823836199,1.24,1.32,5641,5735,2037,2126,16.62,16.03,148,150,2.74,2.59,8.6,7.53,3.13,2.91,8.05,8.95,4.41,4.72,1.23,1.04
BAL,CWS,BAL,CWS,-1.5,148,-151,737,695,0.14260835913312694,0.13748763600395647,236,274,0.0456656346749226,0.05420375865479723,26,22,0.005030959752321981,0.004352126607319486,201,174,0.03889318885448916,0.034421364985163204,1247,1181,0.24129256965944273,0.23363006923837784,488,561,0.09442724458204334,0.11097922848664689,1345,1249,0.26,0.247,5168,5055,0.327,0.328,0.433,0.413,0.76,0.741,4.62,4.24,1335.2,1329.1,685,626,0.13254643962848298,0.123837784371909,1.37,1.36,5762,5750,2236,2089,16.64,16.88,150,152,2.56,2.11,8.4,8.0,3.29,3.8,9.06,8.46,4.97,4.71,1.35,1.18
TOR,TB,TOR,TB,-1.5,138,-142,669,626,0.13210900473933648,0.1248753241571913,229,208,0.04522116903633491,0.04149212048673449,13,12,0.0025671406003159557,0.0023937761819269898,198,193,0.03909952606635071,0.03849990025932575,1344,1323,0.26540284360189575,0.2639138240574506,481,435,0.09498420221169036,0.08677438659485338,1206,1184,0.238,0.236,5064,5013,0.311,0.304,0.406,0.398,0.717,0.702,4.13,3.88,1343.0,1337.1,617,577,0.12184044233807267,0.11510073808098943,1.26,1.21,5668,5553,2055,1995,16.46,15.94,149,150,2.79,3.04,9.01,8.9,3.22,2.93,8.08,7.97,4.48,4.21,1.33,1.3
MIL,LAA,LAA,MIL,-1.5,-111,103,591,779,0.11789347695990425,0.151379712397979,214,233,0.04268900857769799,0.04527788573649436,17,20,0.003391182924396569,0.00388651379712398,156,210,0.031119090365050867,0.04080839486980179,1331,1193,0.26550967484540194,0.2318305479984454,500,584,0.09974067424695791,0.11348620287602021,1153,1343,0.23,0.261,5013,5146,0.306,0.339,0.373,0.436,0.679,0.775,3.62,4.86,1343.2,1336.1,540,722,0.10771992818671454,0.14030314807617567,1.23,1.44,5629,5850,1869,2246,16.48,16.85,151,151,2.66,2.04,8.92,8.03,3.35,3.93,7.72,9.04,3.96,5.25,1.04,1.41
TEX,HOU,TEX,HOU,-1.5,133,-149,561,623,0.11164179104477612,0.12266194132703288,211,226,0.041990049751243784,0.04449694821815318,14,16,0.0027860696517412937,0.003150226422524119,160,185,0.031840796019900496,0.03642449301043513,1254,1423,0.24955223880597016,0.2801732624532388,438,477,0.08716417910447762,0.0939161252215003,1148,1179,0.228,0.232,5025,5079,0.295,0.303,0.372,0.392,0.667,0.695,3.44,3.85,1351.1,1355.0,516,579,0.10268656716417911,0.11399881866509155,1.17,1.22,5561,5678,1867,1992,15.82,16.36,150,149,2.86,2.98,8.35,9.45,2.92,3.17,7.65,7.83,3.74,4.14,1.07,1.23
ATL,WAS,ATL,WAS,-1.5,120,-125,698,833,0.1364347146207975,0.16037735849056603,233,253,0.04554339327599687,0.048710050057758955,22,29,0.004300234558248631,0.005583365421640354,184,197,0.03596559812353401,0.037928378898729305,1322,1158,0.25840500390930415,0.2229495571813631,505,530,0.09870992963252541,0.10204081632653061,1259,1385,0.246,0.267,5116,5194,0.319,0.341,0.408,0.44,0.727,0.781,4.41,5.31,1348.0,1334.1,660,787,0.12900703674745895,0.1515209857527917,1.31,1.44,5740,5880,2088,2287,16.71,17.11,151,152,2.62,2.18,8.83,7.81,3.37,3.57,8.41,9.34,4.66,5.62,1.23,1.33
DET,CLE,CLE,DET,-1.5,151,-169,641,616,0.1266798418972332,0.12266029470330546,226,228,0.04466403162055336,0.04540023894862605,18,18,0.0035573122529644267,0.0035842293906810036,175,160,0.03458498023715415,0.03185981680605336,1279,1245,0.2527667984189723,0.24790919952210275,443,500,0.0875494071146245,0.09956192751891677,1219,1215,0.241,0.242,5060,5022,0.307,0.315,0.396,0.39,0.703,0.705,3.92,3.79,1341.0,1334.0,584,562,0.11541501976284585,0.11190760653126244,1.24,1.29,5619,5629,2006,1959,16.17,16.55,150,148,2.89,2.49,8.58,8.4,2.97,3.37,8.18,8.2,4.3,4.16,1.17,1.08
BOS,OAK,OAK,BOS,-1.5,131,-136,634,765,0.12397340633554947,0.14903565166569258,203,269,0.03969495502542041,0.05240600038963569,8,19,0.001564333202972233,0.0037015390609779855,155,210,0.030308955807587017,0.040911747516072475,1260,1239,0.24638247946812672,0.2413793103448276,489,531,0.09561986703167774,0.10344827586206896,1252,1293,0.245,0.252,5114,5133,0.317,0.328,0.379,0.434,0.696,0.762,3.73,4.74,1350.1,1340.1,560,706,0.10950332420805632,0.13754139879212937,1.29,1.36,5737,5810,1936,2230,16.29,17.21,149,151,2.58,2.33,8.4,8.32,3.26,3.57,8.34,8.68,4.23,5.14,1.03,1.41
LAD,PHI,LAD,PHI,-1.5,149,-162,656,614,0.13070332735604703,0.11920015530964861,238,237,0.04741980474198047,0.046010483401281305,24,15,0.004781829049611476,0.0029120559114735,171,165,0.03407053197848177,0.0320326150262085,1370,1382,0.27296274158198847,0.26829741797709183,520,413,0.10360629607491532,0.0801786060959037,1181,1262,0.235,0.245,5019,5151,0.312,0.305,0.395,0.393,0.707,0.698,4.08,3.85,1340.1,1350.1,607,577,0.12094042637975692,0.1120170840613473,1.27,1.24,5663,5660,1980,2024,16.6,16.19,151,150,2.63,3.35,9.2,9.21,3.49,2.75,7.93,8.41,4.4,4.09,1.15,1.1
