favorite_team,underdog_team,away_team,home_team,runline_spread,favorite_spread_odds,underdog_spread_odds,fav_p_runs,dog_p_runs,fav_p_runs_per_ab,dog_p_runs_per_ab,fav_p_doubles,dog_p_doubles,fav_p_doubles_per_ab,dog_p_doubles_per_ab,fav_p_triples,dog_p_triples,fav_p_triples_per_ab,dog_p_triples_per_ab,fav_p_homeruns,dog_p_homeruns,fav_p_homeruns_per_ab,dog_p_homeruns_per_ab,fav_p_strikeouts,dog_p_strikeouts,fav_p_strikeouts_per_ab,dog_p_strikeouts_per_ab,fav_p_baseonballs,dog_p_baseonballs,fav_p_baseonballs_per_ab,dog_p_baseonballs_per_ab,fav_p_hits,dog_p_hits,fav_p_avg,dog_p_avg,fav_p_atbats,dog_p_atbats,fav_p_obp,dog_p_obp,fav_p_slg,dog_p_slg,fav_p_ops,dog_p_ops,fav_p_era,dog_p_era,fav_p_inningspitched,dog_p_inningspitched,fav_p_earnedruns,dog_p_earnedruns,fav_p_earnedruns_per_ab,dog_p_earnedruns_per_ab,fav_p_whip,dog_p_whip,fav_p_battersfaced,dog_p_battersfaced,fav_p_totalbases,dog_p_totalbases,fav_p_pitchesperinning,dog_p_pitchesperinning,fav_p_gamesfinished,dog_p_gamesfinished,fav_p_strikeoutwalkratio,dog_p_strikeoutwalkratio,fav_p_strikeoutsper9inn,dog_p_strikeoutsper9inn,fav_p_walksper9inn,dog_p_walksper9inn,fav_p_hitsper9inn,dog_p_hitsper9inn,fav_p_runsscoredper9,dog_p_runsscoredper9,fav_p_homerunsper9,dog_p_homerunsper9
SEA,SD,SD,SEA,-1.5,174,-196,575,491,0.1282337198929527,0.11480009352349778,201,168,0.04482604817127565,0.03927986906710311,15,15,0.003345227475468332,0.0035071311667056347,157,134,0.03501338090990187,0.03133037175590367,1119,1127,0.24955396966993756,0.2635024549918167,397,427,0.08853702051739518,0.09983633387888707,1091,952,0.243,0.223,4484,4277,0.311,0.299,0.4,0.363,0.711,0.662,3.95,3.53,1183.1,1159.0,519,455,0.11574487065120428,0.10638297872340426,1.26,1.19,4999,4817,1793,1552,16.23,16.19,131,129,2.82,2.64,8.51,8.75,3.02,3.32,8.3,7.39,4.37,3.81,1.19,1.04
NYY,WAS,NYY,WAS,-1.5,-108,105,565,710,0.13000460193281177,0.15937149270482603,197,220,0.04532903819604234,0.04938271604938271,19,26,0.0043718361711919005,0.005836139169472503,144,164,0.03313391624482283,0.03681257014590348,1157,988,0.2662218131615278,0.2217732884399551,458,441,0.10538426138978371,0.09898989898989899,1000,1203,0.23,0.27,4346,4455,0.309,0.343,0.384,0.442,0.693,0.785,4.02,5.31,1153.2,1141.1,515,673,0.1184997699033594,0.1510662177328844,1.26,1.44,4891,5036,1667,1967,16.6,17.07,130,130,2.53,2.24,9.03,7.79,3.57,3.48,7.8,9.49,4.41,5.6,1.12,1.29
BOS,BAL,BOS,BAL,-1.5,146,-152,553,639,0.12468996617812853,0.1435632442147832,166,208,0.03742953776775648,0.0467310716692878,8,22,0.0018038331454340473,0.004942709503482363,135,175,0.030439684329199548,0.039317007414064256,1075,1067,0.24239007891770012,0.23972141091889462,432,422,0.09740698985343856,0.09481015502134352,1081,1163,0.244,0.261,4435,4451,0.317,0.328,0.376,0.436,0.693,0.764,3.72,4.7,1173.0,1148.0,485,599,0.10935738444193913,0.1345764996629971,1.29,1.38,4985,4966,1668,1940,16.32,16.65,129,129,2.49,2.53,8.25,8.36,3.31,3.31,8.29,9.12,4.24,5.01,1.04,1.37
PHI,NYM,PHI,NYM,-1.5,142,-152,516,546,0.11713961407491487,0.12517193947730398,198,200,0.044948921679909194,0.04585052728106373,13,19,0.0029511918274687855,0.004355800091701055,142,118,0.0322360953461975,0.0270518110958276,1199,1113,0.27219069239500565,0.2551581843191197,347,462,0.07877412031782066,0.10591471801925723,1069,1048,0.243,0.24,4405,4362,0.302,0.32,0.39,0.376,0.692,0.696,3.75,3.82,1155.1,1151.0,481,489,0.10919409761634506,0.11210453920220083,1.23,1.31,4829,4935,1719,1640,16.1,16.95,128,129,3.46,2.41,9.34,8.7,2.7,3.61,8.33,8.19,4.02,4.27,1.11,0.92
CLE,TB,TB,CLE,-1.5,182,-195,551,551,0.12745778394633356,0.12722235049642114,197,186,0.045570205875549386,0.04294620180096975,18,8,0.004163775156141568,0.0018471484645578389,141,176,0.03261623872310895,0.04063726622027245,1076,1109,0.24890122600046263,0.2560609558993304,456,370,0.1054823039555864,0.08543061648580004,1051,1034,0.243,0.239,4323,4331,0.319,0.305,0.395,0.407,0.714,0.712,3.93,4.0,1146.0,1150.2,500,512,0.11566042100393245,0.11821750173170169,1.32,1.22,4876,4787,1707,1764,16.72,15.9,128,129,2.36,3.0,8.45,8.67,3.58,2.89,8.25,8.09,4.33,4.31,1.11,1.38
TOR,MIN,MIN,TOR,-1.5,153,-168,585,594,0.1334397810218978,0.1346328195829556,198,215,0.045164233576642336,0.04873073436083409,12,11,0.002737226277372263,0.0024932003626473255,173,151,0.039461678832116785,0.034224841341795105,1163,1090,0.2652828467153285,0.2470534904805077,418,358,0.09534671532846715,0.08114233907524931,1048,1125,0.239,0.255,4384,4412,0.312,0.316,0.408,0.411,0.72,0.727,4.2,4.35,1162.2,1145.0,542,553,0.12363138686131386,0.12533998186763373,1.26,1.3,4917,4887,1789,1815,16.42,16.57,130,129,2.78,3.04,9.0,8.57,3.24,2.81,8.11,8.84,4.53,4.67,1.34,1.19
KAN,CWS,KAN,CWS,-1.5,125,-138,509,584,0.11544567929235654,0.13527912902478573,199,235,0.04513495123610796,0.05443595089182302,21,19,0.004762984803810388,0.004401204540189946,135,144,0.03061918802449535,0.03335649756775538,1028,994,0.23315944658652757,0.23025249015520038,392,477,0.08890904967112724,0.11049339819318972,1060,1073,0.24,0.249,4409,4317,0.307,0.33,0.387,0.412,0.694,0.742,3.65,4.16,1165.0,1133.1,472,524,0.107053753685643,0.12138058837155433,1.25,1.37,4875,4912,1706,1778,16.19,16.79,131,130,2.62,2.08,7.94,7.89,3.03,3.79,8.19,8.52,3.93,4.64,1.04,1.14
ATL,MIA,ATL,MIA,-1.5,159,-167,591,626,0.1355193762898418,0.14185361432132337,211,228,0.04838339830314148,0.05166553365057784,17,19,0.0038981884888786974,0.004305461137548153,155,141,0.0355423068103646,0.03195105370496261,1127,1019,0.25842696629213485,0.23090867890324043,438,400,0.1004356798899335,0.0906412871062769,1070,1094,0.245,0.248,4361,4413,0.32,0.316,0.408,0.404,0.728,0.72,4.38,4.5,1151.2,1154.1,561,577,0.12864022013299703,0.13075005665080444,1.31,1.29,4902,4926,1780,1783,16.75,16.52,129,130,2.57,2.55,8.81,7.94,3.42,3.12,8.36,8.53,4.62,4.88,1.21,1.1
DET,OAK,DET,OAK,-1.5,-115,112,543,684,0.12312925170068027,0.15220293724966621,193,240,0.043764172335600905,0.0534045393858478,16,14,0.0036281179138321997,0.003115264797507788,146,186,0.03310657596371882,0.04138851802403204,1121,1079,0.2541950113378685,0.2400979083222074,383,467,0.08684807256235828,0.1039163328882955,1049,1137,0.238,0.253,4410,4494,0.304,0.329,0.388,0.437,0.692,0.766,3.8,4.83,1172.1,1171.1,495,629,0.11224489795918367,0.13996439697374277,1.22,1.37,4896,5092,1712,1963,16.13,17.29,131,132,2.93,2.31,8.61,8.29,2.94,3.59,8.05,8.74,4.17,5.26,1.12,1.43
MIL,ARI,ARI,MIL,-1.5,123,-125,507,635,0.11649816176470588,0.1411111111111111,181,268,0.04159007352941176,0.059555555555555556,13,23,0.0029871323529411763,0.005111111111111111,142,158,0.03262867647058824,0.035111111111111114,1143,1047,0.2626378676470588,0.23266666666666666,439,409,0.10087316176470588,0.0908888888888889,996,1141,0.229,0.254,4352,4500,0.304,0.321,0.374,0.429,0.678,0.75,3.57,4.52,1166.2,1167.0,463,586,0.10638786764705882,0.1302222222222222,1.23,1.33,4886,5007,1629,1929,16.45,16.38,131,131,2.6,2.56,8.82,8.07,3.39,3.15,7.68,8.8,3.91,4.9,1.1,1.22
