game_pk,home_batting_k_pct_rolling_10,away_batting_k_pct_rolling_10
490099,,
490106,,
490110,,
490098,,
490100,,
490101,,
490103,,
490104,,
490105,,
490107,,
490108,,
490109,,
490111,,
490112,,
490102,,
490113,0.35294117647058826,0.11764705882352941
490114,0.45161290322580644,0.23529411764705882
490115,0.1875,0.34375
490116,0.2777777777777778,0.2222222222222222
490117,0.1388888888888889,0.2727272727272727
490118,0.3157894736842105,0.20588235294117646
490119,0.2222222222222222,0.27586206896551724
490136,0.22857142857142856,0.35294117647058826
490120,0.2,0.3333333333333333
490122,0.3333333333333333,0.19696969696969696
490123,0.4307692307692308,0.17647058823529413
490125,0.3548387096774194,0.14285714285714285
490126,0.22727272727272727,0.2727272727272727
490127,0.2903225806451613,0.15151515151515152
490128,0.2647058823529412,0.18055555555555555
490129,0.1875,0.22857142857142856
490130,0.21212121212121213,0.23529411764705882
490131,0.15625,0.2727272727272727
490132,0.3194444444444444,0.24675324675324675
490133,0.16981132075471697,0.2923076923076923
490134,0.1282051282051282,0.19047619047619047
490121,0.24242424242424243,0.3076923076923077
490135,0.2571428571428571,0.3026315789473684
490137,0.3684210526315789,0.21649484536082475
490138,0.3235294117647059,0.15625
490139,0.2903225806451613,0.22807017543859648
490140,0.2222222222222222,0.22330097087378642
490141,0.22580645161290322,0.22727272727272727
490142,0.23333333333333334,0.3181818181818182
490144,0.23404255319148937,0.26881720430107525
490145,0.2777777777777778,0.26548672566371684
490146,0.17307692307692307,0.3
490147,0.2828282828282828,0.25333333333333335
490148,0.22666666666666666,0.28703703703703703
490149,0.22580645161290322,0.2361111111111111
490150,0.36,0.2621359223300971
490151,0.27,0.2127659574468085
490152,0.28169014084507044,0.2
490153,0.20588235294117646,0.25
490154,0.2204724409448819,0.21428571428571427
490155,0.19801980198019803,0.22641509433962265
490156,0.29411764705882354,0.2631578947368421
490157,0.20588235294117646,0.18095238095238095
490158,0.35051546391752575,0.25984251968503935
490159,0.2619047619047619,0.2569444444444444
490160,0.2222222222222222,0.2867132867132867
490161,0.2692307692307692,0.2523364485981308
490162,0.34375,0.21428571428571427
490163,0.17272727272727273,0.2569444444444444
490164,0.23595505617977527,0.21100917431192662
490165,0.3374233128834356,0.2805755395683453
490166,0.2734375,0.21428571428571427
490167,0.2727272727272727,0.208955223880597
490168,0.21686746987951808,0.2204724409448819
490169,0.2484076433121019,0.24358974358974358
490170,0.20588235294117646,0.22377622377622378
490171,0.27450980392156865,0.265625
490172,0.23232323232323232,0.20714285714285716
490173,0.2857142857142857,0.2389937106918239
490174,0.24203821656050956,0.2542372881355932
490175,0.2261904761904762,0.2897727272727273
490176,0.296969696969697,0.23448275862068965
490177,0.32061068702290074,0.2857142857142857
490178,0.16783216783216784,0.24719101123595505
490179,0.2608695652173913,0.2158273381294964
490180,0.34517766497461927,0.25824175824175827
490181,0.2608695652173913,0.23270440251572327
490182,0.2616822429906542,0.20958083832335328
490183,0.20202020202020202,0.22012578616352202
490184,0.24210526315789474,0.2393617021276596
490185,0.24550898203592814,0.23626373626373626
490186,0.24242424242424243,0.26380368098159507
490187,0.22900763358778625,0.21264367816091953
490188,0.2839506172839506,0.24615384615384617
490189,0.22994652406417113,0.24880382775119617
490190,0.22167487684729065,0.2822966507177033
490191,0.28431372549019607,0.25555555555555554
490192,0.30952380952380953,0.2874251497005988
490193,0.2336065573770492,0.25203252032520324
490194,0.2857142857142857,0.1907514450867052
490195,0.1590909090909091,0.20512820512820512
490196,0.2644628099173554,0.19665271966527198
490197,0.2511415525114155,0.2324561403508772
490198,0.3,0.245
490199,0.25742574257425743,0.2576419213973799
490200,0.25333333333333335,0.2318181818181818
490201,0.27,0.265625
490202,0.21634615384615385,0.2796610169491525
490203,0.2271062271062271,0.24187725631768953
490204,0.25471698113207547,0.2328767123287671
490205,0.19607843137254902,0.2331288343558282
490206,0.19900497512437812,0.23780487804878048
490207,0.19806763285024154,0.18695652173913044
490208,0.2591240875912409,0.21033210332103322
490209,0.23923444976076555,0.35526315789473684
490210,0.29508196721311475,0.2639593908629442
490211,0.28205128205128205,0.24890829694323144
490212,0.2529182879377432,0.24206349206349206
