game_pk,date,home_hr_per_9_rolling_10,away_hr_per_9_rolling_10
287040,2011-04-11,0.5625,0.0
287042,2011-04-12,0.6870229007633588,0.0
287043,2011-04-12,1.2857142857142858,0.0
287044,2011-04-12,0.6338028169014085,1.8
287046,2011-04-12,2.1686746987951806,0.0
287047,2011-04-12,2.5714285714285716,1.3636363636363638
287048,2011-04-12,0.6428571428571429,2.0
287050,2011-04-12,0.6428571428571429,0.0
287051,2011-04-12,0.8108108108108109,2.1951219512195124
287052,2011-04-12,2.5714285714285716,0.6923076923076923
287053,2011-04-12,2.231404958677686,0.0
287054,2011-04-12,2.9347826086956523,0.0
287055,2011-04-12,0.0,0.0
287056,2011-04-13,0.8181818181818182,0.8823529411764707
287057,2011-04-13,0.0,1.5
287058,2011-04-13,0.8823529411764707,0.75
287059,2011-04-13,0.6338028169014085,0.0
287060,2011-04-13,0.0,0.0
287061,2011-04-13,0.0,0.7377049180327869
287062,2011-04-13,1.978021978021978,1.0843373493975903
287063,2011-04-13,0.0,0.0
287064,2011-04-13,0.0,0.8823529411764707
287065,2011-04-13,1.5,0.0
287066,2011-04-13,0.0,0.0
287067,2011-04-13,0.6428571428571429,1.9354838709677418
287069,2011-04-13,3.272727272727273,0.0
287070,2011-04-13,0.9677419354838709,0.0
287045,2011-04-14,3.0,0.8910891089108911
287071,2011-04-14,4.5,1.978021978021978
287072,2011-04-14,0.0,1.5
287073,2011-04-14,0.6923076923076923,0.0
287074,2011-04-14,1.5,1.2
287075,2011-04-14,0.7894736842105263,3.6
287076,2011-04-14,2.0610687022900764,2.25
287077,2011-04-14,0.0,0.8910891089108911
287078,2011-04-14,2.7,0.6923076923076923
287079,2011-04-14,2.4545454545454546,0.0
287080,2011-04-14,1.1842105263157896,0.0
287081,2011-04-15,0.0,0.46153846153846156
287082,2011-04-15,0.0,0.0
287083,2011-04-15,0.0,0.0
287084,2011-04-15,0.0,0.9
287085,2011-04-15,0.75,2.2222222222222223
287086,2011-04-15,3.5294117647058827,0.0
287087,2011-04-15,0.0,0.8035714285714286
287089,2011-04-15,1.3846153846153846,0.6923076923076923
287090,2011-04-15,0.0,0.0
287091,2011-04-15,2.967032967032967,4.0
287092,2011-04-15,0.0,0.6923076923076923
287093,2011-04-15,0.0,0.6
287094,2011-04-15,0.0,0.6428571428571429
287095,2011-04-15,4.838709677419354,1.8
287088,2011-04-16,0.0,1.6071428571428572
287096,2011-04-16,0.6,3.6
287097,2011-04-16,0.6818181818181819,0.6428571428571429
287098,2011-04-16,1.6363636363636365,3.6
287099,2011-04-16,1.3846153846153846,0.782608695652174
287102,2011-04-16,3.2926829268292686,3.272727272727273
287103,2011-04-16,0.4945054945054945,0.0
287104,2011-04-16,0.8823529411764707,0.8653846153846153
287105,2011-04-16,0.0,3.0
287106,2011-04-16,0.0,0.8181818181818182
287107,2011-04-16,1.0,0.8108108108108109
287108,2011-04-16,0.9375,0.75
287109,2011-04-16,0.0,0.0
287110,2011-04-16,0.0,0.0
287101,2011-04-17,1.0404624277456647,1.5
287111,2011-04-17,0.0,0.3879310344827586
287112,2011-04-17,2.0930232558139537,2.8125
287113,2011-04-17,0.0,1.8652849740932642
287114,2011-04-17,0.5487804878048781,1.7532467532467535
287115,2011-04-17,0.0,0.9574468085106382
287116,2011-04-17,0.7438016528925621,0.45
287117,2011-04-17,0.8737864077669902,1.3846153846153846
287118,2011-04-17,1.1764705882352942,0.0
287119,2011-04-17,1.588235294117647,0.0
287120,2011-04-17,0.8955223880597014,0.6338028169014085
287121,2011-04-17,0.8910891089108911,0.0
287122,2011-04-17,0.75,1.125
287123,2011-04-17,1.2857142857142858,1.588235294117647
287124,2011-04-17,0.0,0.0
287125,2011-04-17,1.413612565445026,0.0
287126,2011-04-18,0.0,0.42452830188679247
287127,2011-04-18,1.2587412587412588,0.44554455445544555
287128,2011-04-18,0.44554455445544555,0.4945054945054945
287129,2011-04-18,0.6766917293233082,0.46875
287130,2011-04-18,0.5806451612903226,2.1176470588235294
287131,2011-04-18,1.7821782178217822,0.5232558139534884
287132,2011-04-18,1.5789473684210527,1.2765957446808511
287133,2011-04-18,0.4945054945054945,0.47368421052631576
287134,2011-04-18,1.5697674418604652,0.6293706293706294
287135,2011-04-18,0.0,0.47120418848167533
287136,2011-04-18,3.857142857142857,0.42452830188679247
287137,2011-04-19,2.25,0.0
287138,2011-04-19,0.0,3.75
287139,2011-04-19,1.3366336633663367,1.5789473684210524
287140,2011-04-19,0.0,3.2926829268292686
287141,2011-04-19,1.3432835820895521,1.35
287142,2011-04-19,1.4210526315789473,0.0
287143,2011-04-19,0.4945054945054945,0.0
287144,2011-04-19,1.0588235294117647,0.5625
287145,2011-04-19,0.0,2.2222222222222223
287146,2011-04-19,1.1920529801324504,1.35
287147,2011-04-19,0.4945054945054945,1.5789473684210524
287148,2011-04-19,0.46632124352331605,0.48913043478260876
287150,2011-04-19,3.0,0.5555555555555556
287149,2011-04-20,0.0,0.0
287151,2011-04-20,1.8750000000000002,0.0
287152,2011-04-20,0.8181818181818182,0.6792452830188679
287153,2011-04-20,2.1176470588235294,1.0588235294117647
287154,2011-04-20,4.5,0.37190082644628103
287155,2011-04-20,0.47368421052631576,3.1468531468531467
287156,2011-04-20,0.0,0.0
287157,2011-04-20,2.142857142857143,0.0
287158,2011-04-20,4.090909090909091,0.5625
287159,2011-04-20,0.5263157894736842,1.6875
287160,2011-04-20,0.47120418848167533,0.0
287161,2011-04-20,0.46875,1.0465116279069768
287162,2011-04-20,2.25,0.0
287163,2011-04-20,1.8,0.8181818181818182
287164,2011-04-20,0.0,0.46875
287165,2011-04-20,0.5521472392638036,0.47368421052631576
287166,2011-04-20,0.0,0.49723756906077343
287167,2011-04-21,0.5555555555555556,0.47368421052631576
287168,2011-04-21,1.153846153846154,0.0
287169,2011-04-21,2.25,0.0
