game_pk,date,home_k_bb_ratio_rolling_5,away_k_bb_ratio_rolling_5,home_k_bb_ratio_rolling_10,away_k_bb_ratio_rolling_10
778222,2025-04-22,1.7777777777777777,3.25,1.7777777777777777,3.25
778223,2025-04-22,2.1,5.166666666666667,2.1,5.166666666666667
778224,2025-04-22,0.0,2.1,0.0,2.1
778229,2025-04-22,0.0,2.1,0.0,2.1
778197,2025-04-23,3.6,3.5,3.6,3.5
778198,2025-04-23,5.428571428571429,3.6666666666666665,5.428571428571429,3.6666666666666665
778199,2025-04-23,4.833333333333333,2.4,4.833333333333333,2.4
778200,2025-04-23,8.0,2.5,8.0,2.5
778201,2025-04-23,5.0,0.0,5.0,0.0
778202,2025-04-23,1.4285714285714286,3.6666666666666665,1.4285714285714286,3.6666666666666665
778203,2025-04-23,3.25,6.833333333333333,3.25,6.833333333333333
778204,2025-04-23,2.6666666666666665,1.6,2.6666666666666665,1.6
778205,2025-04-23,2.2222222222222223,0.0,2.2222222222222223,0.0
778206,2025-04-23,2.5555555555555554,2.3125,2.5555555555555554,2.3125
778207,2025-04-23,2.0,4.0,2.0,4.0
778208,2025-04-23,1.3,2.6666666666666665,1.3,2.6666666666666665
778209,2025-04-23,1.8,2.0,1.8,2.0
778214,2025-04-23,2.0,1.5714285714285714,2.0,1.5714285714285714
778188,2025-04-24,1.8888888888888888,4.4,1.8888888888888888,4.4
778189,2025-04-24,1.6666666666666667,1.875,1.6666666666666667,1.875
778190,2025-04-24,6.0,1.375,6.0,1.375
778191,2025-04-24,1.75,1.75,1.75,1.75
778192,2025-04-24,3.25,2.857142857142857,3.25,2.857142857142857
778193,2025-04-24,5.625,2.25,5.625,2.25
778194,2025-04-24,3.625,0.0,3.625,0.0
778195,2025-04-24,2.4285714285714284,3.6,2.4285714285714284,3.6
778195,2025-04-24,2.4285714285714284,3.6,2.4285714285714284,3.0
778195,2025-04-24,2.4285714285714284,3.6,2.1818181818181817,3.6
778195,2025-04-24,2.4285714285714284,3.6,2.1818181818181817,3.0
778195,2025-04-24,2.4285714285714284,3.0,2.4285714285714284,3.6
778195,2025-04-24,2.4285714285714284,3.0,2.4285714285714284,3.0
778195,2025-04-24,2.4285714285714284,3.0,2.1818181818181817,3.6
778195,2025-04-24,2.4285714285714284,3.0,2.1818181818181817,3.0
778195,2025-04-24,2.1818181818181817,3.6,2.4285714285714284,3.6
778195,2025-04-24,2.1818181818181817,3.6,2.4285714285714284,3.0
778195,2025-04-24,2.1818181818181817,3.6,2.1818181818181817,3.6
778195,2025-04-24,2.1818181818181817,3.6,2.1818181818181817,3.0
778195,2025-04-24,2.1818181818181817,3.0,2.4285714285714284,3.6
778195,2025-04-24,2.1818181818181817,3.0,2.4285714285714284,3.0
778195,2025-04-24,2.1818181818181817,3.0,2.1818181818181817,3.6
778195,2025-04-24,2.1818181818181817,3.0,2.1818181818181817,3.0
778196,2025-04-24,3.5,3.6666666666666665,3.5,3.6666666666666665
778171,2025-04-25,2.090909090909091,15.5,2.090909090909091,15.5
778172,2025-04-25,3.1,3.75,3.1,3.75
778175,2025-04-25,6.833333333333333,0.8888888888888888,6.833333333333333,0.8888888888888888
778176,2025-04-25,5.428571428571429,7.5,5.428571428571429,7.5
778177,2025-04-25,2.230769230769231,4.571428571428571,2.230769230769231,4.571428571428571
