game_pk,date,home_k_per_9_rolling_5,away_k_per_9_rolling_5,home_k_per_9_rolling_10,away_k_per_9_rolling_10
778436,2025-04-05,7.058823529411765,6.9230769230769225,7.058823529411765,6.9230769230769225
778437,2025-04-05,6.0,3.4615384615384612,6.0,3.4615384615384612
778438,2025-04-05,10.8,10.5,10.8,10.5
778439,2025-04-05,6.75,10.285714285714286,6.75,10.285714285714286
778440,2025-04-05,12.272727272727272,7.5,12.272727272727272,7.5
778441,2025-04-05,4.5,2.25,4.5,2.25
778442,2025-04-05,6.0,10.161290322580644,6.0,10.161290322580644
778445,2025-04-05,10.714285714285714,3.0,10.714285714285714,3.0
778446,2025-04-05,6.9230769230769225,10.5,6.9230769230769225,10.5
778448,2025-04-05,14.11764705882353,10.714285714285714,14.11764705882353,10.714285714285714
778449,2025-04-05,6.0,6.428571428571428,6.0,6.428571428571428
778450,2025-04-05,9.0,5.142857142857143,9.0,5.142857142857143
778451,2025-04-05,9.0,4.5,9.0,4.5
778452,2025-04-05,7.3770491803278695,8.823529411764707,7.3770491803278695,8.823529411764707
778419,2025-04-06,5.806451612903226,10.8,5.806451612903226,10.8
778420,2025-04-06,9.0,7.2,9.0,7.2
778421,2025-04-06,10.714285714285714,7.5,10.714285714285714,7.5
778422,2025-04-06,12.0,17.5609756097561,12.0,17.5609756097561
778423,2025-04-06,0.0,4.5,0.0,4.5
778425,2025-04-06,7.2,4.285714285714286,7.2,4.285714285714286
778427,2025-04-06,9.0,7.5,9.0,7.5
778428,2025-04-06,3.6,7.2,3.6,7.2
778429,2025-04-06,5.4,17.5609756097561,5.4,17.5609756097561
778430,2025-04-06,9.0,7.2,9.0,7.2
778432,2025-04-06,0.0,5.294117647058824,0.0,5.294117647058824
778433,2025-04-06,6.75,13.5,6.75,13.5
778434,2025-04-06,12.352941176470589,14.4,12.352941176470589,14.4
778435,2025-04-06,13.5,6.0,13.5,6.0
778443,2025-04-06,9.0,5.4,9.0,5.4
778405,2025-04-07,13.5,10.8,13.5,10.8
778410,2025-04-07,8.25,12.0,8.25,12.0
778411,2025-04-07,7.697368421052632,10.2,7.697368421052632,10.2
778412,2025-04-07,12.352941176470589,11.25,12.352941176470589,11.25
778413,2025-04-07,15.000000000000002,5.25,15.000000000000002,5.25
778414,2025-04-07,9.0,17.5,9.0,17.5
778415,2025-04-07,11.25,6.0,11.25,6.0
778416,2025-04-07,14.4,8.78048780487805,14.4,8.78048780487805
778418,2025-04-07,14.727272727272727,10.8,14.727272727272727,10.8
778424,2025-04-07,10.384615384615385,9.72972972972973,10.384615384615385,9.72972972972973
778426,2025-04-07,6.0,11.470588235294118,6.0,11.470588235294118
778394,2025-04-08,7.3770491803278695,11.076923076923077,7.3770491803278695,11.076923076923077
778395,2025-04-08,12.0,12.352941176470589,12.0,12.352941176470589
778396,2025-04-08,3.2530120481927707,14.444444444444445,3.2530120481927707,14.444444444444445
778397,2025-04-08,18.0,3.6885245901639347,18.0,3.6885245901639347
778398,2025-04-08,6.75,9.75,6.75,9.75
778400,2025-04-08,11.7,6.0,11.7,6.0
778401,2025-04-08,7.128712871287129,0.0,7.128712871287129,0.0
778402,2025-04-08,6.923076923076923,5.1923076923076925,6.923076923076923,5.1923076923076925
778403,2025-04-08,8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707
778404,2025-04-08,8.307692307692308,5.4,8.307692307692308,5.4
778406,2025-04-08,10.8,12.461538461538462,10.8,12.461538461538462
778407,2025-04-08,10.714285714285714,9.0,10.714285714285714,9.0
778408,2025-04-08,9.669421487603307,12.272727272727273,9.669421487603307,12.272727272727273
778409,2025-04-08,0.0,0.0,0.0,0.0
778417,2025-04-08,15.0,6.0,15.0,6.0
778376,2025-04-09,8.873239436619718,6.176470588235294,8.873239436619718,6.176470588235294
778379,2025-04-09,2.9347826086956523,10.384615384615385,2.9347826086956523,10.384615384615385
778380,2025-04-09,6.75,6.847826086956522,6.75,6.847826086956522
778381,2025-04-09,8.1,4.411764705882353,8.1,4.411764705882353
778383,2025-04-09,6.0,11.25,6.0,11.25
778385,2025-04-09,4.972375690607734,11.612903225806452,4.972375690607734,11.612903225806452
778386,2025-04-09,7.82608695652174,3.2432432432432434,7.82608695652174,3.2432432432432434
778387,2025-04-09,10.384615384615385,9.574468085106382,10.384615384615385,9.574468085106382
778388,2025-04-09,4.909090909090909,9.9,4.909090909090909,9.9
778389,2025-04-09,7.82608695652174,3.0,7.82608695652174,3.0
778390,2025-04-09,8.910891089108912,12.053571428571429,8.910891089108912,12.053571428571429
778391,2025-04-09,1.7647058823529413,3.5643564356435644,1.7647058823529413,3.5643564356435644
778392,2025-04-09,4.5,0.0,4.5,0.0
778393,2025-04-09,6.75,6.0,6.75,6.0
778399,2025-04-09,9.0,8.25,9.0,8.25
778371,2025-04-10,8.1,0.0,8.1,0.0
778373,2025-04-10,6.847826086956522,11.612903225806452,6.847826086956522,11.612903225806452
778377,2025-04-10,6.923076923076923,11.80327868852459,6.923076923076923,11.80327868852459
778378,2025-04-10,7.875,8.78048780487805,7.875,8.78048780487805
778382,2025-04-10,6.923076923076923,10.413223140495868,6.923076923076923,10.413223140495868
778384,2025-04-10,9.0,14.25,9.0,14.25
778356,2025-04-11,10.6875,8.181818181818182,10.6875,8.181818181818182
778358,2025-04-11,6.585365853658536,9.782608695652174,6.585365853658536,9.782608695652174
778360,2025-04-11,6.990291262135922,7.9411764705882355,6.990291262135922,7.9411764705882355
778361,2025-04-11,7.2,5.7272727272727275,7.2,5.7272727272727275
778363,2025-04-11,0.0,8.823529411764707,0.0,8.823529411764707
778364,2025-04-11,15.14851485148515,0.0,15.14851485148515,0.0
778365,2025-04-11,8.901098901098901,8.108108108108109,8.901098901098901,8.108108108108109
778366,2025-04-11,3.272727272727273,9.878048780487806,3.272727272727273,9.878048780487806
778367,2025-04-11,11.454545454545455,6.75,11.454545454545455,6.75
778368,2025-04-11,13.064516129032258,6.545454545454546,13.064516129032258,6.545454545454546
778369,2025-04-11,0.0,5.206611570247934,0.0,5.206611570247934
778370,2025-04-11,6.585365853658537,4.864864864864865,6.585365853658537,4.864864864864865
778374,2025-04-11,11.25,8.1,11.25,8.1
778375,2025-04-11,5.869565217391305,11.80327868852459,5.869565217391305,11.80327868852459
778341,2025-04-12,8.25,4.5,8.25,4.5
778345,2025-04-12,9.878048780487806,10.0,9.878048780487806,10.0
778346,2025-04-12,0.0,10.588235294117649,0.0,10.588235294117649
778347,2025-04-12,4.931506849315069,13.980582524271844,4.931506849315069,13.980582524271844
778348,2025-04-12,5.070422535211268,7.0,5.070422535211268,7.0
778349,2025-04-12,9.669421487603307,6.0,9.669421487603307,6.0
778350,2025-04-12,10.87912087912088,8.709677419354838,10.87912087912088,8.709677419354838
778351,2025-04-12,0.0,8.1,0.0,8.1
778352,2025-04-12,6.9230769230769225,10.8,6.9230769230769225,10.8
778353,2025-04-12,7.2,10.975609756097562,7.2,10.975609756097562
778354,2025-04-12,10.760869565217392,8.1,10.760869565217392,8.1
778355,2025-04-12,9.0,8.91891891891892,9.0,8.91891891891892
778357,2025-04-12,0.0,9.0,0.0,9.0
778359,2025-04-12,4.411764705882353,8.108108108108109,4.411764705882353,8.108108108108109
778362,2025-04-12,4.945054945054945,8.108108108108109,4.945054945054945,8.108108108108109
778329,2025-04-13,8.25,6.545454545454546,8.25,6.545454545454546
778330,2025-04-13,11.612903225806452,7.377049180327869,11.612903225806452,7.377049180327869
778331,2025-04-13,12.857142857142858,0.0,12.857142857142858,0.0
778332,2025-04-13,11.875,11.0,11.875,11.0
778333,2025-04-13,7.105263157894737,10.8,7.105263157894737,10.8
778334,2025-04-13,13.08139534883721,9.84375,13.08139534883721,9.84375
778335,2025-04-13,10.760869565217392,9.642857142857144,10.760869565217392,9.642857142857144
778336,2025-04-13,8.181818181818182,12.430939226519335,8.181818181818182,12.430939226519335
778337,2025-04-13,6.0,13.235294117647058,6.0,13.235294117647058
778338,2025-04-13,7.232142857142858,8.406593406593407,7.232142857142858,8.406593406593407
778339,2025-04-13,10.526315789473683,9.947368421052632,10.526315789473683,9.947368421052632
778340,2025-04-13,0.0,10.774647887323944,0.0,10.774647887323944
778342,2025-04-13,7.021276595744681,13.5,7.021276595744681,13.5
778343,2025-04-13,10.247524752475249,10.975609756097562,10.247524752475249,10.975609756097562
778344,2025-04-13,10.693069306930694,7.848837209302326,10.693069306930694,7.848837209302326
778315,2025-04-14,11.408450704225352,7.826086956521738,11.408450704225352,7.826086956521738
778320,2025-04-14,7.9411764705882355,10.8,7.9411764705882355,10.8
778321,2025-04-14,9.944751381215468,12.0,9.944751381215468,12.0
778322,2025-04-14,9.801980198019802,10.125,9.801980198019802,10.125
778323,2025-04-14,9.642857142857142,8.88888888888889,9.642857142857142,8.88888888888889
778324,2025-04-14,7.9411764705882355,13.333333333333334,7.9411764705882355,13.333333333333334
778325,2025-04-14,10.6875,10.5,10.6875,10.5
778326,2025-04-14,5.7272727272727275,4.06015037593985,5.7272727272727275,4.06015037593985
778327,2025-04-14,7.82608695652174,6.666666666666667,7.82608695652174,6.666666666666667
778328,2025-04-14,11.076923076923077,5.844155844155844,11.076923076923077,5.844155844155844
778302,2025-04-15,8.571428571428571,9.0,8.571428571428571,9.0
778305,2025-04-15,3.5526315789473686,5.454545454545454,3.5526315789473686,5.454545454545454
778306,2025-04-15,8.181818181818182,8.0,8.181818181818182,8.0
778307,2025-04-15,8.852459016393443,10.851063829787234,8.852459016393443,10.851063829787234
778308,2025-04-15,3.0,9.0,3.0,9.0
778309,2025-04-15,5.4961832061068705,9.6,5.4961832061068705,9.6
778310,2025-04-15,7.2,12.193548387096774,7.2,12.193548387096774
778311,2025-04-15,6.596858638743455,8.55,6.596858638743455,8.55
778312,2025-04-15,11.52439024390244,6.9230769230769225,11.52439024390244,6.9230769230769225
778313,2025-04-15,12.5,11.707317073170731,12.5,11.707317073170731
778314,2025-04-15,7.730061349693251,6.75,7.730061349693251,6.75
778316,2025-04-15,3.956043956043956,7.9411764705882355,3.956043956043956,7.9411764705882355
778317,2025-04-15,11.679389312977099,4.838709677419354,11.679389312977099,4.838709677419354
778318,2025-04-15,7.714285714285714,4.405594405594405,7.714285714285714,4.405594405594405
778319,2025-04-15,9.0,8.289473684210527,9.0,8.289473684210527
778287,2025-04-16,0.0,5.921052631578948,0.0,5.921052631578948
778288,2025-04-16,9.529411764705882,9.0,9.529411764705882,9.0
778289,2025-04-16,0.0,8.393782383419689,0.0,8.393782383419689
778290,2025-04-16,0.0,12.857142857142858,0.0,12.857142857142858
778293,2025-04-16,7.8,4.972375690607734,7.8,4.972375690607734
778294,2025-04-16,9.473684210526315,8.4,9.473684210526315,8.4
778295,2025-04-16,2.5714285714285716,0.0,2.5714285714285716,0.0
778296,2025-04-16,9.50310559006211,7.748344370860927,9.50310559006211,7.748344370860927
778297,2025-04-16,10.862068965517242,0.0,10.862068965517242,0.0
778298,2025-04-16,7.411764705882353,11.065573770491804,7.411764705882353,11.065573770491804
778299,2025-04-16,8.571428571428571,0.0,8.571428571428571,0.0
778300,2025-04-16,0.0,10.384615384615385,0.0,10.384615384615385
778301,2025-04-16,7.388059701492538,9.692307692307692,7.388059701492538,9.692307692307692
778303,2025-04-16,9.884393063583815,6.0,9.884393063583815,6.0
778304,2025-04-16,8.766233766233766,7.647058823529411,8.766233766233766,7.647058823529411
778278,2025-04-17,8.181818181818182,7.267080745341614,8.181818181818182,7.267080745341614
778279,2025-04-17,10.426829268292684,8.344370860927153,10.426829268292684,8.344370860927153
778280,2025-04-17,9.0,6.971830985915493,9.0,6.971830985915493
778281,2025-04-17,4.864864864864865,5.328947368421053,4.864864864864865,5.328947368421053
778282,2025-04-17,11.117647058823529,9.642857142857142,11.117647058823529,9.642857142857142
778283,2025-04-17,5.294117647058823,8.834355828220858,5.294117647058823,8.834355828220858
778285,2025-04-17,9.529411764705882,0.0,9.529411764705882,0.0
778286,2025-04-17,8.181818181818182,7.730061349693251,8.181818181818182,7.730061349693251
778291,2025-04-17,8.653846153846153,11.11111111111111,8.653846153846153,11.11111111111111
778292,2025-04-17,3.3834586466165413,6.716417910447761,3.3834586466165413,6.716417910447761
778260,2025-04-18,8.881578947368421,9.75,8.881578947368421,9.75
778261,2025-04-18,10.909090909090908,10.588235294117649,10.909090909090908,10.588235294117649
778263,2025-04-18,8.23943661971831,11.454545454545455,8.23943661971831,11.454545454545455
778268,2025-04-18,14.0625,8.344370860927153,14.0625,8.344370860927153
778269,2025-04-18,13.5,6.428571428571429,13.5,6.428571428571429
778270,2025-04-18,9.444444444444445,7.317073170731707,9.444444444444445,7.317073170731707
778271,2025-04-18,10.24390243902439,8.766233766233766,10.24390243902439,8.766233766233766
778272,2025-04-18,9.0,11.300448430493272,9.0,11.300448430493272
778273,2025-04-18,8.282208588957054,8.526315789473685,8.282208588957054,8.526315789473685
778274,2025-04-18,10.45643153526971,7.5,10.45643153526971,7.5
778275,2025-04-18,9.0,9.938650306748466,9.0,9.938650306748466
778276,2025-04-18,8.81118881118881,9.0,8.81118881118881,9.0
778277,2025-04-18,5.4,13.189655172413794,5.4,13.189655172413794
778284,2025-04-18,6.3,6.694214876033058,6.3,6.694214876033058
778243,2025-04-19,5.4,12.0,5.4,12.0
778247,2025-04-19,11.470588235294118,12.521739130434783,11.470588235294118,12.521739130434783
778251,2025-04-19,8.925619834710744,8.181818181818182,8.925619834710744,8.181818181818182
778252,2025-04-19,8.289473684210527,5.142857142857143,8.289473684210527,5.142857142857143
778253,2025-04-19,8.059701492537314,7.809917355371901,8.059701492537314,7.809917355371901
778254,2025-04-19,9.70954356846473,7.164179104477611,9.70954356846473,7.164179104477611
778255,2025-04-19,12.789473684210526,7.605633802816902,12.789473684210526,7.605633802816902
778256,2025-04-19,8.470588235294118,8.950276243093922,8.470588235294118,8.950276243093922
778257,2025-04-19,9.0,10.588235294117649,9.0,10.588235294117649
778258,2025-04-19,8.513513513513514,12.972972972972974,8.513513513513514,12.972972972972974
778259,2025-04-19,10.5,10.093457943925234,10.5,10.093457943925234
778262,2025-04-19,0.0,10.257352941176471,0.0,10.257352941176471
778264,2025-04-19,9.960474308300395,6.279069767441861,9.960474308300395,6.279069767441861
778265,2025-04-19,8.231707317073171,6.428571428571429,8.231707317073171,6.428571428571429
778267,2025-04-19,11.803278688524589,0.0,11.803278688524589,0.0
778232,2025-04-20,8.25,8.742857142857142,8.25,8.742857142857142
778234,2025-04-20,9.84375,11.76923076923077,9.84375,11.76923076923077
778235,2025-04-20,6.5665236051502145,7.043478260869565,6.5665236051502145,7.043478260869565
778236,2025-04-20,7.6415094339622645,7.0935960591133,7.6415094339622645,7.0935960591133
778237,2025-04-20,9.818181818181818,11.134020618556702,9.818181818181818,11.134020618556702
778239,2025-04-20,0.0,9.0,0.0,9.0
778240,2025-04-20,9.818181818181818,11.150442477876105,9.818181818181818,11.150442477876105
778241,2025-04-20,8.344370860927153,7.677725118483412,8.344370860927153,7.677725118483412
778242,2025-04-20,6.860986547085202,6.827586206896552,6.860986547085202,6.827586206896552
778244,2025-04-20,13.621621621621621,9.0,13.621621621621621,9.0
778245,2025-04-20,5.6571428571428575,5.555555555555555,5.6571428571428575,5.555555555555555
778246,2025-04-20,9.698275862068966,6.923076923076923,9.698275862068966,6.923076923076923
778248,2025-04-20,11.298701298701298,8.526315789473685,11.298701298701298,8.526315789473685
778249,2025-04-20,7.697368421052632,9.409090909090908,7.697368421052632,9.409090909090908
778250,2025-04-20,9.447513812154696,0.0,9.447513812154696,0.0
778266,2025-04-20,3.620689655172414,6.338028169014085,3.620689655172414,6.338028169014085
778225,2025-04-21,9.424083769633507,10.61320754716981,9.424083769633507,10.61320754716981
778226,2025-04-21,9.895287958115183,7.2,9.895287958115183,7.2
778227,2025-04-21,8.4375,3.4615384615384612,8.4375,3.4615384615384612
778228,2025-04-21,14.4,3.5643564356435644,14.4,3.5643564356435644
778230,2025-04-21,10.429184549356222,5.625,10.429184549356222,5.625
778231,2025-04-21,8.25,7.171314741035856,8.25,7.171314741035856
778233,2025-04-21,8.181818181818182,4.285714285714286,8.181818181818182,4.285714285714286
778238,2025-04-21,7.574257425742575,9.310344827586208,7.574257425742575,9.310344827586208
778210,2025-04-22,7.737556561085972,4.426229508196721,7.737556561085972,4.426229508196721
778211,2025-04-22,7.346938775510204,6.136363636363637,7.346938775510204,6.136363636363637
778212,2025-04-22,6.982758620689656,7.434782608695652,6.982758620689656,7.434782608695652
778213,2025-04-22,6.237623762376238,5.934065934065934,6.237623762376238,5.934065934065934
778215,2025-04-22,10.429184549356222,8.406593406593407,10.429184549356222,8.406593406593407
778216,2025-04-22,8.360655737704917,5.294117647058823,8.360655737704917,5.294117647058823
778217,2025-04-22,9.444444444444445,12.455357142857144,9.444444444444445,12.455357142857144
778218,2025-04-22,7.258064516129032,9.473684210526317,7.258064516129032,9.473684210526317
778219,2025-04-22,10.760869565217392,8.724489795918366,10.760869565217392,8.724489795918366
778220,2025-04-22,6.725978647686833,7.411764705882353,6.725978647686833,7.411764705882353
778221,2025-04-22,11.421319796954315,9.391304347826088,11.421319796954315,9.391304347826088
778222,2025-04-22,5.975103734439834,6.324324324324325,5.975103734439834,6.324324324324325
778223,2025-04-22,9.310344827586206,11.923076923076923,9.310344827586206,11.923076923076923
778224,2025-04-22,0.0,9.310344827586206,0.0,9.310344827586206
778229,2025-04-22,0.0,6.108597285067873,0.0,6.108597285067873
778197,2025-04-23,7.26457399103139,6.961325966850828,7.26457399103139,6.961325966850828
778198,2025-04-23,11.4,10.569395017793594,11.4,10.569395017793594
778199,2025-04-23,12.253521126760566,9.773755656108596,12.253521126760566,9.773755656108596
778200,2025-04-23,8.0,8.071748878923767,8.0,8.071748878923767
778201,2025-04-23,10.843373493975903,0.0,10.843373493975903,0.0
778202,2025-04-23,4.639175257731959,7.888446215139441,4.639175257731959,7.888446215139441
778203,2025-04-23,10.985915492957746,11.864951768488746,10.985915492957746,11.864951768488746
778204,2025-04-23,7.5,3.54679802955665,7.5,3.54679802955665
778205,2025-04-23,8.144796380090497,0.0,8.144796380090497,0.0
778206,2025-04-23,10.147058823529413,11.76678445229682,10.147058823529413,11.76678445229682
778207,2025-04-23,10.426829268292684,6.9230769230769225,10.426829268292684,6.9230769230769225
778208,2025-04-23,7.134146341463415,10.236966824644549,7.134146341463415,10.236966824644549
778209,2025-04-23,8.393782383419689,5.555555555555555,8.393782383419689,5.555555555555555
778214,2025-04-23,6.0,6.0,6.0,6.0
778188,2025-04-24,7.251184834123222,9.801980198019802,7.251184834123222,9.801980198019802
778189,2025-04-24,7.894736842105263,6.308411214953272,7.894736842105263,6.308411214953272
778190,2025-04-24,13.897058823529411,6.428571428571429,13.897058823529411,6.428571428571429
778191,2025-04-24,8.915094339622641,7.730061349693251,8.915094339622641,7.730061349693251
778192,2025-04-24,12.580645161290322,8.49056603773585,12.580645161290322,8.49056603773585
778193,2025-04-24,13.96551724137931,9.310344827586208,13.96551724137931,9.310344827586208
778194,2025-04-24,11.863636363636363,0.0,11.863636363636363,0.0
