game_pk,home_pitching_k_bb_ratio_rolling_10,away_pitching_k_bb_ratio_rolling_10
317775,,
318969,,
317733,,
317734,,
317735,,
317736,,
317738,,
317739,,
317742,,1.6666666666666667
317746,,
317737,,
317740,,
317741,,
317743,,
317744,2.0,2.3333333333333335
317745,,
317747,11.0,7.5
317748,,
317749,,
317750,2.6666666666666665,1.5
317751,8.0,1.0
317752,13.0,
317753,1.0,1.0
317754,4.0,1.4285714285714286
317755,,8.0
317756,2.375,4.5
317757,1.5,1.0
317758,0.8571428571428571,1.7142857142857142
317759,4.0,
317760,3.4,7.333333333333333
317761,3.0,4.5
317762,0.8571428571428571,6.0
317763,2.2857142857142856,1.0909090909090908
317764,1.6666666666666667,7.0
317765,2.142857142857143,1.5714285714285714
317766,6.333333333333333,1.3333333333333333
317767,5.0,12.0
317768,3.3333333333333335,1.6666666666666667
317769,2.4285714285714284,2.2857142857142856
317770,10.0,4.666666666666667
317771,1.8571428571428572,1.9285714285714286
317772,2.0,1.6666666666666667
317773,0.8571428571428571,1.3076923076923077
317774,2.8,3.3333333333333335
317776,3.25,2.6666666666666665
317777,2.0,7.0
317778,2.1818181818181817,1.2142857142857142
317779,1.8888888888888888,3.3333333333333335
317780,1.2,6.25
317781,2.7142857142857144,1.6666666666666667
317782,1.1,2.125
317783,2.230769230769231,3.4
317784,4.0,2.3
317785,3.6666666666666665,3.4285714285714284
317786,2.5,2.6
317787,2.0,1.75
317788,3.7142857142857144,7.75
317789,2.142857142857143,2.1
317790,3.4285714285714284,8.5
317791,2.272727272727273,3.125
317792,2.066666666666667,2.5
317793,3.375,1.7333333333333334
317794,1.1666666666666667,2.4545454545454546
317796,2.3,2.3333333333333335
317797,2.6923076923076925,2.5
317798,1.2,2.375
317799,1.6363636363636365,2.3333333333333335
317800,3.0,4.222222222222222
317801,2.4285714285714284,4.875
317802,4.285714285714286,0.8888888888888888
317803,2.3333333333333335,2.2857142857142856
317804,1.5,3.75
317805,2.3333333333333335,1.9375
317806,3.0,1.9
317807,1.2758620689655173,2.769230769230769
317808,2.4375,3.4285714285714284
317809,6.2,2.8181818181818183
317810,2.1666666666666665,2.375
317811,2.0,2.210526315789474
317812,1.7777777777777777,2.5238095238095237
317813,2.090909090909091,2.5454545454545454
317814,2.923076923076923,4.2
317815,1.5,2.5
317816,2.5294117647058822,4.888888888888889
317817,4.625,0.8695652173913043
317818,2.4210526315789473,2.4705882352941178
317819,1.9166666666666667,4.222222222222222
317820,2.08,1.8421052631578947
317821,2.7142857142857144,2.736842105263158
317822,5.666666666666667,2.9166666666666665
317823,2.125,2.347826086956522
317824,2.4545454545454546,2.6153846153846154
317825,3.6923076923076925,4.076923076923077
317826,1.3333333333333333,2.0
317827,3.6666666666666665,1.0416666666666667
317828,2.6,3.9166666666666665
317829,1.631578947368421,2.2857142857142856
317830,1.3870967741935485,1.9047619047619047
317831,3.923076923076923,2.3076923076923075
317832,3.0,2.347826086956522
317833,2.380952380952381,2.3684210526315788
317834,2.5384615384615383,3.1176470588235294
317835,3.1666666666666665,3.1538461538461537
317836,1.96,2.6666666666666665
317837,4.75,1.9310344827586208
317838,4.214285714285714,2.2666666666666666
317839,1.736842105263158,2.7142857142857144
317840,2.625,2.0689655172413794
317841,2.8,1.2692307692307692
317842,1.75,4.384615384615385
317843,2.6666666666666665,3.533333333333333
317844,1.52,2.1153846153846154
317845,1.5151515151515151,1.7916666666666667
317846,3.4705882352941178,2.5185185185185186
317847,2.8214285714285716,2.2142857142857144
317848,2.4166666666666665,2.5
317849,2.8666666666666667,3.5789473684210527
317850,2.5,2.7058823529411766
317851,1.9642857142857142,2.2666666666666666
317852,4.090909090909091,2.2333333333333334
317853,3.6666666666666665,2.2222222222222223
317854,2.3157894736842106,2.3529411764705883
317855,2.793103448275862,1.6923076923076923
317856,2.75,1.21875
317857,2.0625,4.133333333333334
317858,2.6451612903225805,3.4705882352941178
317859,1.5333333333333334,2.0
317860,1.588235294117647,1.8461538461538463
317861,3.5789473684210527,2.7037037037037037
317862,3.0344827586206895,2.0303030303030303
317863,2.1333333333333333,2.5714285714285716
317864,2.8333333333333335,3.5714285714285716
317865,2.08,2.888888888888889
317866,2.0,2.272727272727273
317867,3.176470588235294,2.3548387096774195
317868,3.65,2.35
317869,2.5,2.25
317870,2.838709677419355,1.619047619047619
317871,2.736842105263158,1.131578947368421
