game_pk,home_batting_hr_per_g_rolling_5,away_batting_hr_per_g_rolling_5
318020,0.8,2.0
318021,1.0,0.4
318022,2.0,1.4
318023,1.0,0.8
318024,0.2,1.0
318025,0.4,2.0
318026,1.0,0.2
318027,1.2,0.4
318028,1.0,0.8
318029,1.4,0.4
318030,0.6,0.8
318031,1.6,1.4
318032,0.8,0.8
318033,0.0,0.8
318034,0.6,1.2
318035,1.0,2.2
318036,1.2,0.4
318037,1.4,1.0
318038,1.4,0.8
318040,0.4,1.6
318041,1.4,0.4
318042,1.0,0.8
318043,0.8,0.8
318044,1.4,0.4
318045,1.0,1.4
318046,1.6,1.8
318047,0.6,0.8
318048,0.0,0.8
318049,0.6,1.0
318050,0.6,1.6
318051,1.4,0.4
318052,1.4,1.2
318053,1.6,0.4
318054,0.4,1.4
318055,0.8,2.0
318056,1.6,0.6
318057,1.2,0.8
318058,0.6,0.8
318059,1.0,0.2
318060,0.8,1.4
318061,1.6,1.8
318062,0.8,0.6
318063,0.8,0.6
318064,1.6,1.2
318065,1.0,0.6
318067,1.6,0.8
318068,0.2,1.8
318069,0.8,0.4
318070,0.6,0.8
318071,1.2,1.0
318072,0.4,0.6
318073,1.0,1.6
318074,1.0,1.4
318075,0.6,0.6
318076,1.8,0.8
318078,0.8,0.0
318079,1.0,1.0
318080,1.0,1.4
318081,1.4,0.8
318082,0.0,1.6
318083,1.0,0.2
318084,0.6,0.6
318085,1.8,1.2
318086,0.4,0.4
318087,0.8,0.6
318088,0.8,1.8
318089,1.2,1.6
318090,0.6,0.6
318091,1.8,0.8
318092,1.6,0.6
318093,1.0,0.2
318094,1.0,1.0
318095,0.8,1.4
318096,1.8,1.2
318097,0.2,1.0
318098,1.2,0.2
318099,1.0,0.6
318100,1.2,1.0
318101,0.6,0.4
318102,1.2,0.8
318103,0.8,1.6
318104,1.8,1.0
318105,0.6,0.6
318106,1.4,0.8
318107,1.0,0.6
318108,0.8,1.2
318109,0.6,1.4
318110,1.0,0.4
318111,1.4,0.8
318112,0.8,1.4
318113,1.4,1.8
318114,0.4,0.6
318115,1.8,1.0
318116,0.8,1.2
318117,0.8,1.0
318118,1.0,1.0
318119,0.2,1.0
318120,1.4,1.0
318121,0.4,1.0
318122,1.4,0.2
318123,0.8,0.8
318124,0.8,0.6
318125,0.4,0.6
318126,1.4,1.4
318127,1.0,0.8
318128,1.2,1.8
318129,0.2,0.8
318130,1.8,1.4
318131,0.8,1.2
318132,1.2,1.2
318133,1.0,1.2
318134,0.2,1.2
318135,1.6,1.0
318136,0.4,0.6
318137,1.0,0.0
318138,0.4,0.8
318139,1.0,0.6
318140,0.4,1.0
318141,1.6,1.0
318142,1.4,0.6
318143,1.2,1.6
318144,0.0,0.6
318145,2.0,1.6
318146,0.8,1.4
318147,0.8,1.4
318148,1.0,1.0
318149,0.2,1.0
318150,1.4,1.0
318151,0.2,0.8
318152,0.8,0.0
318153,0.2,0.8
318154,1.6,0.8
318155,1.0,1.0
318156,1.6,1.0
318157,1.4,0.8
318158,1.2,1.6
317795,1.4,1.2
318159,0.4,1.0
318160,1.2,1.8
318161,0.4,0.2
318162,1.2,1.0
318163,0.2,1.0
318164,0.2,2.0
318165,0.8,1.2
318166,1.4,0.8
318167,1.4,0.0
318168,1.0,0.0
318169,0.6,1.0
318170,2.2,0.4
318171,0.4,0.8
318172,1.4,1.6
318173,0.4,1.0
318174,0.8,0.8
318175,0.4,1.4
318176,0.0,1.8
318177,0.4,1.2
318178,1.0,1.2
318179,1.2,0.2
318180,0.4,0.0
318181,0.6,1.6
318182,1.2,1.6
318183,2.2,1.0
318184,0.8,1.0
318185,0.6,1.0
318186,0.6,0.8
318187,0.8,1.6
318188,0.4,1.0
318189,0.4,0.6
318190,0.6,1.6
318191,0.0,1.0
318192,0.4,1.2
318193,0.6,1.6
318194,1.0,0.2
