game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_games,away_games,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9
347157,2013-05-01,146,121,Miami Marlins,New York Mets,27,24,94.7,88.3,89,88,0.94,1.0,43,48,0.45,0.54,39,30,0.41,0.34,87,66,0.92,0.75,9,9,0.1,0.1,4.09,4.89,1.35,1.34,8.27,6.72,2.23,2.2,0.86,0.92,3.71,3.06
347162,2013-05-01,119,115,Los Angeles Dodgers,Colorado Rockies,24,27,75.3,96.0,73,86,0.97,0.9,39,32,0.52,0.33,36,27,0.48,0.28,65,85,0.86,0.89,6,5,0.08,0.05,4.66,3.0,1.45,1.18,7.77,7.97,1.81,3.15,0.72,0.47,4.3,2.53
347161,2013-05-01,136,110,Seattle Mariners,Baltimore Orioles,28,27,90.0,86.7,78,67,0.87,0.77,39,24,0.43,0.28,35,29,0.39,0.33,94,76,1.04,0.88,13,9,0.14,0.1,3.9,2.49,1.26,1.11,9.4,7.89,2.69,2.62,1.3,0.93,3.5,3.01
347160,2013-05-01,141,111,Toronto Blue Jays,Boston Red Sox,27,26,94.0,72.7,85,60,0.9,0.83,35,35,0.37,0.48,40,31,0.43,0.43,79,85,0.84,1.17,9,11,0.1,0.15,3.35,4.33,1.33,1.25,7.56,10.53,1.98,2.74,0.86,1.36,3.83,3.84
347159,2013-05-01,138,113,St. Louis Cardinals,Cincinnati Reds,24,28,66.7,81.3,80,71,1.2,0.87,42,36,0.63,0.44,22,27,0.33,0.33,64,82,0.96,1.01,10,13,0.15,0.16,5.67,3.98,1.53,1.2,8.64,9.07,2.91,3.04,1.35,1.44,2.97,2.99
347158,2013-05-01,158,134,Milwaukee Brewers,Pittsburgh Pirates,25,27,75.0,100.3,71,75,0.95,0.75,33,32,0.44,0.32,23,42,0.31,0.42,76,87,1.01,0.87,11,11,0.15,0.11,3.96,2.87,1.25,1.17,9.12,7.8,3.3,2.07,1.32,0.99,2.76,3.77
347156,2013-05-01,144,120,Atlanta Braves,Washington Nationals,26,25,76.0,78.3,59,72,0.78,0.92,17,37,0.22,0.47,22,32,0.29,0.41,60,73,0.79,0.93,2,9,0.03,0.11,2.01,4.25,1.07,1.33,7.11,8.39,2.73,2.28,0.24,1.03,2.61,3.68
347148,2013-05-01,133,108,Oakland Athletics,Los Angeles Angels,27,25,99.7,95.0,85,82,0.85,0.86,33,45,0.33,0.47,36,48,0.36,0.51,82,90,0.82,0.95,9,11,0.09,0.12,2.98,4.26,1.21,1.37,7.4,8.53,2.28,1.88,0.81,1.04,3.25,4.55
347154,2013-05-01,109,137,Arizona Diamondbacks,San Francisco Giants,27,27,87.7,80.7,74,63,0.84,0.78,26,23,0.3,0.29,27,26,0.31,0.32,87,80,0.99,0.99,11,5,0.13,0.06,2.67,2.57,1.15,1.1,8.93,8.93,3.22,3.08,1.13,0.56,2.77,2.9
347153,2013-05-01,112,135,Chicago Cubs,San Diego Padres,26,26,72.3,93.7,72,85,1.0,0.91,34,33,0.47,0.35,27,36,0.37,0.38,63,75,0.87,0.8,9,12,0.12,0.13,4.23,3.17,1.37,1.29,7.84,7.21,2.33,2.08,1.12,1.15,3.36,3.46
347152,2013-05-01,114,143,Cleveland Indians,Philadelphia Phillies,23,25,76.7,71.3,59,69,0.77,0.97,24,37,0.31,0.52,29,31,0.38,0.43,82,67,1.07,0.94,9,11,0.12,0.15,2.82,4.67,1.15,1.4,9.63,8.45,2.83,2.16,1.06,1.39,3.4,3.91
347151,2013-05-01,116,142,Detroit Tigers,Minnesota Twins,25,23,76.0,78.3,60,61,0.79,0.78,37,20,0.49,0.26,42,25,0.55,0.32,91,68,1.2,0.87,5,4,0.07,0.05,4.38,2.3,1.34,1.1,10.78,7.81,2.17,2.72,0.59,0.46,4.97,2.87
347150,2013-05-01,147,117,New York Yankees,Houston Astros,25,27,78.7,105.3,83,118,1.06,1.12,39,54,0.5,0.51,25,40,0.32,0.38,83,61,1.06,0.58,11,15,0.14,0.14,4.46,4.61,1.37,1.5,9.5,5.21,3.32,1.52,1.26,1.28,2.86,3.42
347149,2013-05-01,140,145,Texas Rangers,Chicago White Sox,26,25,75.0,76.3,77,67,1.03,0.88,26,31,0.35,0.41,19,35,0.25,0.46,60,66,0.8,0.86,7,5,0.09,0.07,3.12,3.66,1.28,1.34,7.2,7.78,3.16,1.89,0.84,0.59,2.28,4.13
347155,2013-05-01,118,139,Kansas City Royals,Tampa Bay Rays,23,26,62.3,59.3,47,56,0.75,0.94,18,31,0.29,0.52,23,29,0.37,0.49,73,54,1.17,0.91,7,7,0.11,0.12,2.6,4.7,1.12,1.43,10.54,8.19,3.17,1.86,1.01,1.06,3.32,4.4
