game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
490731,2017-05-19,501957,592717,Chris Tillman,Aaron Sanchez,110,141,BAL,TOR,2017,2017,0,0,regular,regular,2,4,2,4,0,1,1,1,1,2,2.89,2.95,0,0,0,0,9.3,18.3,11,16,3,6,0,3,5,7,1.71,1.25,8,14,7.71,6.87,,
490730,2017-05-19,596057,607259,Daniel Norris,Nick Martinez,116,140,DET,TEX,2017,2017,0,0,regular,regular,7,5,7,5,3,3,3,2,4,3,4.34,5.04,0,0,0,0,37.3,30.3,46,33,18,17,2,7,19,6,1.74,1.29,31,15,7.47,4.45,,
490729,2017-05-19,608379,519043,Michael Wacha,Matt Moore,138,137,STL,SF,2017,2017,0,0,regular,regular,6,8,6,8,5,3,3,2,3,5,3.19,5.67,0,0,0,0,36.7,46.0,33,53,13,29,4,8,9,18,1.15,1.54,34,40,8.35,7.83,,
490728,2017-05-19,592866,476451,Trevor Williams,Jeremy Hellickson,134,143,PIT,PHI,2017,2017,0,0,regular,regular,2,8,2,8,0,3,1,6,0,1,7.88,3.71,0,0,0,0,8.0,43.7,11,40,7,18,3,9,2,8,1.62,1.1,6,18,6.75,3.71,,
490727,2017-05-19,541640,622663,Erasmo Ramírez,Luis Severino,139,147,TB,NYY,2017,2017,0,0,regular,regular,1,7,1,7,0,4,1,3,0,3,1.8,3.86,0,0,0,0,5.0,42.0,2,35,1,18,1,7,0,10,0.4,1.07,5,47,9.0,10.07,,
490726,2017-05-19,572750,502179,Eddie Butler,Paolo Espino,112,158,CHC,MIL,2017,2017,0,0,regular,regular,1,0,1,0,1,0,1,0,0,0,0.0,0.0,0,0,0,0,6.0,0.0,2,0,0,0,0,0,3,0,0.83,0.0,5,0,7.5,0.0,,
490725,2017-05-19,622072,592593,Alex Wood,Justin Nicolino,119,146,LAD,MIA,2017,2017,0,0,regular,regular,6,1,6,1,2,1,3,1,2,0,2.67,1.5,0,0,0,0,30.3,6.0,25,6,9,1,1,0,10,4,1.15,1.67,44,5,13.05,7.5,,
490732,2017-05-19,285079,461829,R.A. Dickey,Gio Gonzalez,144,120,ATL,WSH,2017,2017,0,0,regular,regular,7,8,7,8,4,6,3,5,4,3,4.22,2.47,0,0,0,0,42.7,51.0,41,41,20,14,9,8,18,25,1.38,1.29,22,41,4.64,7.24,,
490723,2017-05-19,502327,501992,Héctor Santiago,Nate Karns,142,118,MIN,KC,2017,2017,0,0,regular,regular,8,7,8,7,5,3,4,4,3,3,3.8,3.63,0,0,0,0,45.0,39.7,40,34,19,16,6,8,18,11,1.29,1.13,32,46,6.4,10.44,,
490722,2017-05-19,570810,542881,Lisalverto Bonilla,Tyler Anderson,113,115,CIN,COL,2017,2017,0,0,regular,regular,1,8,1,8,1,1,0,4,1,4,3.38,6.43,0,0,0,0,8.0,42.0,6,48,3,30,2,10,2,14,1.0,1.48,5,42,5.62,9.0,,
490721,2017-05-19,450203,545333,Charlie Morton,Trevor Bauer,117,114,HOU,CLE,2017,2017,0,0,regular,regular,8,7,8,7,2,2,6,3,2,4,3.97,6.92,0,0,0,0,45.3,39.0,44,44,20,30,4,8,18,15,1.37,1.51,54,44,10.72,10.15,,
490720,2017-05-19,664641,500779,Aríel Miranda,Jose Quintana,136,145,SEA,CWS,2017,2017,0,0,regular,regular,8,8,8,8,2,5,4,3,2,5,4.79,4.38,0,0,0,0,41.3,49.3,41,47,22,24,8,6,14,23,1.33,1.42,38,46,8.27,8.39,,
490719,2017-05-19,608665,519242,Kendall Graveman,Chris Sale,133,111,OAK,BOS,2017,2017,0,0,regular,regular,7,8,7,8,4,7,3,6,3,2,3.95,2.15,0,0,0,0,41.0,58.7,40,32,18,14,5,4,11,13,1.24,0.77,27,85,5.93,13.04,,
490718,2017-05-19,450308,592836,Jered Weaver,Taijuan Walker,135,109,SD,AZ,2017,2017,0,0,regular,regular,8,8,8,8,4,2,0,4,7,3,6.05,3.91,0,0,0,0,41.7,46.0,46,47,28,20,14,4,10,15,1.34,1.35,23,43,4.97,8.41,,
490724,2017-05-19,594798,445060,Jacob deGrom,Ricky Nolasco,121,108,NYM,LAA,2017,2017,0,0,regular,regular,8,8,8,8,5,4,4,3,4,5,4.07,4.34,0,0,0,0,48.7,45.7,46,48,22,22,7,13,20,11,1.36,1.29,67,41,12.39,8.08,,
