id,game_pk,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
15040,381051,2014,2014-05-08T23:10:00.000Z,False,regular,STATUS_FINAL,Tropicana Field,False,27,3,tampa-bay-rays,baltimore-orioles,TB,BAL,Tampa Bay Rays,Baltimore Orioles,Rays,Orioles,Rays,Orioles,Tampa Bay,Baltimore,American,American,East,East,1,3,,,,,,
15042,381052,2014,2014-05-09T00:10:00.000Z,False,regular,STATUS_FINAL,Guaranteed Rate Field,False,6,5,chicago-white-sox,chicago-cubs,CHW,CHC,Chicago White Sox,Chicago Cubs,White Sox,Cubs,White Sox,Cubs,Chicago,Chicago,American,National,Central,Central,5,12,,,,,,
15041,381053,2014,2014-05-09T00:05:00.000Z,False,regular,STATUS_FINAL,Choctaw Stadium,False,28,9,texas-rangers,colorado-rockies,TEX,COL,Texas Rangers,Colorado Rockies,Rangers,Rockies,Rangers,Rockies,Texas,Colorado,American,National,West,West,5,0,,,,,,
15038,381054,2014,2014-05-08T17:08:00.000Z,False,regular,STATUS_FINAL,Comerica Park,False,10,11,detroit-tigers,houston-astros,DET,HOU,Detroit Tigers,Houston Astros,Tigers,Astros,Tigers,Astros,Detroit,Houston,American,American,Central,West,2,6,,,,,,
15043,381055,2014,2014-05-09T02:10:00.000Z,False,regular,STATUS_FINAL,T-Mobile Park,False,25,12,seattle-mariners,kansas-city-royals,SEA,KC,Seattle Mariners,Kansas City Royals,Mariners,Royals,Mariners,Royals,Seattle,Kansas City,American,American,West,Central,1,0,,,,,,
15045,381056,2014,2014-05-09T02:10:00.000Z,False,regular,STATUS_FINAL,Petco Park,False,23,15,san-diego-padres,miami-marlins,SD,MIA,San Diego Padres,Miami Marlins,Padres,Marlins,Padres,Marlins,San Diego,Miami,National,National,West,East,1,3,,,,,,
15037,381057,2014,2014-05-08T16:05:00.000Z,False,regular,STATUS_FINAL,Progressive Field,False,8,17,cleveland-guardians,minnesota-twins,CLE,MIN,Cleveland Guardians,Minnesota Twins,Guardians,Twins,Guardians,Twins,Cleveland,Minnesota,American,American,Central,Central,9,4,,,,,,
15039,381058,2014,2014-05-08T23:07:00.000Z,False,regular,STATUS_FINAL,Rogers Centre,False,29,21,toronto-blue-jays,philadelphia-phillies,TOR,PHI,Toronto Blue Jays,Philadelphia Phillies,Blue Jays,Phillies,Blue Jays,Phillies,Toronto,Philadelphia,American,National,East,East,12,6,,,,,,
15044,381059,2014,2014-05-09T02:10:00.000Z,False,regular,STATUS_FINAL,Dodger Stadium,False,14,24,los-angeles-dodgers,san-francisco-giants,LAD,SF,Los Angeles Dodgers,San Francisco Giants,Dodgers,Giants,Dodgers,Giants,Los Angeles,San Francisco,National,National,West,West,1,3,,,,,,
