game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_sv,away_pitching_sv,home_pitching_cg,away_pitching_cg,home_pitching_sho,away_pitching_sho,home_pitching_qs,away_pitching_qs,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,home_fielding_fp,away_fielding_fp,home_fielding_tc,away_fielding_tc,home_fielding_po,away_fielding_po,home_fielding_a,away_fielding_a
746876,2024-05-22,112,144,CHC,ATL,Chicago Cubs,Atlanta Braves,Cubs,Braves,0,0,regular,regular,2024,2024,49,45,1616,1538,216,206,371,387,71,89,11,5,48,48,201,198,608,630,182,144,429,397,29,25,0.23,0.252,0.308,0.316,0.376,0.41,0.684,0.725,27,27,22,18,3.65,3.39,0,0,0,0,0,0,0,0,436.7,404.0,399,360,177,152,48,43,161,136,428,383,0.247,0.234,1.28,1.23,31,15,0.0,0.0,0,0,0,0,0,0
746712,2024-05-22,113,135,CIN,SD,Cincinnati Reds,San Diego Padres,Reds,Padres,0,0,regular,regular,2024,2024,48,51,1558,1726,197,229,336,441,71,71,8,6,43,51,185,219,552,677,156,161,443,375,79,42,0.216,0.256,0.287,0.319,0.354,0.392,0.641,0.711,20,25,28,26,3.91,3.95,0,0,0,0,0,0,0,0,421.7,451.3,371,397,183,198,51,56,154,153,411,444,0.238,0.23,1.25,1.22,25,29,0.0,0.0,0,0,0,0,0,0
746634,2024-05-22,114,121,CLE,NYM,Cleveland Guardians,New York Mets,Guardians,Mets,0,0,regular,regular,2024,2024,49,48,1624,1659,238,206,384,394,78,76,8,1,53,48,220,195,637,616,144,148,365,373,48,33,0.236,0.237,0.299,0.3,0.392,0.371,0.691,0.671,32,21,17,27,3.29,4.03,0,0,0,0,0,0,0,0,441.0,431.3,374,365,161,193,47,37,148,210,439,428,0.23,0.22,1.18,1.33,30,30,0.0,0.0,0,0,0,0,0,0
746386,2024-05-22,117,108,HOU,LAA,Houston Astros,Los Angeles Angels,Astros,Angels,0,0,regular,regular,2024,2024,49,49,1689,1684,229,217,448,415,81,76,4,7,62,58,218,200,723,679,157,143,328,429,32,47,0.265,0.246,0.328,0.305,0.428,0.403,0.756,0.709,22,19,27,30,4.63,4.61,0,0,0,0,0,0,0,0,435.0,437.3,418,395,224,224,57,58,194,183,407,411,0.247,0.235,1.41,1.32,22,25,0.0,0.0,0,0,0,0,0,0
746304,2024-05-22,118,116,KC,DET,Kansas City Royals,Detroit Tigers,Royals,Tigers,0,0,regular,regular,2024,2024,50,48,1657,1624,239,199,414,378,88,75,13,16,49,39,230,189,675,602,136,147,342,424,49,22,0.25,0.233,0.307,0.296,0.407,0.371,0.714,0.667,31,23,19,25,3.41,3.53,0,0,0,0,0,0,0,0,438.0,428.7,393,372,166,168,41,44,148,125,397,409,0.237,0.229,1.24,1.16,19,29,0.0,0.0,0,0,0,0,0,0
746143,2024-05-22,119,109,LAD,AZ,Los Angeles Dodgers,Arizona Diamondbacks,Dodgers,D-backs,0,0,regular,regular,2024,2024,51,49,1730,1659,262,235,444,410,91,89,8,7,66,46,253,223,749,651,203,168,428,377,34,21,0.257,0.247,0.335,0.316,0.433,0.392,0.768,0.709,33,23,18,26,3.23,4.47,0,0,0,0,0,0,0,0,459.3,437.0,364,432,165,217,52,50,144,144,428,370,0.21,0.26,1.11,1.32,21,23,0.0,0.0,0,0,0,0,0,0
745743,2024-05-22,147,136,NYY,SEA,New York Yankees,Seattle Mariners,Yankees,Mariners,0,0,regular,regular,2024,2024,50,49,1671,1602,240,188,427,366,74,57,3,7,69,56,230,181,714,605,194,150,379,497,26,26,0.256,0.228,0.333,0.295,0.427,0.378,0.76,0.672,33,27,17,22,2.92,3.5,0,0,0,0,0,0,0,0,447.0,432.3,353,346,145,168,47,48,161,122,435,422,0.211,0.216,1.15,1.08,30,32,0.0,0.0,0,0,0,0,0,0
746063,2024-05-22,146,158,MIA,MIL,Miami Marlins,Milwaukee Brewers,Marlins,Brewers,0,0,regular,regular,2024,2024,50,48,1683,1654,192,244,392,423,63,80,6,9,41,59,187,232,590,698,118,178,378,435,28,64,0.233,0.256,0.283,0.328,0.351,0.422,0.634,0.75,16,28,34,20,4.94,4.02,0,0,0,0,0,0,0,0,446.0,425.3,444,403,245,190,52,57,197,160,424,382,0.264,0.244,1.44,1.32,36,24,0.0,0.0,0,0,0,0,0,0
745576,2024-05-22,143,140,PHI,TEX,Philadelphia Phillies,Texas Rangers,Phillies,Rangers,0,0,regular,regular,2024,2024,49,49,1654,1682,261,222,428,415,72,68,10,8,55,51,248,212,685,652,189,160,410,383,58,19,0.259,0.247,0.335,0.312,0.414,0.388,0.749,0.7,35,24,14,25,3.15,4.14,0,0,0,0,0,0,0,0,443.0,435.0,369,370,155,200,39,49,138,183,458,416,0.223,0.22,1.14,1.27,30,25,0.0,0.0,0,0,0,0,0,0
745502,2024-05-22,134,137,PIT,SF,Pittsburgh Pirates,San Francisco Giants,Pirates,Giants,0,0,regular,regular,2024,2024,49,49,1663,1637,187,203,378,404,69,78,3,5,45,44,178,191,588,624,175,152,460,385,27,16,0.227,0.247,0.301,0.311,0.354,0.381,0.654,0.692,23,23,26,26,3.9,4.47,0,0,0,0,0,0,0,0,436.7,429.0,390,433,189,213,56,42,156,153,415,395,0.235,0.265,1.25,1.37,29,30,0.0,0.0,0,0,0,0,0,0
