game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_games,away_games,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9
382446,2014-08-21,112,137,Chicago Cubs,San Francisco Giants,125,118,401.0,357.0,331,273,0.83,0.76,149,105,0.37,0.29,155,97,0.39,0.27,371,287,0.93,0.8,26,23,0.06,0.06,3.34,2.65,1.21,1.04,8.33,7.24,2.39,2.96,0.58,0.58,3.48,2.45
382445,2014-08-21,119,135,Los Angeles Dodgers,San Diego Padres,121,123,366.7,375.0,322,283,0.88,0.75,151,98,0.41,0.26,163,123,0.44,0.33,351,369,0.96,0.98,23,26,0.06,0.07,3.71,2.35,1.32,1.08,8.62,8.86,2.15,3.0,0.56,0.62,4.0,2.95
382444,2014-08-21,147,117,New York Yankees,Houston Astros,120,122,384.7,378.0,337,398,0.88,1.05,169,206,0.44,0.54,151,143,0.39,0.38,441,335,1.15,0.89,46,43,0.12,0.11,3.95,4.9,1.27,1.43,10.32,7.98,2.92,2.34,1.08,1.02,3.53,3.4
382443,2014-08-21,139,116,Tampa Bay Rays,Detroit Tigers,124,119,399.3,339.7,337,363,0.84,1.07,158,163,0.4,0.48,151,142,0.38,0.42,410,308,1.03,0.91,40,36,0.1,0.11,3.56,4.32,1.22,1.49,9.24,8.16,2.72,2.17,0.9,0.95,3.4,3.76
382439,2014-08-21,111,108,Boston Red Sox,Los Angeles Angels,124,122,377.3,398.3,360,335,0.95,0.84,138,151,0.37,0.38,116,143,0.31,0.36,349,400,0.92,1.0,34,34,0.09,0.09,3.29,3.41,1.26,1.2,8.32,9.04,3.01,2.8,0.81,0.77,2.77,3.23
382441,2014-08-21,113,144,Cincinnati Reds,Atlanta Braves,122,123,322.7,344.0,291,305,0.9,0.89,145,120,0.45,0.35,153,137,0.47,0.4,349,358,1.08,1.04,32,20,0.1,0.06,4.04,3.14,1.38,1.28,9.73,9.37,2.28,2.61,0.89,0.52,4.27,3.58
382440,2014-08-21,120,109,Washington Nationals,Arizona Diamondbacks,122,125,370.0,402.7,323,377,0.87,0.94,117,173,0.32,0.43,116,156,0.31,0.39,340,422,0.92,1.05,19,38,0.05,0.09,2.85,3.87,1.19,1.32,8.27,9.43,2.93,2.71,0.46,0.85,2.82,3.49
382421,2014-08-21,112,137,Chicago Cubs,San Francisco Giants,126,119,404.0,359.0,335,275,0.83,0.77,150,105,0.37,0.29,155,97,0.38,0.27,374,290,0.93,0.81,26,23,0.06,0.06,3.34,2.63,1.21,1.04,8.33,7.27,2.41,2.99,0.58,0.58,3.45,2.43
382442,2014-08-21,142,114,Minnesota Twins,Cleveland Indians,123,122,406.7,413.0,391,346,0.96,0.84,152,129,0.37,0.31,119,146,0.29,0.35,312,402,0.77,0.97,32,38,0.08,0.09,3.36,2.81,1.25,1.19,6.9,8.76,2.62,2.75,0.71,0.83,2.63,3.18
